z,t,k,N1,N2,utl1,utl2
['00000'],3,100,10000,5000,15.067202850134114,1.0
['00001'],3,100,10000,5000,14.469771938931288,1.0
['00002'],3,100,10000,5000,14.53081572355454,1.0
['00003'],3,100,10000,5000,14.431000489526545,1.0
['00004'],3,100,10000,5000,14.507553634680612,2.0
['00005'],3,100,10000,5000,14.589687326549946,1.0
['00010'],3,100,10000,5000,13.587353041866635,1.0
['00011'],3,100,10000,5000,12.23042119314995,1.0
['00012'],3,100,10000,5000,12.514742246772146,1.0
['00013'],3,100,10000,5000,12.033514153227856,1.0
['00014'],3,100,10000,5000,12.148669053920369,2.0
['00015'],3,100,10000,5000,12.11868903433801,1.0
['00020'],3,100,10000,5000,14.076779765484334,1.0
['00021'],3,100,10000,5000,12.577475593612059,1.0
['00022'],3,100,10000,5000,12.641189734090295,1.0
['00023'],3,100,10000,5000,12.435407882602194,1.0
['00024'],3,100,10000,5000,12.316283968827157,2.0
['00025'],3,100,10000,5000,12.270853236811748,1.0
['00030'],3,100,10000,5000,13.126002674101334,2.0
['00031'],3,100,10000,5000,11.762066550574573,2.0
['00032'],3,100,10000,5000,11.935658838110195,2.0
['00033'],3,100,10000,5000,11.695536574434408,2.0
['00034'],3,100,10000,5000,11.62049159266383,3.0
['00035'],3,100,10000,5000,11.670876780311609,2.0
['00040'],3,100,10000,5000,13.610632846393987,1.0
['00041'],3,100,10000,5000,12.066508693368878,1.0
['00042'],3,100,10000,5000,12.13320386282736,1.0
['00043'],3,100,10000,5000,11.733219388554106,1.0
['00044'],3,100,10000,5000,11.885451337490315,2.0
['00045'],3,100,10000,5000,11.702809173575089,1.0
['00050'],3,100,10000,5000,13.001399942598594,1.0
['00051'],3,100,10000,5000,11.950376271018946,1.0
['00052'],3,100,10000,5000,11.964858632864493,1.0
['00053'],3,100,10000,5000,11.57237369144846,1.0
['00054'],3,100,10000,5000,11.488514929843001,2.0
['00055'],3,100,10000,5000,11.711198908408601,1.0
['00100'],3,100,10000,5000,4.339261453646851,1.0
['00101'],3,100,10000,5000,4.033306805290584,1.0
['00102'],3,100,10000,5000,4.087657981947649,1.0
['00103'],3,100,10000,5000,3.9723649568112203,1.0
['00104'],3,100,10000,5000,4.006811634167524,2.0
['00105'],3,100,10000,5000,3.9178210199520653,1.0
['00110'],3,100,10000,5000,3.2435123346359385,1.0
['00111'],3,100,10000,5000,2.2608122335260936,1.0
['00112'],3,100,10000,5000,2.335813624631723,1.0
['00113'],3,100,10000,5000,2.0310670142773115,1.0
['00114'],3,100,10000,5000,2.089404482621074,2.0
['00115'],3,100,10000,5000,2.0539957645242293,1.0
['00120'],3,100,10000,5000,3.443567901960589,1.0
['00121'],3,100,10000,5000,2.310011929336434,1.0
['00122'],3,100,10000,5000,2.436333057888951,1.0
['00123'],3,100,10000,5000,2.0620736519554863,1.0
['00124'],3,100,10000,5000,2.1371074689934084,2.0
['00125'],3,100,10000,5000,2.0428421111537998,1.0
['00130'],3,100,10000,5000,2.8991680332968426,2.0
['00131'],3,100,10000,5000,1.9367815823520214,2.0
['00132'],3,100,10000,5000,1.9835148665687083,2.0
['00133'],3,100,10000,5000,1.7934598065749083,2.0
['00134'],3,100,10000,5000,1.8008734078274873,3.0
['00135'],3,100,10000,5000,1.7857233694200236,2.0
['00140'],3,100,10000,5000,3.0497755955892902,1.0
['00141'],3,100,10000,5000,1.9788441404745873,1.0
['00142'],3,100,10000,5000,2.0558012211307006,1.0
['00143'],3,100,10000,5000,1.799836298767008,1.0
['00144'],3,100,10000,5000,1.845890807507799,2.0
['00145'],3,100,10000,5000,1.7937833697108214,1.0
['00150'],3,100,10000,5000,2.781832250706936,1.0
['00151'],3,100,10000,5000,1.9767334930438774,1.0
['00152'],3,100,10000,5000,1.9900336157703933,1.0
['00153'],3,100,10000,5000,1.8254754472096104,1.0
['00154'],3,100,10000,5000,1.839879604168889,2.0
['00155'],3,100,10000,5000,1.8700034861605312,1.0
['00200'],3,100,10000,5000,4.6923086270809895,1.0
['00201'],3,100,10000,5000,4.339007186382273,1.0
['00202'],3,100,10000,5000,4.391154737406747,1.0
['00203'],3,100,10000,5000,4.265547915953585,1.0
['00204'],3,100,10000,5000,4.2872822086916,2.0
['00205'],3,100,10000,5000,4.196738587631088,1.0
