w1_values,w2_values,res,z_star_arr
0.0,0.0,0.48560000000000003,['00000']
90.0,0.0,0.2780000000000001,['50005']
180.0,0.0,0.2836,['50005']
270.0,0.0,0.297,['50005']
360.0,0.0,0.288,['50005']
0.0,7.5,1.0,['43534']
90.0,7.5,0.2826,['50005']
180.0,7.5,0.29020000000000007,['50005']
270.0,7.5,0.28520000000000006,['50005']
360.0,7.5,0.295,['50005']
0.0,15.0,1.0,['43534']
90.0,15.0,0.2876,['50005']
180.0,15.0,0.27,['50005']
270.0,15.0,0.28920000000000007,['50005']
360.0,15.0,0.27620000000000006,['50005']
0.0,22.5,1.0,['43534']
90.0,22.5,0.4166,['40005']
180.0,22.5,0.29220000000000007,['50005']
270.0,22.5,0.30160000000000003,['50005']
360.0,22.5,0.29120000000000007,['50005']
0.0,30.0,1.0,['43534']
90.0,30.0,0.4086,['40005']
180.0,30.0,0.2682,['50005']
270.0,30.0,0.298,['50005']
360.0,30.0,0.28240000000000004,['50005']
