diff_n_comp,res,z
5,0.7441928877842904,['00000']
5,0.7374953168284002,['00001']
5,0.7375102575002216,['00002']
5,0.7395758310429048,['00003']
4,0.7362782012168991,['00004']
5,0.7427047954384736,['00005']
5,0.7285656705756147,['00010']
5,0.7256045503829436,['00011']
5,0.7146390984870414,['00012']
5,0.7026745009611103,['00013']
4,0.7167290724095525,['00014']
5,0.7156099065773739,['00015']
5,0.7433877035693301,['00020']
5,0.7178393055693093,['00021']
5,0.7241705363604207,['00022']
5,0.7143679176055574,['00023']
4,0.7151634812413744,['00024']
5,0.7271932863800519,['00025']
4,0.7313996586308206,['00030']
4,0.6990338807723018,['00031']
4,0.7197692409050296,['00032']
4,0.7009772034402518,['00033']
3,0.7085505263244282,['00034']
4,0.7164230246226031,['00035']
5,0.73695931762312,['00040']
5,0.7086076671454702,['00041']
5,0.7231336164288857,['00042']
5,0.7041932022482577,['00043']
4,0.7036393977946658,['00044']
5,0.706486590005749,['00045']
5,0.7005347783831719,['00050']
5,0.7024706333665749,['00051']
5,0.7036011328696622,['00052']
5,0.6893993588088386,['00053']
4,0.6939803211730948,['00054']
5,0.6961168053320663,['00055']
5,0.5006275740308888,['00100']
5,0.46615585780689145,['00101']
5,0.46821803658341676,['00102']
5,0.4487862070041887,['00103']
4,0.44961620207199776,['00104']
5,0.4364163981291338,['00105']
5,0.3901840323230014,['00110']
5,0.2790620878106982,['00111']
5,0.2947283697417605,['00112']
5,0.23649158892952818,['00113']
4,0.2530755437906838,['00114']
5,0.23291588933079838,['00115']
5,0.4344038852928564,['00120']
5,0.31826020116673426,['00121']
5,0.34885834749330563,['00122']
5,0.2745311187075372,['00123']
4,0.2980076118846004,['00124']
5,0.261401546707835,['00125']
4,0.3633522541619163,['00130']
4,0.2228064754318057,['00131']
4,0.24066391507567514,['00132']
4,0.18284924093189617,['00133']
3,0.19580911565750858,['00134']
4,0.1780389565079547,['00135']
5,0.4082683527560722,['00140']
5,0.2560453377985985,['00141']
5,0.2820742505729799,['00142']
5,0.2057053553324707,['00143']
4,0.2248430873018636,['00144']
5,0.1973245866242471,['00145']
5,0.27646586327486306,['00150']
5,0.1991754477772536,['00151']
5,0.20426604302041895,['00152']
5,0.17210921521892558,['00153']
4,0.17411486773263984,['00154']
5,0.17481791094555132,['00155']
5,0.639758746398057,['00200']
5,0.6030833949429836,['00201']
5,0.6145670127497218,['00202']
5,0.578786896949979,['00203']
4,0.6022851438053045,['00204']
5,0.5777316873895451,['00205']
5,0.5705359123815817,['00210']
5,0.4602658334804386,['00211']
5,0.4771602479143339,['00212']
5,0.4042377923400424,['00213']
4,0.42591344816314447,['00214']
5,0.39685525615772843,['00215']
5,0.5942736896274863,['00220']
5,0.5045332862934565,['00221']
5,0.5210808686286434,['00222']
5,0.44107914001615955,['00223']
4,0.46922779259409464,['00224']
5,0.427437694433888,['00225']
4,0.5290028028646718,['00230']
4,0.3846212118246659,['00231']
4,0.4107373837478998,['00232']
4,0.3389696959805427,['00233']
3,0.35283137622959343,['00234']
4,0.33666132178545194,['00235']
5,0.5609963520565265,['00240']
5,0.41626288305821707,['00241']
5,0.4337429962888595,['00242']
5,0.3639899751265906,['00243']
4,0.3800020056008581,['00244']
5,0.35472305651994707,['00245']
5,0.470132689704115,['00250']
5,0.368362968123048,['00251']
5,0.3744215122807576,['00252']
5,0.33169071536475775,['00253']
4,0.3325270018271128,['00254']
5,0.33654758524962336,['00255']
5,0.4681902266839557,['00300']
5,0.41974250872422436,['00301']
5,0.43052878018267793,['00302']
5,0.41458831524088,['00303']
4,0.4218382565430583,['00304']
5,0.40464388536503354,['00305']
5,0.34029282682865275,['00310']
5,0.2039094087561061,['00311']
5,0.22926787678625996,['00312']
5,0.16035907717669898,['00313']
4,0.18156727542438295,['00314']
5,0.16164959562509804,['00315']
5,0.3947893045591328,['00320']
5,0.2502702378454654,['00321']
5,0.2729731800585363,['00322']
5,0.19644916391070052,['00323']
4,0.2137827950267746,['00324']
5,0.18394507327057136,['00325']
4,0.3061172219135977,['00330']
4,0.14465019566969414,['00331']
4,0.164696579154247,['00332']
4,0.11500755780835016,['00333']
3,0.12472089645468257,['00334']
4,0.11545021337379924,['00335']
5,0.3598747329469981,['00340']
5,0.1710511427645865,['00341']
5,0.19649845456856596,['00342']
5,0.13028090516956792,['00343']
4,0.14337605730214065,['00344']
5,0.12472852634981382,['00345']
5,0.23047645785701598,['00350']
5,0.13589108627359575,['00351']
5,0.14106241586165122,['00352']
5,0.11039827781872612,['00353']
4,0.11062020890626259,['00354']
5,0.11282766276058737,['00355']
5,0.6184746786811245,['00400']
5,0.5709252336516524,['00401']
5,0.5657395864733833,['00402']
5,0.5431695625971035,['00403']
4,0.5625322601206448,['00404']
5,0.5406017583984287,['00405']
5,0.5119199995141099,['00410']
5,0.35639866704959194,['00411']
5,0.367571440760914,['00412']
5,0.2926840130168289,['00413']
4,0.31078730180691316,['00414']
5,0.2859344562176251,['00415']
5,0.535103476784778,['00420']
5,0.38609626508422934,['00421']
5,0.4164977827702824,['00422']
5,0.3217501892150589,['00423']
4,0.34800176840761415,['00424']
5,0.30327436717098555,['00425']
4,0.4625136090640818,['00430']
4,0.2608081375277937,['00431']
4,0.2912601411579838,['00432']
4,0.21665035986447465,['00433']
3,0.22583706420542926,['00434']
4,0.21570217397833186,['00435']
5,0.4851113749905386,['00440']
5,0.2960949602361293,['00441']
5,0.32907460943547695,['00442']
5,0.23780942597789526,['00443']
4,0.26038922443214546,['00444']
5,0.2323410561942492,['00445']
5,0.38811488950218215,['00450']
5,0.2563402591925565,['00451']
5,0.258677754590681,['00452']
5,0.21079402469366387,['00453']
4,0.21757309245772877,['00454']
5,0.21762421798055084,['00455']
4,0.029859543711123298,['00500']
4,0.026832244569822625,['00501']
4,0.027382974474848994,['00502']
4,0.026009917648988783,['00503']
3,0.026161527004325093,['00504']
4,0.02517403889803147,['00505']
4,0.01584294398020657,['00510']
4,0.007651713372328439,['00511']
4,0.008864819864196738,['00512']
4,0.005946769066514259,['00513']
3,0.006570907854838148,['00514']
4,0.005649354377390338,['00515']
4,0.02120331913826879,['00520']
