w1_values,w2_values,res,z_star_arr
0.1,0.1,0.00015306369895961994,['43534']
20.066666666666666,0.1,0.7334816516985245,['00000']
40.03333333333333,0.1,0.7386718011697202,['00000']
60.0,0.1,0.7377248416804181,['00000']
0.1,20.066666666666666,0.00015306369895961994,['43534']
20.066666666666666,20.066666666666666,0.00015306369895961994,['43534']
40.03333333333333,20.066666666666666,0.6280297892670169,['43034']
60.0,20.066666666666666,0.6122051198906627,['43034']
0.1,40.03333333333333,0.00015306369895961994,['43534']
20.066666666666666,40.03333333333333,0.00015306369895961994,['43534']
40.03333333333333,40.03333333333333,0.00015306369895961994,['43534']
60.0,40.03333333333333,0.00015306369895961994,['43534']
0.1,60.0,0.00015306369895961994,['43534']
20.066666666666666,60.0,0.00015306369895961994,['43534']
40.03333333333333,60.0,0.00015306369895961994,['43534']
60.0,60.0,0.00015306369895961994,['43534']
