w1_values,w2_values,res,z_star_arr
0.1,0.1,0.00015306369895961994,['43534']
20.066666666666666,0.1,0.9417481448734619,['40004']
40.03333333333333,0.1,0.9365251848637043,['40004']
60.0,0.1,0.9359124760672032,['40004']
0.1,20.066666666666666,0.00015306369895961994,['43534']
20.066666666666666,20.066666666666666,0.00015306369895961994,['43534']
40.03333333333333,20.066666666666666,0.7821554753804676,['43034']
60.0,20.066666666666666,0.7808367529324381,['43034']
0.1,40.03333333333333,0.00015306369895961994,['43534']
20.066666666666666,40.03333333333333,0.00015306369895961994,['43534']
40.03333333333333,40.03333333333333,0.00015306369895961994,['43534']
60.0,40.03333333333333,0.7803422320144271,['43034']
0.1,60.0,0.00015306369895961994,['43534']
20.066666666666666,60.0,0.00015306369895961994,['43534']
40.03333333333333,60.0,0.00015306369895961994,['43534']
60.0,60.0,0.00015306369895961994,['43534']
