diff_n_comp,res,z
5,0.0022912089928623187,['00000']
5,0.00309989987290516,['00001']
5,0.003442606795802909,['00002']
5,0.0023138330574054918,['00003']
4,0.005052218413260308,['00004']
5,0.0037595399967998286,['00005']
5,0.005767717052569418,['00010']
5,0.016060226998326172,['00011']
5,0.017937650883273364,['00012']
5,0.01723495246606213,['00013']
4,0.02276804127944341,['00014']
5,0.022949410468480324,['00015']
5,0.004518335011335702,['00020']
5,0.016907943396666753,['00021']
5,0.011312828191941442,['00022']
5,0.022581937322845407,['00023']
4,0.01866669158683732,['00024']
5,0.02660065855434501,['00025']
4,0.007642890041606126,['00030']
4,0.017368806345216342,['00031']
4,0.020805314709613158,['00032']
4,0.02424937376248329,['00033']
3,0.01990714342722019,['00034']
4,0.024562579527581545,['00035']
5,0.0068740953422988865,['00040']
5,0.020175605752624007,['00041']
5,0.0228946235018222,['00042']
5,0.02740640559978766,['00043']
4,0.02952627438602878,['00044']
5,0.02758186874076008,['00045']
5,0.009662056984898413,['00050']
5,0.019544276993244545,['00051']
5,0.01839831819862036,['00052']
5,0.025863887948652322,['00053']
4,0.020968696129212025,['00054']
5,0.023029289565669155,['00055']
5,0.013099372860322176,['00100']
5,0.022366842547953722,['00101']
5,0.021781704992466823,['00102']
5,0.025505879480971112,['00103']
4,0.02318988695649089,['00104']
5,0.029116625172287795,['00105']
5,0.03704125169196648,['00110']
5,0.15159641084536252,['00111']
5,0.13473062858073684,['00112']
5,0.21137823801590727,['00113']
4,0.1935343602617621,['00114']
5,0.21412036748077737,['00115']
5,0.028892273028874017,['00120']
5,0.13598257245572856,['00121']
5,0.11352802627828242,['00122']
5,0.20068076188262718,['00123']
4,0.17976488747650068,['00124']
5,0.21293337273269014,['00125']
4,0.06185453526893385,['00130']
4,0.2420922833465156,['00131']
4,0.22171961540332558,['00132']
4,0.3129902619843226,['00133']
3,0.29704094087464505,['00134']
4,0.303887911262094,['00135']
5,0.05044376664926294,['00140']
5,0.23644919480315527,['00141']
5,0.19905977523559407,['00142']
5,0.304624542686951,['00143']
4,0.27880785801197877,['00144']
5,0.31630769081691734,['00145']
5,0.08499185983749755,['00150']
5,0.2323753576493508,['00151']
5,0.2275590948505392,['00152']
5,0.2832755981601142,['00153']
4,0.278724903432866,['00154']
5,0.271627598943893,['00155']
5,0.008237859728467915,['00200']
5,0.01739209396773,['00201']
5,0.019857761389992696,['00202']
5,0.022734898831742796,['00203']
4,0.018277623738285606,['00204']
5,0.024015219360832545,['00205']
5,0.03149569427003009,['00210']
5,0.12769452566721637,['00211']
5,0.11062020613612944,['00212']
5,0.18797734311422398,['00213']
4,0.17347011033984974,['00214']
5,0.18427091425976433,['00215']
5,0.02426380723841886,['00220']
5,0.10593757634398052,['00221']
5,0.08457721831048023,['00222']
5,0.1768289406559942,['00223']
4,0.14688798956095922,['00224']
5,0.18374549957491024,['00225']
4,0.05687642456026538,['00230']
4,0.22035264165645502,['00231']
4,0.19621663649022547,['00232']
4,0.2896599905357372,['00233']
3,0.27348507788672716,['00234']
4,0.2915498153391533,['00235']
5,0.04161288355659903,['00240']
5,0.19070468745613814,['00241']
5,0.1664336285558477,['00242']
5,0.2737665076204431,['00243']
4,0.24442338679895487,['00244']
5,0.2854080214415993,['00245']
5,0.07899414539045266,['00250']
5,0.21359193011388178,['00251']
5,0.20986190899021095,['00252']
5,0.2776954748387818,['00253']
4,0.26892298753199834,['00254']
5,0.25338120597503044,['00255']
5,0.029526872527852802,['00300']
5,0.049708076040946604,['00301']
5,0.04432441519915132,['00302']
5,0.06109605373964632,['00303']
4,0.05143722374422789,['00304']
5,0.057600752011689904,['00305']
5,0.09833571591968929,['00310']
5,0.3162201893167434,['00311']
5,0.28970025831223234,['00312']
5,0.4217180521925836,['00313']
4,0.3951075823163994,['00314']
5,0.4189992741045167,['00315']
5,0.07222773685419105,['00320']
5,0.2852589395793982,['00321']
5,0.23837025961945452,['00322']
5,0.4046176887562227,['00323']
4,0.3642551512421114,['00324']
5,0.42030290891749256,['00325']
4,0.1440775517896452,['00330']
4,0.467142110333361,['00331']
4,0.43941682175215396,['00332']
4,0.5470953817351119,['00333']
3,0.5380686576376013,['00334']
4,0.5494609001758708,['00335']
5,0.10714196040329053,['00340']
5,0.44718205116301846,['00341']
5,0.4061048597825717,['00342']
5,0.5415263061414919,['00343']
4,0.5153819416640445,['00344']
5,0.5500661151251379,['00345']
5,0.18731419399246693,['00350']
5,0.4499553206595262,['00351']
5,0.4407461817921033,['00352']
5,0.5198036870079646,['00353']
4,0.5186195439210779,['00354']
5,0.5019593973440073,['00355']
5,0.024028433061537274,['00400']
5,0.03955483396869575,['00401']
5,0.04365099948439909,['00402']
5,0.04295442002821796,['00403']
4,0.04574795549668647,['00404']
5,0.05377136168005548,['00405']
5,0.0748336833535414,['00410']
5,0.2751318113531529,['00411']
5,0.2364088421573596,['00412']
5,0.3753655612887802,['00413']
4,0.3492056890528985,['00414']
5,0.38152900718492233,['00415']
5,0.052716584774318086,['00420']
5,0.23459399526099292,['00421']
5,0.18698124314467168,['00422']
5,0.3408462544321884,['00423']
4,0.2996365733161487,['00424']
5,0.36797114424570265,['00425']
4,0.1170953902493197,['00430']
4,0.4265335535157489,['00431']
4,0.39162777365596574,['00432']
4,0.525022967628554,['00433']
3,0.5064893992271158,['00434']
4,0.5286207569477337,['00435']
5,0.07803104017372209,['00440']
5,0.3826868531125086,['00441']
5,0.3322848860045223,['00442']
5,0.50273688227476,['00443']
4,0.46497424729962344,['00444']
5,0.5213934694080867,['00445']
5,0.16917990260255109,['00450']
5,0.43013859948619165,['00451']
5,0.4235521795976986,['00452']
5,0.5087170416504331,['00453']
4,0.5137027121743465,['00454']
5,0.48741380351767655,['00455']
4,0.04710308835669059,['00500']
4,0.0653772630600204,['00501']
4,0.0636151763097959,['00502']
4,0.0625970111281149,['00503']
3,0.0661540730468584,['00504']
4,0.07219597544961363,['00505']
4,0.106718065269922,['00510']
4,0.30561035392578384,['00511']
4,0.2934359860936945,['00512']
4,0.38226495914950304,['00513']
3,0.3752610537375855,['00514']
4,0.3791516521268191,['00515']
4,0.09399443610498655,['00520']
4,0.313709535197064,['00521']
4,0.2880932857525712,['00522']
4,0.4053729225187767,['00523']
3,0.37859983148387094,['00524']
4,0.4069550110548416,['00525']
3,0.16267701215468303,['00530']
3,0.43191888823354563,['00531']
3,0.41341446360355005,['00532']
3,0.48880795493336615,['00533']
2,0.47935547893804636,['00534']
3,0.4801108092349892,['00535']
4,0.1449353630482526,['00540']
4,0.44060304371095366,['00541']
4,0.41164217045795426,['00542']
4,0.4939701804943959,['00543']
3,0.4858639262424694,['00544']
4,0.49116923779948235,['00545']
4,0.15683239567325818,['00550']
4,0.3760168569235569,['00551']
4,0.3728169841750723,['00552']
4,0.43643480691767744,['00553']
3,0.44123300548458144,['00554']
4,0.4231960867126746,['00555']
5,0.004982048305831657,['01000']
5,0.005379881821282615,['01001']
5,0.008890269576476815,['01002']
5,0.0076476327995363145,['01003']
4,0.006811031080312007,['01004']
5,0.005344954414526022,['01005']
5,0.011960888005613316,['01010']
5,0.0287770049297176,['01011']
5,0.02694605081424617,['01012']
5,0.03586057966358865,['01013']
4,0.030176968101017942,['01014']
5,0.036330384453051166,['01015']
5,0.010838505560211147,['01020']
5,0.02245875777805256,['01021']
5,0.022338479696877335,['01022']
5,0.030451047032939643,['01023']
4,0.033941488467370634,['01024']
5,0.030625317398824316,['01025']
4,0.019625009900829524,['01030']
4,0.03551238971602342,['01031']
4,0.029648023353798153,['01032']
4,0.04764543502182133,['01033']
3,0.04283803071956939,['01034']
4,0.054461686257531325,['01035']
5,0.01435807614631591,['01040']
5,0.036784747879574566,['01041']
5,0.03563857395038695,['01042']
5,0.04578121395926012,['01043']
4,0.03984694512007178,['01044']
5,0.04690160770224315,['01045']
5,0.014637738116752416,['01050']
5,0.027201917129288402,['01051']
5,0.034765779781671224,['01052']
5,0.033655092142552565,['01053']
4,0.03640149111141178,['01054']
5,0.03523770639491687,['01055']
5,0.03931815346335229,['01100']
5,0.06063140029109787,['01101']
5,0.059954723443454344,['01102']
5,0.06905002773644063,['01103']
4,0.06798007050817427,['01104']
5,0.06414950895218187,['01105']
5,0.11753152997373265,['01110']
5,0.35451312103479143,['01111']
5,0.3239863540036209,['01112']
5,0.4493284099680378,['01113']
4,0.4315125107893276,['01114']
5,0.4494221129425332,['01115']
5,0.08931036798003418,['01120']
5,0.33654784571079105,['01121']
5,0.29165706049675444,['01122']
5,0.4475010244229747,['01123']
4,0.4049505181022577,['01124']
5,0.4552941238873892,['01125']
4,0.16612532237132865,['01130']
4,0.5001213173116733,['01131']
4,0.46926321233925455,['01132']
4,0.5731264011980106,['01133']
3,0.5554646459051719,['01134']
4,0.5671234304348649,['01135']
5,0.138315078483118,['01140']
5,0.48545588343179313,['01141']
5,0.4419758472772001,['01142']
5,0.5732407928644655,['01143']
4,0.5491277598380041,['01144']
5,0.5804789186175321,['01145']
5,0.20402655419897606,['01150']
5,0.46529707096482703,['01151']
5,0.4652451794570145,['01152']
5,0.5362988161873129,['01153']
4,0.538958138201346,['01154']
5,0.5215448797115741,['01155']
5,0.031012591515858886,['01200']
5,0.05471199822148938,['01201']
5,0.04952474559979139,['01202']
5,0.052452615132455534,['01203']
4,0.053646208649234035,['01204']
5,0.06702453494213186,['01205']
5,0.10147540033031464,['01210']
5,0.34104241611831376,['01211']
5,0.2991575915423589,['01212']
5,0.4471904659367831,['01213']
4,0.41809712926403786,['01214']
5,0.4440070637200668,['01215']
5,0.06826751519465653,['01220']
5,0.2978738847683429,['01221']
5,0.24924304524788654,['01222']
5,0.4306410152978427,['01223']
4,0.37879292297705336,['01224']
5,0.4395947699984932,['01225']
4,0.1445157301998311,['01230']
4,0.49375732651815973,['01231']
4,0.4621348706293651,['01232']
4,0.595526739001635,['01233']
3,0.5698106888826242,['01234']
4,0.5899657878142938,['01235']
5,0.11339940812732333,['01240']
5,0.45622690029408486,['01241']
5,0.41093964595252613,['01242']
5,0.569562211921623,['01243']
4,0.5358401709884604,['01244']
5,0.5835319009757312,['01245']
5,0.21710439665345854,['01250']
5,0.49294604978958945,['01251']
5,0.48607139015760725,['01252']
5,0.5702104861823174,['01253']
