ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
2,15,8.50610231727496,-2.4938976827250396,[29  8  0 11 29 18 14 24 11  5],SA,dd,10,30,10,0.95,10000,83.77509450912476,5000,-1,50,0.05,0.1
2,30,8.50610231727496,-2.4938976827250396,[29  8  0 11 29 18 14 24 11  5],SA,dd,10,30,10,0.95,10000,84.35974454879761,5000,-1,50,0.05,0.1
2,45,8.50610231727496,-2.4938976827250396,[29  8  0 11 29 18 14 24 11  5],SA,dd,10,30,10,0.95,10000,84.16010546684265,5000,-1,50,0.05,0.1
2,60,8.50610231727496,-2.4938976827250396,[12  2  7 27 11  5 17 29 14  5],SA,dd,10,30,10,0.95,10000,84.4476523399353,5000,-1,50,0.05,0.1
2,75,8.50610231727496,-2.4938976827250396,[12  2  7 27 11  5 17 29 14  5],SA,dd,10,30,10,0.95,10000,84.36471509933472,5000,-1,50,0.05,0.1
2,90,8.50610231727496,-2.4938976827250396,[ 9  5 15  8 11 15 25  8 22  8],SA,dd,10,30,10,0.95,10000,84.34252095222473,5000,-1,50,0.05,0.1
2,105,8.50610231727496,-2.4938976827250396,[ 9  5 15  8 11 15 25  8 22  8],SA,dd,10,30,10,0.95,10000,84.34146690368652,5000,-1,50,0.05,0.1
2,120,8.50610231727496,-2.4938976827250396,[ 9  5 15  8 11 15 25  8 22  8],SA,dd,10,30,10,0.95,10000,84.28388404846191,5000,-1,50,0.05,0.1
2,135,8.50610231727496,-2.4938976827250396,[ 9  5 15  8 11 15 25  8 22  8],SA,dd,10,30,10,0.95,10000,83.89197063446045,5000,-1,50,0.05,0.1
2,150,8.50610231727496,-2.4938976827250396,[ 9  5 15  8 11 15 25  8 22  8],SA,dd,10,30,10,0.95,10000,83.88923358917236,5000,-1,50,0.05,0.1
2,165,8.50610231727496,-2.4938976827250396,[ 9  5 15  8 11 15 25  8 22  8],SA,dd,10,30,10,0.95,10000,84.43004703521729,5000,-1,50,0.05,0.1
2,180,8.50610231727496,-2.4938976827250396,[ 9  5 15  8 11 15 25  8 22  8],SA,dd,10,30,10,0.95,10000,84.17716264724731,5000,-1,50,0.05,0.1
2,195,8.50610231727496,-2.4938976827250396,[ 9  5 15  8 11 15 25  8 22  8],SA,dd,10,30,10,0.95,10000,83.84482622146606,5000,-1,50,0.05,0.1
2,210,11.276800277723648,0.27680027772364824,[28 13 22 14 11 22 22 19 28  5],SA,dd,10,30,10,0.95,10000,84.32678198814392,5000,-1,50,0.05,0.1
2,225,11.276800277723648,0.27680027772364824,[23  5 19  9 11 20 21  7 18 11],SA,dd,10,30,10,0.95,10000,84.60660338401794,5000,-1,50,0.05,0.1
2,240,11.276800277723648,0.27680027772364824,[23  5 19  9 11 20 21  7 18 11],SA,dd,10,30,10,0.95,10000,84.03533864021301,5000,-1,50,0.05,0.1
2,255,11.276800277723648,0.27680027772364824,[23  5 19  9 11 20 21  7 18 11],SA,dd,10,30,10,0.95,10000,84.34153199195862,5000,-1,50,0.05,0.1
2,270,11.276800277723648,0.27680027772364824,[23  5 19  9 11 20 21  7 18 11],SA,dd,10,30,10,0.95,10000,84.00217628479004,5000,-1,50,0.05,0.1
2,285,11.276800277723648,0.27680027772364824,[ 8  6 26  2 11 28 14  3 26  7],SA,dd,10,30,10,0.95,10000,83.94322276115417,5000,-1,50,0.05,0.1
2,300,11.276800277723648,0.27680027772364824,[ 8  6 26  2 11 28 14  3 26  7],SA,dd,10,30,10,0.95,10000,83.89068794250488,5000,-1,50,0.05,0.1
2,315,11.276800277723648,0.27680027772364824,[ 8  6 26  2 11 28 14  3 26  7],SA,dd,10,30,10,0.95,10000,84.35288882255554,5000,-1,50,0.05,0.1
2,330,11.276800277723648,0.27680027772364824,[ 8  6 26  2 11 28 14  3 26  7],SA,dd,10,30,10,0.95,10000,84.55732774734497,5000,-1,50,0.05,0.1
2,345,12.736735377339388,1.7367353773393877,[ 6 13 22  6 11 19 23 17 28 26],SA,dd,10,30,10,0.95,10000,85.09603881835938,5000,-1,50,0.05,0.1
2,360,12.736735377339388,1.7367353773393877,[ 6 13 22  6 11 19 23 17 28 26],SA,dd,10,30,10,0.95,10000,84.64909505844116,5000,-1,50,0.05,0.1
2,375,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,84.57160830497742,5000,-1,50,0.05,0.1
2,390,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,84.52901220321655,5000,-1,50,0.05,0.1
2,405,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,84.65037822723389,5000,-1,50,0.05,0.1
2,420,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,84.60445499420166,5000,-1,50,0.05,0.1
2,435,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,84.64790368080139,5000,-1,50,0.05,0.1
2,450,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,84.68430852890015,5000,-1,50,0.05,0.1
2,465,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,84.36187171936035,5000,-1,50,0.05,0.1
2,480,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,84.25869297981262,5000,-1,50,0.05,0.1
2,495,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,83.9045398235321,5000,-1,50,0.05,0.1
2,510,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,84.26876187324524,5000,-1,50,0.05,0.1
2,525,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,83.97105479240417,5000,-1,50,0.05,0.1
2,540,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,83.83734202384949,5000,-1,50,0.05,0.1
2,555,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,84.12957739830017,5000,-1,50,0.05,0.1
2,570,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,84.0503945350647,5000,-1,50,0.05,0.1
2,585,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,84.01169800758362,5000,-1,50,0.05,0.1
2,600,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,83.48460793495178,5000,-1,50,0.05,0.1
2,615,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,82.91471123695374,5000,-1,50,0.05,0.1
2,630,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,83.32870817184448,5000,-1,50,0.05,0.1
2,645,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,82.99669790267944,5000,-1,50,0.05,0.1
2,660,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,82.59749984741211,5000,-1,50,0.05,0.1
2,675,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,82.41250514984131,5000,-1,50,0.05,0.1
2,690,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,82.39761638641357,5000,-1,50,0.05,0.1
2,705,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,83.3415584564209,5000,-1,50,0.05,0.1
2,720,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,83.0502552986145,5000,-1,50,0.05,0.1
2,735,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,82.84772276878357,5000,-1,50,0.05,0.1
2,750,12.736735377339388,1.7367353773393877,[10 16 18  1 11 10  5 29 15  6],SA,dd,10,30,10,0.95,10000,83.10171055793762,5000,-1,50,0.05,0.1
