ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
6,15,93.32193377651042,-14.17806622348958,[9 8 2 5 4 0 6 5 5 1 5 5 2 9 3 8 5 9 9 2 5 0 8 2 0 7 1 0 2 3],SA,pd,10,10,30,0.95,10000,48.80404615402222,5000,-1,50,0.05,0.1
6,30,93.32193377651042,-14.17806622348958,[9 8 5 5 2 0 5 9 0 6 5 0 7 9 3 7 2 9 2 3 2 0 8 8 0 8 6 0 6 7],SA,pd,10,10,30,0.95,10000,48.7063250541687,5000,-1,50,0.05,0.1
6,45,93.32193377651042,-14.17806622348958,[9 8 5 5 2 0 5 9 0 6 5 0 7 9 3 7 2 9 2 3 2 0 8 8 0 8 6 0 6 7],SA,pd,10,10,30,0.95,10000,48.66525459289551,5000,-1,50,0.05,0.1
6,60,93.32193377651042,-14.17806622348958,[9 8 5 5 2 0 5 9 0 6 5 0 7 9 3 7 2 9 2 3 2 0 8 8 0 8 6 0 6 7],SA,pd,10,10,30,0.95,10000,48.63829469680786,5000,-1,50,0.05,0.1
6,75,93.32193377651042,-14.17806622348958,[9 8 5 5 2 0 5 9 0 6 5 0 7 9 3 7 2 9 2 3 2 0 8 8 0 8 6 0 6 7],SA,pd,10,10,30,0.95,10000,48.65519165992737,5000,-1,50,0.05,0.1
6,90,93.32193377651042,-14.17806622348958,[9 8 5 5 2 0 5 9 0 6 5 0 7 9 3 7 2 9 2 3 2 0 8 8 0 8 6 0 6 7],SA,pd,10,10,30,0.95,10000,48.76194190979004,5000,-1,50,0.05,0.1
6,105,93.32193377651042,-14.17806622348958,[9 8 5 5 2 0 5 9 0 6 5 0 7 9 3 7 2 9 2 3 2 0 8 8 0 8 6 0 6 7],SA,pd,10,10,30,0.95,10000,48.70854830741882,5000,-1,50,0.05,0.1
6,120,93.32193377651042,-14.17806622348958,[9 8 5 5 2 0 5 9 0 6 5 0 7 9 3 7 2 9 2 3 2 0 8 8 0 8 6 0 6 7],SA,pd,10,10,30,0.95,10000,48.75900959968567,5000,-1,50,0.05,0.1
6,135,93.32193377651042,-14.17806622348958,[9 8 5 5 2 0 5 9 0 6 5 0 7 9 3 7 2 9 2 3 2 0 8 8 0 8 6 0 6 7],SA,pd,10,10,30,0.95,10000,48.66296577453613,5000,-1,50,0.05,0.1
6,150,93.32193377651042,-14.17806622348958,[9 8 5 5 2 0 5 9 0 6 5 0 7 9 3 7 2 9 2 3 2 0 8 8 0 8 6 0 6 7],SA,pd,10,10,30,0.95,10000,48.66385102272034,5000,-1,50,0.05,0.1
6,165,94.9690995105779,-12.530900489422095,[6 2 1 0 2 0 0 5 6 8 0 6 0 9 8 4 7 5 9 8 1 0 1 4 5 1 4 0 8 4],SA,pd,10,10,30,0.95,10000,48.7547812461853,5000,-1,50,0.05,0.1
