solver,time,attacker,|Q|,|X|,|T|,rho,k,EU,Lower,Upper
RME,15,att,30,30,30,0.95,10000,-25.68151428962,-27.124377588952026,-24.238650990287976
RME,30,att,30,30,30,0.95,10000,-25.46076173213,-26.668406734756182,-24.253116729503816
RME,45,att,30,30,30,0.95,10000,-24.85540292735,-25.797668089171488,-23.91313776552851
RME,60,att,30,30,30,0.95,10000,-24.56155220554,-26.16826945843265,-22.95483495264735
RME,75,att,30,30,30,0.95,10000,-24.52500997717,-26.3721193859747,-22.677900568365303
RME,90,att,30,30,30,0.95,10000,-24.64047461569,-26.223171878354325,-23.057777353025674
RME,105,att,30,30,30,0.95,10000,-24.37168655661,-26.513233572984326,-22.230139540235676
RME,120,att,30,30,30,0.95,10000,-24.08077245575,-26.396521966620135,-21.765022944879867
RME,135,att,30,30,30,0.95,10000,-24.3282951933,-25.399506159397244,-23.257084227202757
RME,150,att,30,30,30,0.95,10000,-24.14333973518,-25.261091372449382,-23.025588097910617
RME,165,att,30,30,30,0.95,10000,-24.70387863593,-25.443026319165227,-23.964730952694772
RME,180,att,30,30,30,0.95,10000,-23.84236593581,-25.14702317024208,-22.537708701377923
RME,195,att,30,30,30,0.95,10000,-24.25932992727,-24.920147896221014,-23.598511958318984
RME,210,att,30,30,30,0.95,10000,-23.6169018725,-25.205676644718658,-22.028127100281345
RME,225,att,30,30,30,0.95,10000,-23.966956264060002,-24.74629170660607,-23.187620821513935
RME,240,att,30,30,30,0.95,10000,-23.85473685244,-25.73463683607427,-21.974836868805728
RME,255,att,30,30,30,0.95,10000,-23.79266258109,-25.005084465327307,-22.58024069685269
RME,270,att,30,30,30,0.95,10000,-23.3698049121,-24.99982958006912,-21.73978024413088
RME,285,att,30,30,30,0.95,10000,-23.75824943556,-24.475449560415193,-23.041049310704807
RME,300,att,30,30,30,0.95,10000,-23.98313637254,-24.91279683283177,-23.053475912248228
RME,315,att,30,30,30,0.95,10000,-23.852305712339998,-25.562296581670342,-22.142314843009654
RME,330,att,30,30,30,0.95,10000,-23.66728906542,-25.06804694942626,-22.26653118141374
