ite,time,q,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,scaled_eu
0,15,14.270536915,"[7, 3, 2, 1, 9, 9, 5, 0, 3, 6]",APS,dd,30,10,10,0.9500000000000001,10000,296.7339434624,3.270536915
0,30,14.279295363,"[7, 3, 2, 1, 9, 9, 5, 0, 3, 6]",APS,dd,30,10,10,0.9500000000000001,10000,302.324224472,3.279295363
0,45,14.270622979,"[7, 3, 2, 1, 9, 9, 5, 0, 3, 6]",APS,dd,30,10,10,0.9500000000000001,10000,297.3836119175,3.270622979
0,60,14.5369409006,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,292.3236410618,3.5369409006
0,75,14.278780108,"[7, 3, 2, 1, 9, 9, 5, 0, 3, 6]",APS,dd,30,10,10,0.9500000000000001,10000,304.3616266251,3.278780108
0,90,14.2843495196,"[7, 3, 2, 1, 9, 9, 5, 0, 3, 6]",APS,dd,30,10,10,0.9500000000000001,10000,290.2174692154,3.2843495196
0,105,14.256763008,"[7, 3, 2, 1, 9, 9, 5, 0, 3, 6]",APS,dd,30,10,10,0.9500000000000001,10000,310.1089062691,3.256763008
0,120,14.2739524759,"[7, 3, 2, 1, 9, 9, 5, 0, 3, 6]",APS,dd,30,10,10,0.9500000000000001,10000,294.9998488426,3.2739524759
0,135,14.5412010899,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,294.1924521923,3.5412010899
0,150,14.2967853198,"[7, 3, 2, 1, 9, 9, 5, 0, 3, 6]",APS,dd,30,10,10,0.9500000000000001,10000,291.600871563,3.2967853198
0,165,14.2786956423,"[7, 3, 2, 1, 9, 9, 5, 0, 3, 6]",APS,dd,30,10,10,0.9500000000000001,10000,295.6269726753,3.2786956422999998
0,180,14.2720407641,"[7, 3, 2, 1, 9, 9, 5, 0, 3, 6]",APS,dd,30,10,10,0.9500000000000001,10000,315.0436079502,3.2720407640999998
0,195,14.5504010237,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,308.5754771233,3.5504010237
0,210,14.2760785327,"[7, 3, 2, 1, 9, 9, 5, 0, 3, 6]",APS,dd,30,10,10,0.9500000000000001,10000,301.7593505383,3.2760785327
0,225,14.2899891059,"[7, 3, 2, 1, 9, 9, 5, 0, 3, 6]",APS,dd,30,10,10,0.9500000000000001,10000,307.4664337635,3.2899891059
0,240,14.3002424994,"[7, 3, 2, 1, 9, 9, 5, 0, 3, 6]",APS,dd,30,10,10,0.9500000000000001,10000,316.5638701916,3.3002424994
0,255,14.5422553031,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,539.5019803047,3.5422553031
0,270,14.5411337446,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,543.3935203552,3.5411337445999997
0,285,14.5439221895,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,547.0957877636,3.5439221895
0,300,14.5543627165,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,535.0797142982,3.5543627165
0,315,14.5512574607,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,534.166844368,3.5512574607
0,330,14.5563871398,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,551.2082419395,3.5563871398
0,345,14.5316856904,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,538.4966433048,3.5316856904
0,360,14.5384020816,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,553.9759862423,3.5384020816
0,375,14.5619505606,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,538.5226268768,3.5619505606
0,390,14.542534679,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,533.3326694965,3.542534679
0,405,14.5619518482,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,547.7710933685,3.5619518482
0,420,14.5602716121,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,536.075168848,3.5602716121
0,435,14.5533262537,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,531.539883852,3.5533262537
0,450,14.5682511503,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,559.384039402,3.5682511503
0,465,14.5450176292,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,545.6698527336,3.5450176292
0,480,14.5551795974,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,764.1513807774,3.5551795974
0,495,14.548682807,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,760.9453194141,3.548682807
0,510,14.5447269236,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,776.6539328098,3.5447269236
0,525,14.5459602125,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,784.0815236568,3.5459602125
0,540,14.5576011324,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,763.0031650066,3.5576011324
0,555,14.540778644,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,758.3618240356,3.540778644
0,570,14.5314914546,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,775.7060623169,3.5314914546000002
0,585,14.5584271551,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,774.2700743675,3.5584271551
0,600,14.5473940373,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,764.8571362495,3.5473940373
0,615,14.5476969396,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,761.5038385391,3.5476969395999998
0,630,14.5575039529,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,775.7467372417,3.5575039529
0,645,14.5468967787,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,779.3803985119,3.5468967787
0,660,14.5669545124,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,782.1658017635,3.5669545124
0,675,14.5453321409,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,771.1199839115,3.5453321409000003
0,690,14.5529932252,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,780.5093886852,3.5529932252
0,705,14.553317957099999,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1010.9626159668,3.5533179571
0,720,14.5453116423,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1023.9862983227,3.5453116423
0,735,14.5531859721,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1018.4087541103,3.5531859721
0,750,14.5436656104,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1015.2745013237,3.5436656104
0,765,14.5671591663,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1032.6539895535,3.5671591663
0,780,14.5456211923,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1021.3116233349,3.5456211923
0,795,14.5449087802,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1019.2123584747,3.5449087802
0,810,14.5509768658,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1008.5510582924,3.5509768658
0,825,14.5457254421,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1029.5683116913,3.5457254421
0,840,14.540089182,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1028.722630024,3.540089182
0,855,14.5449129961,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1002.8273985386,3.5449129961
0,870,14.5297558163,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1010.2082500458,3.5297558163
0,885,14.5562701962,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1009.753207922,3.5562701962
0,900,14.5465044287,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1011.4106845856,3.5465044287
0,915,14.5466801497,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,998.3319876194,3.5466801497000002
0,930,14.570984750200001,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1239.0988423824,3.5709847502
0,945,14.559054723500001,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1228.7142078876,3.5590547235
0,960,14.5662343392,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1226.0063266754,3.5662343392
0,975,14.5622256751,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1277.9478058815,3.5622256751
0,990,14.557201021200001,"[7, 3, 2, 1, 9, 9, 5, 0, 6, 6]",APS,dd,30,10,10,0.9500000000000001,10000,1278.295124054,3.5572010212
