ite,time,q,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,scaled_eu
0,15,105.1403375504,"[7, 12, 9, 2, 5, 18, 29, 12, 14, 27, 7, 0, 21, 22, 27, 1, 1, 29, 10, 10, 24, 12, 12, 23, 10, 20, 1, 24, 17, 20]",APS,pd,30,30,30,0.9500000000000001,10000,627.1424424648,-2.3596624496
0,30,103.1640909794,"[7, 12, 9, 2, 5, 29, 12, 0, 14, 27, 7, 0, 21, 22, 12, 1, 1, 29, 10, 10, 24, 12, 12, 22, 9, 3, 11, 14, 11, 20]",APS,pd,30,30,30,0.9500000000000001,10000,613.8940029144,-4.3359090206
0,45,101.9490547277,"[7, 12, 9, 2, 5, 29, 29, 0, 14, 27, 7, 17, 20, 22, 27, 2, 1, 29, 10, 24, 24, 12, 12, 23, 10, 23, 7, 24, 22, 5]",APS,pd,30,30,30,0.9500000000000001,10000,627.6314418316,-5.5509452723
0,60,104.6172678248,"[7, 12, 9, 2, 5, 29, 1, 28, 14, 27, 7, 0, 21, 22, 27, 1, 1, 29, 10, 10, 24, 12, 19, 23, 10, 14, 17, 5, 11, 20]",APS,pd,30,30,30,0.9500000000000001,10000,648.8629767895,-2.8827321752
0,75,104.8387932212,"[28, 12, 9, 2, 5, 29, 29, 0, 18, 27, 7, 0, 21, 22, 27, 1, 1, 29, 10, 26, 24, 12, 19, 23, 10, 23, 10, 25, 11, 20]",APS,pd,30,30,30,0.9500000000000001,10000,619.9906435013,-2.6612067788
0,90,104.5804288416,"[7, 12, 9, 2, 5, 29, 29, 23, 14, 27, 7, 0, 21, 24, 27, 6, 2, 29, 10, 10, 24, 12, 19, 23, 10, 23, 1, 24, 2, 20]",APS,pd,30,30,30,0.9500000000000001,10000,635.0869498253,-2.9195711584
0,105,102.7538668121,"[7, 12, 9, 2, 5, 22, 29, 0, 29, 27, 7, 0, 21, 22, 27, 1, 1, 29, 10, 3, 17, 12, 11, 23, 29, 23, 1, 24, 0, 20]",APS,pd,30,30,30,0.9500000000000001,10000,626.0582334995,-4.7461331879
0,120,104.1301121838,"[7, 12, 9, 2, 11, 29, 29, 0, 14, 27, 7, 0, 19, 22, 27, 1, 1, 29, 10, 10, 7, 12, 19, 23, 1, 20, 7, 24, 11, 20]",APS,pd,30,30,30,0.9500000000000001,10000,662.0847322941,-3.3698878162
0,135,104.3690848196,"[7, 12, 9, 2, 5, 29, 29, 0, 14, 27, 7, 0, 21, 13, 29, 1, 1, 29, 10, 10, 24, 13, 18, 23, 10, 23, 8, 24, 11, 20]",APS,pd,30,30,30,0.9500000000000001,10000,660.3518049717,-3.1309151804
0,150,104.7824033214,"[7, 12, 9, 2, 5, 29, 29, 0, 14, 27, 7, 0, 21, 22, 15, 1, 20, 29, 10, 10, 24, 12, 19, 23, 10, 4, 1, 29, 13, 20]",APS,pd,30,30,30,0.9500000000000001,10000,650.2979006767,-2.7175966786
0,165,107.7860026278,"[7, 24, 9, 2, 5, 29, 29, 0, 14, 27, 7, 0, 21, 22, 27, 1, 1, 29, 20, 10, 24, 12, 19, 23, 10, 23, 1, 24, 11, 20]",APS,pd,30,30,30,0.9500000000000001,10000,634.9658205509,0.2860026278
