ite,time,q,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,scaled_eu
0,15,17.901173448,"[17, 22, 20, 22, 17, 9, 29, 15, 24, 12, 16, 28, 29, 28, 22, 20, 29, 25, 12, 23, 11, 15, 29, 29, 17, 17, 28, 9, 3, 20]",APS,rep,30,30,30,0.9500000000000001,10000,147.5567595959,-28.098826552
0,30,17.2722436301,"[27, 25, 21, 11, 27, 29, 21, 28, 22, 29, 21, 8, 27, 28, 29, 29, 27, 29, 27, 25, 28, 26, 24, 25, 25, 16, 23, 20, 27, 28]",APS,rep,30,30,30,0.9500000000000001,10000,216.1274292469,-28.7277563699
0,45,17.6774366243,"[6, 12, 10, 25, 27, 29, 27, 26, 22, 28, 16, 15, 18, 27, 26, 21, 23, 24, 23, 29, 18, 28, 26, 21, 25, 16, 20, 26, 21, 24]",APS,rep,30,30,30,0.9500000000000001,10000,171.0681889057,-28.3225633757
0,60,18.5686929026,"[23, 7, 22, 25, 24, 29, 28, 22, 22, 23, 24, 19, 28, 29, 28, 24, 27, 10, 20, 29, 15, 12, 25, 23, 21, 14, 29, 29, 28, 14]",APS,rep,30,30,30,0.9500000000000001,10000,167.6989278793,-27.4313070974
0,75,17.8395061391,"[22, 25, 26, 25, 26, 27, 28, 26, 17, 16, 29, 23, 27, 11, 19, 26, 23, 22, 20, 29, 26, 27, 17, 29, 27, 23, 22, 28, 23, 20]",APS,rep,30,30,30,0.9500000000000001,10000,271.3509252071,-28.1604938609
0,90,16.0080692346,"[28, 29, 20, 22, 7, 26, 14, 28, 16, 23, 27, 0, 19, 25, 19, 4, 16, 28, 29, 27, 25, 26, 28, 29, 24, 29, 25, 25, 19, 27]",APS,rep,30,30,30,0.9500000000000001,10000,256.0791809559,-29.9919307654
0,105,16.8188957849,"[29, 27, 25, 27, 29, 28, 25, 24, 22, 25, 24, 29, 19, 23, 26, 26, 26, 27, 18, 29, 15, 19, 17, 26, 29, 10, 28, 21, 28, 20]",APS,rep,30,30,30,0.9500000000000001,10000,258.4941744804,-29.1811042151
0,120,16.9101319804,"[18, 27, 22, 25, 19, 29, 13, 19, 21, 28, 16, 27, 28, 29, 26, 26, 21, 26, 24, 17, 28, 23, 29, 25, 25, 27, 24, 19, 16, 24]",APS,rep,30,30,30,0.9500000000000001,10000,263.3182241917,-29.0898680196
0,135,19.7562820446,"[13, 28, 29, 28, 24, 25, 29, 27, 24, 20, 24, 0, 24, 14, 19, 1, 29, 16, 14, 17, 24, 15, 22, 4, 28, 24, 24, 28, 21, 21]",APS,rep,30,30,30,0.9500000000000001,10000,249.0033934116,-26.2437179554
0,150,15.7173383241,"[29, 13, 28, 25, 29, 25, 17, 11, 25, 22, 29, 25, 22, 19, 11, 23, 23, 22, 27, 26, 28, 14, 21, 25, 27, 29, 23, 17, 28, 11]",APS,rep,30,30,30,0.9500000000000001,10000,268.6204051971,-30.282661675900002
