ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,21.912847162630364,-29.087152837369644,"[ 9  5  7  3 10 22  8 18  9  8 13  5 28 19 11 10 13 19  4 20 19  8 14  2
 12 18 27  9  1 26]",MCTS,att,30,30,30,0.95,10000,256.14103126525885,5000,10,-1,0.05,0.005
0,30,24.587787616285333,-26.412212383714667,"[18 12 24 18 12 17 23  7 18 11 29  8  3 17 11 26  2 28  4 24 23 21 21 18
 20 11 24 25 11 26]",MCTS,att,30,30,30,0.95,10000,276.40276885032654,5000,10,-1,0.05,0.005
0,45,25.295649544878746,-25.704350455121254,"[ 0 14  9  5 15 26  9 17 14  1 25 12  7 23 18 19  4 26 28 11 23 14 29 24
  9  4 23 27  1 27]",MCTS,att,30,30,30,0.95,10000,272.84340238571167,5000,10,-1,0.05,0.005
0,60,27.66671668348515,-23.33328331651485,"[ 7 12 29  2 10  3 20  9  7 12 24 23  1  9 22  1  9 17 10 16  8 16 22  6
  5 13 23  0 10  6]",MCTS,att,30,30,30,0.95,10000,294.90815663337713,5000,10,-1,0.05,0.005
0,75,27.66671668348515,-23.33328331651485,"[ 7 12 29  2 10  3 20  9  7 12 24 23  1  9 22  1  9 17 10 16  8 16 22  6
  5 13 23  0 10  6]",MCTS,att,30,30,30,0.95,10000,284.39656352996826,5000,10,-1,0.05,0.005
0,90,27.66671668348515,-23.33328331651485,"[ 7 12 29  2 10  3 20  9  7 12 24 23  1  9 22  1  9 17 10 16  8 16 22  6
  5 13 23  0 10  6]",MCTS,att,30,30,30,0.95,10000,297.54450726509094,5000,10,-1,0.05,0.005
0,105,27.66671668348515,-23.33328331651485,"[ 7 12 29  2 10  3 20  9  7 12 24 23  1  9 22  1  9 17 10 16  8 16 22  6
  5 13 23  0 10  6]",MCTS,att,30,30,30,0.95,10000,271.26670336723333,5000,10,-1,0.05,0.005
0,120,28.39078497317215,-22.60921502682785,"[22 16 10 18 27 24 12  0  9 13  3  3 21  2 24  1  1  7 19 14  8  4 17 29
  9 20 29 22 16 20]",MCTS,att,30,30,30,0.95,10000,293.00163388252264,5000,10,-1,0.05,0.005
0,135,28.56674406018911,-22.43325593981089,"[ 1 20  5 25 16 18  0  0  3  1 28 28 19  7 13  1  6  4 23 19  8 12 26  6
  9 20  1 24  0  7]",MCTS,att,30,30,30,0.95,10000,285.88356041908264,5000,10,-1,0.05,0.005
0,150,28.56674406018911,-22.43325593981089,"[ 1 20  5 25 16 18  0  0  3  1 28 28 19  7 13  1  6  4 23 19  8 12 26  6
  9 20  1 24  0  7]",MCTS,att,30,30,30,0.95,10000,296.9676594734192,5000,10,-1,0.05,0.005
0,165,28.56674406018911,-22.43325593981089,"[ 1 20  5 25 16 18  0  0  3  1 28 28 19  7 13  1  6  4 23 19  8 12 26  6
  9 20  1 24  0  7]",MCTS,att,30,30,30,0.95,10000,288.0731382369995,5000,10,-1,0.05,0.005
0,180,28.56674406018911,-22.43325593981089,"[ 1 20  5 25 16 18  0  0  3  1 28 28 19  7 13  1  6  4 23 19  8 12 26  6
  9 20  1 24  0  7]",MCTS,att,30,30,30,0.95,10000,300.49530482292175,5000,10,-1,0.05,0.005
0,195,28.56674406018911,-22.43325593981089,"[ 1 20  5 25 16 18  0  0  3  1 28 28 19  7 13  1  6  4 23 19  8 12 26  6
  9 20  1 24  0  7]",MCTS,att,30,30,30,0.95,10000,301.0027503967285,5000,10,-1,0.05,0.005
0,210,28.56674406018911,-22.43325593981089,"[ 1 20  5 25 16 18  0  0  3  1 28 28 19  7 13  1  6  4 23 19  8 12 26  6
  9 20  1 24  0  7]",MCTS,att,30,30,30,0.95,10000,289.30210065841675,5000,10,-1,0.05,0.005
0,225,28.56674406018911,-22.43325593981089,"[ 1 20  5 25 16 18  0  0  3  1 28 28 19  7 13  1  6  4 23 19  8 12 26  6
  9 20  1 24  0  7]",MCTS,att,30,30,30,0.95,10000,300.13031816482544,5000,10,-1,0.05,0.005
0,240,32.321409773004696,-18.678590226995297,"[16 12  9 14 19 16 28  0 12 13  2 27 28 29 26  1 17  7 15  1 24  1 29 13
 22 23  1 24 22 18]",MCTS,att,30,30,30,0.95,10000,313.33771204948425,5000,10,-1,0.05,0.005
0,255,32.321409773004696,-18.678590226995297,"[16 12  9 14 19 16 28  0 12 13  2 27 28 29 26  1 17  7 15  1 24  1 29 13
 22 23  1 24 22 18]",MCTS,att,30,30,30,0.95,10000,308.08619284629816,5000,10,-1,0.05,0.005
0,270,32.321409773004696,-18.678590226995297,"[16 12  9 14 19 16 28  0 12 13  2 27 28 29 26  1 17  7 15  1 24  1 29 13
 22 23  1 24 22 18]",MCTS,att,30,30,30,0.95,10000,300.0312967300415,5000,10,-1,0.05,0.005
0,285,32.321409773004696,-18.678590226995297,"[16 12  9 14 19 16 28  0 12 13  2 27 28 29 26  1 17  7 15  1 24  1 29 13
 22 23  1 24 22 18]",MCTS,att,30,30,30,0.95,10000,318.0563042163849,5000,10,-1,0.05,0.005
0,300,32.321409773004696,-18.678590226995297,"[16 12  9 14 19 16 28  0 12 13  2 27 28 29 26  1 17  7 15  1 24  1 29 13
 22 23  1 24 22 18]",MCTS,att,30,30,30,0.95,10000,309.43561577796936,5000,10,-1,0.05,0.005
0,315,32.321409773004696,-18.678590226995297,"[16 12  9 14 19 16 28  0 12 13  2 27 28 29 26  1 17  7 15  1 24  1 29 13
 22 23  1 24 22 18]",MCTS,att,30,30,30,0.95,10000,303.59464478492737,5000,10,-1,0.05,0.005
0,330,32.321409773004696,-18.678590226995297,"[16 12  9 14 19 16 28  0 12 13  2 27 28 29 26  1 17  7 15  1 24  1 29 13
 22 23  1 24 22 18]",MCTS,att,30,30,30,0.95,10000,280.6828193664551,5000,10,-1,0.05,0.005
0,345,32.321409773004696,-18.678590226995297,"[16 12  9 14 19 16 28  0 12 13  2 27 28 29 26  1 17  7 15  1 24  1 29 13
 22 23  1 24 22 18]",MCTS,att,30,30,30,0.95,10000,313.93618512153625,5000,10,-1,0.05,0.005
0,360,32.321409773004696,-18.678590226995297,"[16 12  9 14 19 16 28  0 12 13  2 27 28 29 26  1 17  7 15  1 24  1 29 13
 22 23  1 24 22 18]",MCTS,att,30,30,30,0.95,10000,300.55997800827026,5000,10,-1,0.05,0.005
0,375,32.321409773004696,-18.678590226995297,"[16 12  9 14 19 16 28  0 12 13  2 27 28 29 26  1 17  7 15  1 24  1 29 13
 22 23  1 24 22 18]",MCTS,att,30,30,30,0.95,10000,300.93146657943726,5000,10,-1,0.05,0.005
0,390,32.321409773004696,-18.678590226995297,"[16 12  9 14 19 16 28  0 12 13  2 27 28 29 26  1 17  7 15  1 24  1 29 13
 22 23  1 24 22 18]",MCTS,att,30,30,30,0.95,10000,281.3248369693756,5000,10,-1,0.05,0.005
