ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,8.83740663709353,-22.16259336290647,[9 2 1 1 9 3 1 4 0 6 5 1 4 0 4 1 9 2 3 2 1 5 0 8 8 9 3 1 9 9],MCTS,dd,10,10,30,0.95,10000,115.69881868362428,5000,100,-1,0.05,0.005
0,30,8.83740663709353,-22.16259336290647,[9 2 1 1 9 3 1 4 0 6 5 1 4 0 4 1 9 2 3 2 1 5 0 8 8 9 3 1 9 9],MCTS,dd,10,10,30,0.95,10000,117.03547763824464,5000,100,-1,0.05,0.005
0,45,12.625372401678042,-18.37462759832196,[5 4 4 7 8 1 5 4 2 8 2 0 9 2 4 7 7 5 8 3 5 0 0 0 0 2 7 1 6 0],MCTS,dd,10,10,30,0.95,10000,121.20776724815369,5000,100,-1,0.05,0.005
0,60,17.871770889461025,-13.128229110538976,[8 7 6 4 4 3 0 3 6 5 7 3 0 5 0 2 2 9 3 3 5 0 8 5 1 5 2 1 0 7],MCTS,dd,10,10,30,0.95,10000,126.390141248703,5000,100,-1,0.05,0.005
0,75,17.871770889461025,-13.128229110538976,[8 7 6 4 4 3 0 3 6 5 7 3 0 5 0 2 2 9 3 3 5 0 8 5 1 5 2 1 0 7],MCTS,dd,10,10,30,0.95,10000,138.18117713928223,5000,100,-1,0.05,0.005
0,90,17.871770889461025,-13.128229110538976,[4 6 4 6 3 3 9 3 0 2 0 5 2 9 1 3 7 2 3 6 4 0 0 5 0 8 0 0 0 4],MCTS,dd,10,10,30,0.95,10000,135.91678857803342,5000,100,-1,0.05,0.005
0,105,17.871770889461025,-13.128229110538976,[4 6 4 6 3 3 9 3 0 2 0 5 2 9 1 3 7 2 3 6 4 0 0 5 0 8 0 0 0 4],MCTS,dd,10,10,30,0.95,10000,139.4163703918457,5000,100,-1,0.05,0.005
0,120,18.280282798261528,-12.719717201738472,[2 6 2 1 8 2 4 3 8 0 0 5 2 9 3 7 1 5 4 3 4 0 3 5 7 8 7 5 0 1],MCTS,dd,10,10,30,0.95,10000,146.42414426803592,5000,100,-1,0.05,0.005
0,135,18.280282798261528,-12.719717201738472,[2 6 2 1 8 2 4 3 8 0 0 5 2 9 3 7 1 5 4 3 4 0 3 5 7 8 7 5 0 1],MCTS,dd,10,10,30,0.95,10000,148.8708784580231,5000,100,-1,0.05,0.005
0,150,18.280282798261528,-12.719717201738472,[2 6 2 1 8 2 4 3 8 0 0 5 2 9 3 7 1 5 4 3 4 0 3 5 7 8 7 5 0 1],MCTS,dd,10,10,30,0.95,10000,145.80048203468326,5000,100,-1,0.05,0.005
0,165,19.396844441201104,-11.603155558798894,[1 8 8 6 1 1 0 9 8 5 9 2 3 6 3 5 7 0 3 3 4 0 1 9 2 1 7 3 0 8],MCTS,dd,10,10,30,0.95,10000,154.45307874679563,5000,100,-1,0.05,0.005
0,180,19.396844441201104,-11.603155558798894,[1 8 8 6 1 1 0 9 8 5 9 2 3 6 3 5 7 0 3 3 4 0 1 9 2 1 7 3 0 8],MCTS,dd,10,10,30,0.95,10000,152.79693078994748,5000,100,-1,0.05,0.005
0,195,20.030567510837102,-10.969432489162903,[6 8 2 4 1 7 4 8 8 5 3 9 5 9 3 4 2 8 8 3 2 0 3 0 4 1 5 0 0 0],MCTS,dd,10,10,30,0.95,10000,150.90590405464172,5000,100,-1,0.05,0.005
0,210,20.985627946575523,-10.014372053424477,[9 7 2 5 0 1 0 5 8 3 6 7 5 9 6 0 2 7 8 3 3 1 9 4 1 1 7 0 0 2],MCTS,dd,10,10,30,0.95,10000,156.43142342567444,5000,100,-1,0.05,0.005
0,225,20.985627946575523,-10.014372053424477,[7 2 0 4 9 0 1 6 8 8 8 3 5 9 2 5 2 1 6 1 5 0 8 0 6 8 7 0 6 6],MCTS,dd,10,10,30,0.95,10000,155.45727753639218,5000,100,-1,0.05,0.005
0,240,20.985627946575523,-10.014372053424477,[7 2 0 4 9 0 1 6 8 8 8 3 5 9 2 5 2 1 6 1 5 0 8 0 6 8 7 0 6 6],MCTS,dd,10,10,30,0.95,10000,150.18619251251218,5000,100,-1,0.05,0.005
0,255,20.985627946575523,-10.014372053424477,[7 2 0 4 9 0 1 6 8 8 8 3 5 9 2 5 2 1 6 1 5 0 8 0 6 8 7 0 6 6],MCTS,dd,10,10,30,0.95,10000,150.81461954116818,5000,100,-1,0.05,0.005
0,270,20.985627946575523,-10.014372053424477,[7 2 0 4 9 0 1 6 8 8 8 3 5 9 2 5 2 1 6 1 5 0 8 0 6 8 7 0 6 6],MCTS,dd,10,10,30,0.95,10000,155.84381937980655,5000,100,-1,0.05,0.005
0,285,20.985627946575523,-10.014372053424477,[7 2 0 4 9 0 1 6 8 8 8 3 5 9 2 5 2 1 6 1 5 0 8 0 6 8 7 0 6 6],MCTS,dd,10,10,30,0.95,10000,151.78659939765933,5000,100,-1,0.05,0.005
0,300,20.985627946575523,-10.014372053424477,[7 2 0 4 9 0 1 6 8 8 8 3 5 9 2 5 2 1 6 1 5 0 8 0 6 8 7 0 6 6],MCTS,dd,10,10,30,0.95,10000,151.22503018379214,5000,100,-1,0.05,0.005
0,315,21.026230655351913,-9.973769344648089,[9 1 2 6 6 0 0 0 8 4 0 2 5 5 6 6 2 2 4 6 7 0 5 9 9 1 0 0 0 2],MCTS,dd,10,10,30,0.95,10000,146.31484913825992,5000,100,-1,0.05,0.005
0,330,22.11996131680256,-8.880038683197444,[8 9 2 9 6 1 2 3 8 5 0 9 1 9 3 7 3 2 3 5 6 0 8 1 8 8 6 0 0 4],MCTS,dd,10,10,30,0.95,10000,159.33231854438782,5000,100,-1,0.05,0.005
0,345,22.245433138739475,-8.754566861260525,[2 6 6 4 8 1 0 8 0 5 0 0 3 9 3 1 0 4 3 6 4 0 5 4 9 4 4 0 0 1],MCTS,dd,10,10,30,0.95,10000,160.65678262710568,5000,100,-1,0.05,0.005
0,360,22.245433138739475,-8.754566861260525,[2 6 6 4 8 1 0 8 0 5 0 0 3 9 3 1 0 4 3 6 4 0 5 4 9 4 4 0 0 1],MCTS,dd,10,10,30,0.95,10000,159.36250782012942,5000,100,-1,0.05,0.005
0,375,22.245433138739475,-8.754566861260525,[2 6 6 4 8 1 0 8 0 5 0 0 3 9 3 1 0 4 3 6 4 0 5 4 9 4 4 0 0 1],MCTS,dd,10,10,30,0.95,10000,161.58419227600098,5000,100,-1,0.05,0.005
0,390,22.245433138739475,-8.754566861260525,[2 6 6 4 8 1 0 8 0 5 0 0 3 9 3 1 0 4 3 6 4 0 5 4 9 4 4 0 0 1],MCTS,dd,10,10,30,0.95,10000,155.8120718002319,5000,100,-1,0.05,0.005
0,405,22.245433138739475,-8.754566861260525,[2 6 6 4 8 1 0 8 0 5 0 0 3 9 3 1 0 4 3 6 4 0 5 4 9 4 4 0 0 1],MCTS,dd,10,10,30,0.95,10000,157.8176832199097,5000,100,-1,0.05,0.005
0,420,22.245433138739475,-8.754566861260525,[2 6 6 4 8 1 0 8 0 5 0 0 3 9 3 1 0 4 3 6 4 0 5 4 9 4 4 0 0 1],MCTS,dd,10,10,30,0.95,10000,158.57688164711,5000,100,-1,0.05,0.005
0,435,22.245433138739475,-8.754566861260525,[2 6 6 4 8 1 0 8 0 5 0 0 3 9 3 1 0 4 3 6 4 0 5 4 9 4 4 0 0 1],MCTS,dd,10,10,30,0.95,10000,156.51362705230713,5000,100,-1,0.05,0.005
0,450,22.245433138739475,-8.754566861260525,[2 6 6 4 8 1 0 8 0 5 0 0 3 9 3 1 0 4 3 6 4 0 5 4 9 4 4 0 0 1],MCTS,dd,10,10,30,0.95,10000,162.0238604545593,5000,100,-1,0.05,0.005
0,465,22.500241044128337,-8.499758955871663,[5 9 8 3 6 1 4 0 6 5 0 0 1 9 3 2 2 2 2 5 4 0 9 4 0 1 3 0 0 7],MCTS,dd,10,10,30,0.95,10000,168.71717977523804,5000,100,-1,0.05,0.005
0,480,22.500241044128337,-8.499758955871663,[5 9 8 3 6 1 4 0 6 5 0 0 1 9 3 2 2 2 2 5 4 0 9 4 0 1 3 0 0 7],MCTS,dd,10,10,30,0.95,10000,160.17614340782166,5000,100,-1,0.05,0.005
0,495,22.500241044128337,-8.499758955871663,[5 9 8 3 6 1 4 0 6 5 0 0 1 9 3 2 2 2 2 5 4 0 9 4 0 1 3 0 0 7],MCTS,dd,10,10,30,0.95,10000,208.59867358207703,5000,100,-1,0.05,0.005
0,510,22.500241044128337,-8.499758955871663,[5 9 8 3 6 1 4 0 6 5 0 0 1 9 3 2 2 2 2 5 4 0 9 4 0 1 3 0 0 7],MCTS,dd,10,10,30,0.95,10000,215.8085963726044,5000,100,-1,0.05,0.005
0,525,22.500241044128337,-8.499758955871663,[5 9 8 3 6 1 4 0 6 5 0 0 1 9 3 2 2 2 2 5 4 0 9 4 0 1 3 0 0 7],MCTS,dd,10,10,30,0.95,10000,148.96244335174558,5000,100,-1,0.05,0.005
0,540,22.500241044128337,-8.499758955871663,[5 9 8 3 6 1 4 0 6 5 0 0 1 9 3 2 2 2 2 5 4 0 9 4 0 1 3 0 0 7],MCTS,dd,10,10,30,0.95,10000,148.86005902290344,5000,100,-1,0.05,0.005
0,555,22.500241044128337,-8.499758955871663,[5 9 8 3 6 1 4 0 6 5 0 0 1 9 3 2 2 2 2 5 4 0 9 4 0 1 3 0 0 7],MCTS,dd,10,10,30,0.95,10000,152.97088050842285,5000,100,-1,0.05,0.005
0,570,22.500241044128337,-8.499758955871663,[5 9 8 3 6 1 4 0 6 5 0 0 1 9 3 2 2 2 2 5 4 0 9 4 0 1 3 0 0 7],MCTS,dd,10,10,30,0.95,10000,153.6596553325653,5000,100,-1,0.05,0.005
0,585,22.500241044128337,-8.499758955871663,[5 9 8 3 6 1 4 0 6 5 0 0 1 9 3 2 2 2 2 5 4 0 9 4 0 1 3 0 0 7],MCTS,dd,10,10,30,0.95,10000,150.5972669124603,5000,100,-1,0.05,0.005
0,600,22.500241044128337,-8.499758955871663,[5 9 8 3 6 1 4 0 6 5 0 0 1 9 3 2 2 2 2 5 4 0 9 4 0 1 3 0 0 7],MCTS,dd,10,10,30,0.95,10000,161.04978728294373,5000,100,-1,0.05,0.005
0,615,22.500241044128337,-8.499758955871663,[5 9 8 3 6 1 4 0 6 5 0 0 1 9 3 2 2 2 2 5 4 0 9 4 0 1 3 0 0 7],MCTS,dd,10,10,30,0.95,10000,153.03435730934143,5000,100,-1,0.05,0.005
0,630,22.500241044128337,-8.499758955871663,[5 9 8 3 6 1 4 0 6 5 0 0 1 9 3 2 2 2 2 5 4 0 9 4 0 1 3 0 0 7],MCTS,dd,10,10,30,0.95,10000,156.52870702743533,5000,100,-1,0.05,0.005
