ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,30.278812246708327,-6.221187753291667,[20 13 26 13 15 27  0 25  1 19],MCTS,pd,10,30,10,0.95,10000,116.69012212753296,5000,100,-1,0.05,0.005
0,30,31.14877139197721,-5.351228608022787,[ 4 13  6 13 29  4  1 17  2 13],MCTS,pd,10,30,10,0.95,10000,187.91455006599426,5000,100,-1,0.05,0.005
0,45,31.478084361591282,-5.021915638408721,[ 4 26  6 13 29  4  1 17  2 13],MCTS,pd,10,30,10,0.95,10000,188.2303647994995,5000,100,-1,0.05,0.005
0,60,32.291733905085074,-4.2082660949149195,[ 4  4  6 13 29  4  1 17  2 13],MCTS,pd,10,30,10,0.95,10000,188.28904843330383,5000,100,-1,0.05,0.005
0,75,32.291733905085074,-4.2082660949149195,[ 4  4  6 13 29  4  1 17  2 13],MCTS,pd,10,30,10,0.95,10000,183.48522233963013,5000,100,-1,0.05,0.005
0,90,32.32092172695302,-4.179078273046983,[ 4  9  6 13 29  4  2 17 12 13],MCTS,pd,10,30,10,0.95,10000,181.26207947731015,5000,100,-1,0.05,0.005
0,105,33.17600065260484,-3.3239993473951586,[ 4  4  6 22  4  4  2 15 24 13],MCTS,pd,10,30,10,0.95,10000,189.34634256362915,5000,100,-1,0.05,0.005
0,120,33.487107682756,-3.0128923172440025,[ 4  9  6 13  4  4 10 17  9 13],MCTS,pd,10,30,10,0.95,10000,187.8768129348755,5000,100,-1,0.05,0.005
0,135,34.63679084985754,-1.86320915014246,[ 4  9 18  4  4  4 10 17  9 13],MCTS,pd,10,30,10,0.95,10000,186.77879977226257,5000,100,-1,0.05,0.005
0,150,35.018945145804764,-1.4810548541952429,[ 4  9 18  4  4  4 10  1  9  0],MCTS,pd,10,30,10,0.95,10000,178.16109800338745,5000,100,-1,0.05,0.005
0,165,35.20520884431409,-1.2947911556859069,[ 4  4  6 20  4  4 10  3  4  4],MCTS,pd,10,30,10,0.95,10000,176.6786553859711,5000,100,-1,0.05,0.005
0,180,36.7232343631471,0.22323436314709968,[ 4  9 11 19  0  4 14  3 19  4],MCTS,pd,10,30,10,0.95,10000,176.66755938529968,5000,100,-1,0.05,0.005
0,195,36.93790968686823,0.437909686868224,[ 4  9 18 19  0  4 14  3 11  4],MCTS,pd,10,30,10,0.95,10000,178.0878233909607,5000,100,-1,0.05,0.005
0,210,36.93790968686823,0.437909686868224,[ 4  9 18 19  0  4 14  3 11  4],MCTS,pd,10,30,10,0.95,10000,186.64997816085813,5000,100,-1,0.05,0.005
0,225,38.82809287255875,2.3280928725587486,[ 4  9 28 19  0  4 14  4 11  4],MCTS,pd,10,30,10,0.95,10000,189.6569628715515,5000,100,-1,0.05,0.005
0,240,38.82809287255875,2.3280928725587486,[ 4  9 28 19  0  4 14  4 11  4],MCTS,pd,10,30,10,0.95,10000,186.46418404579163,5000,100,-1,0.05,0.005
0,255,38.98896669570292,2.4889666957029206,[ 4  9 28 19  1  4 14  4  4  4],MCTS,pd,10,30,10,0.95,10000,187.21900272369385,5000,100,-1,0.05,0.005
0,270,39.30362591819321,2.8036259181932124,[ 4  9  9 19  1  4 14  4  4  4],MCTS,pd,10,30,10,0.95,10000,189.83489108085632,5000,100,-1,0.05,0.005
0,285,39.30820610906046,2.8082061090604498,[ 4  9  9 19  1  4 14  4  4  4],MCTS,pd,10,30,10,0.95,10000,187.4307940006256,5000,100,-1,0.05,0.005
0,300,40.038699062999065,3.538699062999065,[ 4  9  3 19  1  4 14  4  4  4],MCTS,pd,10,30,10,0.95,10000,188.09106397628784,5000,100,-1,0.05,0.005
0,315,40.038699062999065,3.538699062999065,[ 4  9  3 19  1  4 14  4  4  4],MCTS,pd,10,30,10,0.95,10000,186.17770910263062,5000,100,-1,0.05,0.005
