ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,81.58714356319172,-25.912856436808287,"[ 9  4  7 11 23 22 29  2  4  9 10 25  1 22 26  9 12 22 22 27  3  1 27 28
  0 14 14 23  0 21]",MCTS,pd,30,30,30,0.95,10000,254.87227582931519,5000,10,-1,0.05,0.005
0,30,81.58714356319172,-25.912856436808287,"[ 9  4  7 11 23 22 29  2  4  9 10 25  1 22 26  9 12 22 22 27  3  1 27 28
  0 14 14 23  0 21]",MCTS,pd,30,30,30,0.95,10000,264.2917284965515,5000,10,-1,0.05,0.005
0,45,82.01053242979476,-25.489467570205235,"[10  0 25 19  6  1 17 26 24  4  4  6 24 22 16  3  4 11 10  3 15  3 24  3
  3 27 28 13  5  3]",MCTS,pd,30,30,30,0.95,10000,313.644868850708,5000,10,-1,0.05,0.005
0,60,82.01053242979476,-25.489467570205235,"[10  0 25 19  6  1 17 26 24  4  4  6 24 22 16  3  4 11 10  3 15  3 24  3
  3 27 28 13  5  3]",MCTS,pd,30,30,30,0.95,10000,274.4270415306092,5000,10,-1,0.05,0.005
0,75,82.01053242979476,-25.489467570205235,"[21 12  9 27  7  7 13 15  8 11 15 27 17  3 21 25 18 21 26 29 25  0  0 20
 16 13  1 25 25 20]",MCTS,pd,30,30,30,0.95,10000,270.4186451435089,5000,10,-1,0.05,0.005
0,90,82.01053242979476,-25.489467570205235,"[11 27 26  3  7 19  2  2  9 10  7  5  4  9  9  0  3 16 24 10 19 12  2 28
 24 11  7 26  9 20]",MCTS,pd,30,30,30,0.95,10000,272.44608116149897,5000,10,-1,0.05,0.005
0,105,82.01053242979476,-25.489467570205235,"[11 27 26  3  7 19  2  2  9 10  7  5  4  9  9  0  3 16 24 10 19 12  2 28
 24 11  7 26  9 20]",MCTS,pd,30,30,30,0.95,10000,289.08096599578863,5000,10,-1,0.05,0.005
0,120,82.01053242979476,-25.489467570205235,"[11 27 26  3  7 19  2  2  9 10  7  5  4  9  9  0  3 16 24 10 19 12  2 28
 24 11  7 26  9 20]",MCTS,pd,30,30,30,0.95,10000,275.1377558708191,5000,10,-1,0.05,0.005
0,135,82.43585330010904,-25.06414669989095,"[25 22 16 19 20 26  0 24 14 23 12 29 12 11 22 11  8 21  8 11 18  4 13 23
 29 18 22 11 16 10]",MCTS,pd,30,30,30,0.95,10000,274.84771919250494,5000,10,-1,0.05,0.005
0,150,82.43585330010904,-25.06414669989095,"[25 22 16 19 20 26  0 24 14 23 12 29 12 11 22 11  8 21  8 11 18  4 13 23
 29 18 22 11 16 10]",MCTS,pd,30,30,30,0.95,10000,282.86994218826294,5000,10,-1,0.05,0.005
0,165,82.43585330010904,-25.06414669989095,"[25 22 16 19 20 26  0 24 14 23 12 29 12 11 22 11  8 21  8 11 18  4 13 23
 29 18 22 11 16 10]",MCTS,pd,30,30,30,0.95,10000,280.9339499473572,5000,10,-1,0.05,0.005
0,180,82.43585330010904,-25.06414669989095,"[ 7 25 11 20 10 24 11  9 11 20  3 21 22 24 27 25  0 10 18 14 19 12 12 15
  5 10 22 13  7 20]",MCTS,pd,30,30,30,0.95,10000,281.7415590286255,5000,10,-1,0.05,0.005
0,195,82.43585330010904,-25.06414669989095,"[ 7 25 11 20 10 24 11  9 11 20  3 21 22 24 27 25  0 10 18 14 19 12 12 15
  5 10 22 13  7 20]",MCTS,pd,30,30,30,0.95,10000,264.6334550380707,5000,10,-1,0.05,0.005
0,210,82.43585330010904,-25.06414669989095,"[ 7 25 11 20 10 24 11  9 11 20  3 21 22 24 27 25  0 10 18 14 19 12 12 15
  5 10 22 13  7 20]",MCTS,pd,30,30,30,0.95,10000,262.86856269836426,5000,10,-1,0.05,0.005
0,225,83.58007270725314,-23.919927292746863,"[23 22 28  5 24  8 29  1  3 27  5 16 21  9 21  1 26 17 22 15 28 27 20 20
 11 22 24  7  8  1]",MCTS,pd,30,30,30,0.95,10000,294.14190578460693,5000,10,-1,0.05,0.005
0,240,83.58007270725314,-23.919927292746863,"[23 22 28  5 24  8 29  1  3 27  5 16 21  9 21  1 26 17 22 15 28 27 20 20
 11 22 24  7  8  1]",MCTS,pd,30,30,30,0.95,10000,270.3390769958496,5000,10,-1,0.05,0.005
0,255,83.58007270725314,-23.919927292746863,"[27  9  8 16  0 23  8 16 14 27  7 22 20 22 14  0  2  8  1  2 11 19 12 28
 22  9  7  0  0 20]",MCTS,pd,30,30,30,0.95,10000,278.6213181018829,5000,10,-1,0.05,0.005
0,270,83.58007270725314,-23.919927292746863,"[27  9  8 16  0 23  8 16 14 27  7 22 20 22 14  0  2  8  1  2 11 19 12 28
 22  9  7  0  0 20]",MCTS,pd,30,30,30,0.95,10000,284.76718401908875,5000,10,-1,0.05,0.005
