ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,17.451625402463264,-28.548374597536736,[8 0 3 1 3 6 0 2 7 4 9 2 8 4 1 2 8 1 6 7 8 2 7 3 9 6 0 2 0 3],MCTS,rep,10,10,30,0.95,10000,103.39119267463684,5000,100,-1,0.05,0.005
0,30,17.451625402463264,-28.548374597536736,[5 7 6 9 4 7 7 8 8 8 1 9 8 5 3 5 6 4 8 7 2 0 8 9 4 6 7 4 6 1],MCTS,rep,10,10,30,0.95,10000,126.04253387451172,5000,100,-1,0.05,0.005
0,45,17.451625402463264,-28.548374597536736,[5 7 6 9 4 7 7 8 8 8 1 9 8 5 3 5 6 4 8 7 2 0 8 9 4 6 7 4 6 1],MCTS,rep,10,10,30,0.95,10000,121.91467595100404,5000,100,-1,0.05,0.005
0,60,18.227325224837863,-27.77267477516213,[5 5 1 6 4 2 5 1 8 1 7 3 0 5 1 7 5 2 0 9 0 0 5 7 5 8 7 2 3 6],MCTS,rep,10,10,30,0.95,10000,122.0845046043396,5000,100,-1,0.05,0.005
0,75,23.195828642974124,-22.80417135702588,[5 1 7 2 3 8 0 2 8 9 7 2 6 7 3 5 8 8 3 3 7 0 6 2 9 8 7 5 8 5],MCTS,rep,10,10,30,0.95,10000,119.1059341430664,5000,100,-1,0.05,0.005
0,90,24.453370460528824,-21.546629539471176,[4 3 3 4 3 1 6 2 8 0 7 0 5 4 3 1 0 2 3 2 0 2 3 5 2 8 3 9 6 7],MCTS,rep,10,10,30,0.95,10000,126.0090000629425,5000,100,-1,0.05,0.005
0,105,24.453370460528824,-21.546629539471176,[4 3 3 4 3 1 6 2 8 0 7 0 5 4 3 1 0 2 3 2 0 2 3 5 2 8 3 9 6 7],MCTS,rep,10,10,30,0.95,10000,133.13523244857788,5000,100,-1,0.05,0.005
0,120,24.453370460528824,-21.546629539471176,[4 3 3 4 3 1 6 2 8 0 7 0 5 4 3 1 0 2 3 2 0 2 3 5 2 8 3 9 6 7],MCTS,rep,10,10,30,0.95,10000,130.79570531845093,5000,100,-1,0.05,0.005
0,135,25.37696429657594,-20.62303570342406,[8 1 4 3 0 1 6 9 4 6 0 4 1 6 3 5 6 2 3 8 5 0 8 4 5 5 8 4 6 7],MCTS,rep,10,10,30,0.95,10000,140.40653085708618,5000,100,-1,0.05,0.005
0,150,28.469586552706442,-17.530413447293554,[2 2 3 4 6 1 5 6 3 6 7 0 6 9 6 5 4 2 3 3 0 4 8 0 9 7 5 5 6 7],MCTS,rep,10,10,30,0.95,10000,139.3904461860657,5000,100,-1,0.05,0.005
0,165,28.469586552706442,-17.530413447293554,[2 2 3 4 6 1 5 6 3 6 7 0 6 9 6 5 4 2 3 3 0 4 8 0 9 7 5 5 6 7],MCTS,rep,10,10,30,0.95,10000,140.66885375976562,5000,100,-1,0.05,0.005
0,180,28.469586552706442,-17.530413447293554,[8 9 2 5 8 5 6 0 8 8 5 9 1 9 8 3 8 2 7 3 4 6 0 7 9 1 7 9 0 0],MCTS,rep,10,10,30,0.95,10000,131.57592153549194,5000,100,-1,0.05,0.005
0,195,29.50969324751221,-16.49030675248779,[9 8 2 9 9 7 1 3 8 4 8 0 5 3 3 5 4 4 3 5 7 2 8 4 9 6 7 0 0 9],MCTS,rep,10,10,30,0.95,10000,137.63493180274963,5000,100,-1,0.05,0.005
0,210,29.50969324751221,-16.49030675248779,[9 8 2 9 9 7 1 3 8 4 8 0 5 3 3 5 4 4 3 5 7 2 8 4 9 6 7 0 0 9],MCTS,rep,10,10,30,0.95,10000,135.77504014968872,5000,100,-1,0.05,0.005
0,225,29.50969324751221,-16.49030675248779,[9 8 2 9 9 7 1 3 8 4 8 0 5 3 3 5 4 4 3 5 7 2 8 4 9 6 7 0 0 9],MCTS,rep,10,10,30,0.95,10000,142.68949627876282,5000,100,-1,0.05,0.005
0,240,29.50969324751221,-16.49030675248779,[9 8 2 9 9 7 1 3 8 4 8 0 5 3 3 5 4 4 3 5 7 2 8 4 9 6 7 0 0 9],MCTS,rep,10,10,30,0.95,10000,138.82847094535828,5000,100,-1,0.05,0.005
0,255,29.50969324751221,-16.49030675248779,[9 8 2 9 9 7 1 3 8 4 8 0 5 3 3 5 4 4 3 5 7 2 8 4 9 6 7 0 0 9],MCTS,rep,10,10,30,0.95,10000,141.35142159461975,5000,100,-1,0.05,0.005
0,270,29.50969324751221,-16.49030675248779,[9 8 2 9 9 7 1 3 8 4 8 0 5 3 3 5 4 4 3 5 7 2 8 4 9 6 7 0 0 9],MCTS,rep,10,10,30,0.95,10000,131.9337158203125,5000,100,-1,0.05,0.005
0,285,29.50969324751221,-16.49030675248779,[1 2 2 3 6 1 8 7 8 4 0 2 3 8 7 7 7 5 3 5 4 0 8 7 8 1 2 7 0 9],MCTS,rep,10,10,30,0.95,10000,137.28043889999392,5000,100,-1,0.05,0.005
0,300,29.50969324751221,-16.49030675248779,[1 2 2 3 6 1 8 7 8 4 0 2 3 8 7 7 7 5 3 5 4 0 8 7 8 1 2 7 0 9],MCTS,rep,10,10,30,0.95,10000,145.6198198795319,5000,100,-1,0.05,0.005
0,315,29.50969324751221,-16.49030675248779,[1 2 2 3 6 1 8 7 8 4 0 2 3 8 7 7 7 5 3 5 4 0 8 7 8 1 2 7 0 9],MCTS,rep,10,10,30,0.95,10000,139.024995803833,5000,100,-1,0.05,0.005
0,330,29.50969324751221,-16.49030675248779,[1 2 2 3 6 1 8 7 8 4 0 2 3 8 7 7 7 5 3 5 4 0 8 7 8 1 2 7 0 9],MCTS,rep,10,10,30,0.95,10000,139.24854612350464,5000,100,-1,0.05,0.005
0,345,29.50969324751221,-16.49030675248779,[1 2 2 3 6 1 8 7 8 4 0 2 3 8 7 7 7 5 3 5 4 0 8 7 8 1 2 7 0 9],MCTS,rep,10,10,30,0.95,10000,133.6264328956604,5000,100,-1,0.05,0.005
0,360,29.50969324751221,-16.49030675248779,[1 2 2 3 6 1 8 7 8 4 0 2 3 8 7 7 7 5 3 5 4 0 8 7 8 1 2 7 0 9],MCTS,rep,10,10,30,0.95,10000,127.66829586029051,5000,100,-1,0.05,0.005
0,375,29.50969324751221,-16.49030675248779,[1 2 2 3 6 1 8 7 8 4 0 2 3 8 7 7 7 5 3 5 4 0 8 7 8 1 2 7 0 9],MCTS,rep,10,10,30,0.95,10000,137.86690020561218,5000,100,-1,0.05,0.005
0,390,29.50969324751221,-16.49030675248779,[1 2 2 3 6 1 8 7 8 4 0 2 3 8 7 7 7 5 3 5 4 0 8 7 8 1 2 7 0 9],MCTS,rep,10,10,30,0.95,10000,135.99015402793884,5000,100,-1,0.05,0.005
0,405,29.50969324751221,-16.49030675248779,[1 2 2 3 6 1 8 7 8 4 0 2 3 8 7 7 7 5 3 5 4 0 8 7 8 1 2 7 0 9],MCTS,rep,10,10,30,0.95,10000,131.6892352104187,5000,100,-1,0.05,0.005
0,420,29.50969324751221,-16.49030675248779,[1 2 2 3 6 1 8 7 8 4 0 2 3 8 7 7 7 5 3 5 4 0 8 7 8 1 2 7 0 9],MCTS,rep,10,10,30,0.95,10000,143.01249170303342,5000,100,-1,0.05,0.005
0,435,29.50969324751221,-16.49030675248779,[1 2 2 3 6 1 8 7 8 4 0 2 3 8 7 7 7 5 3 5 4 0 8 7 8 1 2 7 0 9],MCTS,rep,10,10,30,0.95,10000,141.26507949829104,5000,100,-1,0.05,0.005
0,450,29.50969324751221,-16.49030675248779,[1 2 2 3 6 1 8 7 8 4 0 2 3 8 7 7 7 5 3 5 4 0 8 7 8 1 2 7 0 9],MCTS,rep,10,10,30,0.95,10000,144.26935100555417,5000,100,-1,0.05,0.005
0,465,29.50969324751221,-16.49030675248779,[1 2 2 3 6 1 8 7 8 4 0 2 3 8 7 7 7 5 3 5 4 0 8 7 8 1 2 7 0 9],MCTS,rep,10,10,30,0.95,10000,146.1942980289459,5000,100,-1,0.05,0.005
0,480,29.52239348163093,-16.477606518369065,[9 4 7 4 6 6 0 3 3 5 0 1 7 1 5 9 9 2 3 6 0 0 0 4 4 1 7 5 0 7],MCTS,rep,10,10,30,0.95,10000,148.12962436676025,5000,100,-1,0.05,0.005
0,495,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,143.33248090744019,5000,100,-1,0.05,0.005
0,510,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,151.54113650321958,5000,100,-1,0.05,0.005
0,525,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,149.45799994468692,5000,100,-1,0.05,0.005
0,540,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,145.72310376167297,5000,100,-1,0.05,0.005
0,555,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,146.06567645072937,5000,100,-1,0.05,0.005
0,570,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,146.3195335865021,5000,100,-1,0.05,0.005
0,585,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,143.09964990615842,5000,100,-1,0.05,0.005
0,600,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,150.75030660629272,5000,100,-1,0.05,0.005
0,615,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,143.35823941230777,5000,100,-1,0.05,0.005
0,630,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,129.58755707740784,5000,100,-1,0.05,0.005
0,645,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,148.3218379020691,5000,100,-1,0.05,0.005
0,660,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,140.35869908332822,5000,100,-1,0.05,0.005
0,675,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,142.50635457038882,5000,100,-1,0.05,0.005
0,690,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,141.2861061096191,5000,100,-1,0.05,0.005
0,705,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,144.69031739234924,5000,100,-1,0.05,0.005
0,720,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,138.30752468109128,5000,100,-1,0.05,0.005
0,735,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,144.02233743667603,5000,100,-1,0.05,0.005
0,750,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,145.28366112709043,5000,100,-1,0.05,0.005
0,765,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,144.08212924003598,5000,100,-1,0.05,0.005
0,780,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,143.13701677322388,5000,100,-1,0.05,0.005
0,795,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,135.5099995136261,5000,100,-1,0.05,0.005
0,810,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,131.0271179676056,5000,100,-1,0.05,0.005
0,825,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,142.26392388343808,5000,100,-1,0.05,0.005
0,840,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,140.18262243270874,5000,100,-1,0.05,0.005
0,855,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,141.99254775047302,5000,100,-1,0.05,0.005
0,870,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,133.6271619796753,5000,100,-1,0.05,0.005
0,885,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,142.79627251625058,5000,100,-1,0.05,0.005
0,900,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,139.4980309009552,5000,100,-1,0.05,0.005
0,915,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,135.6833257675171,5000,100,-1,0.05,0.005
0,930,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,144.28782939910892,5000,100,-1,0.05,0.005
0,945,31.497189024864202,-14.502810975135796,[9 1 2 4 5 1 4 3 8 9 1 8 1 2 3 5 2 2 3 6 4 3 3 2 9 8 7 0 0 7],MCTS,rep,10,10,30,0.95,10000,145.05473279953003,5000,100,-1,0.05,0.005
