ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,16.501486958155436,-29.498513041844568,[6 9 5 2 9 5 9 1 1 0 7 4 4 0 8 3 4 3 1 0 6 5 4 9 9 9 3 2 5 1],MCTS,rep,10,10,30,0.95,10000,142.23013067245486,5000,100,-1,0.05,0.005
0,30,18.39245024929113,-27.60754975070887,[0 9 8 9 3 1 4 6 2 5 2 2 7 4 8 3 6 2 4 4 6 3 7 3 6 3 3 6 5 1],MCTS,rep,10,10,30,0.95,10000,145.65718770027158,5000,100,-1,0.05,0.005
0,45,19.355592694806518,-26.644407305193482,[8 9 6 2 9 1 0 5 8 3 1 2 2 1 4 9 6 4 2 2 4 5 0 3 3 8 6 5 5 9],MCTS,rep,10,10,30,0.95,10000,165.0148735046387,5000,100,-1,0.05,0.005
0,60,23.27143727579532,-22.72856272420468,[8 2 0 4 5 1 8 2 8 0 8 0 4 9 0 6 6 3 3 6 7 4 7 1 1 7 7 7 5 9],MCTS,rep,10,10,30,0.95,10000,173.9741506576538,5000,100,-1,0.05,0.005
0,75,23.27143727579532,-22.72856272420468,[8 2 9 7 6 1 4 8 3 5 8 0 6 9 9 8 5 0 9 2 4 4 8 4 9 3 6 0 0 3],MCTS,rep,10,10,30,0.95,10000,150.61079645156858,5000,100,-1,0.05,0.005
0,90,23.378852809874658,-22.621147190125342,[0 2 9 2 2 1 7 2 8 1 1 2 8 8 7 5 6 2 3 2 8 8 8 4 6 9 3 4 5 1],MCTS,rep,10,10,30,0.95,10000,160.79809474945068,5000,100,-1,0.05,0.005
0,105,25.083128311554965,-20.916871688445035,[3 2 0 0 1 1 0 2 8 4 4 3 7 1 3 5 2 5 3 6 4 8 7 9 1 2 5 0 5 3],MCTS,rep,10,10,30,0.95,10000,171.2418177127838,5000,100,-1,0.05,0.005
0,120,25.083128311554965,-20.916871688445035,[3 2 0 0 1 1 0 2 8 4 4 3 7 1 3 5 2 5 3 6 4 8 7 9 1 2 5 0 5 3],MCTS,rep,10,10,30,0.95,10000,170.95271849632263,5000,100,-1,0.05,0.005
0,135,28.360200703601155,-17.639799296398845,[9 2 4 3 3 4 0 2 8 5 0 0 8 1 6 5 1 4 3 8 3 4 6 4 9 1 2 0 5 0],MCTS,rep,10,10,30,0.95,10000,165.67227435112,5000,100,-1,0.05,0.005
0,150,28.360200703601155,-17.639799296398845,[9 2 4 3 3 4 0 2 8 5 0 0 8 1 6 5 1 4 3 8 3 4 6 4 9 1 2 0 5 0],MCTS,rep,10,10,30,0.95,10000,166.14929056167603,5000,100,-1,0.05,0.005
