ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,22.68852286183841,-28.31147713816159,"[22 27 28  8 22  8 28  8  8  2 29 12  2 10 19 13 28  2 25 27  0 22  1 23
 29 22 27  3  6 16]",SA,att,30,30,30,0.95,10000,99.8206934928894,5000,-1,10,0.005,0.1
0,30,22.68852286183841,-28.31147713816159,"[ 1 27 11 29 23 17 10 20 14  7 25  9  3 11 29 12 26  7  7 10  6 22  0 12
 22 27 14 23  5 19]",SA,att,30,30,30,0.95,10000,99.912757396698,5000,-1,10,0.005,0.1
0,45,22.768941836418012,-28.231058163581988,"[19  8 29  5  1 26 16  8 14  2 29 14 11  0 18 18 13 20 26 19  6  8 22 17
  7 21 10  6 10 17]",SA,att,30,30,30,0.95,10000,99.37154412269592,5000,-1,10,0.005,0.1
0,60,22.768941836418012,-28.231058163581988,"[19  8 29  5  1 26 16  8 14  2 29 14 11  0 18 18 13 20 26 19  6  8 22 17
  7 21 10  6 10 17]",SA,att,30,30,30,0.95,10000,99.88823437690736,5000,-1,10,0.005,0.1
0,75,24.27006759048996,-26.72993240951004,"[28 27 27 26  2  8 26 28  4  2 22 14 11  4 18 18 13 15 29 27  2 24  1 17
 22 15  1  9 15 17]",SA,att,30,30,30,0.95,10000,99.55799961090088,5000,-1,10,0.005,0.1
0,90,26.69914606022593,-24.30085393977407,"[28  5  9 12  2  8 13 22  6 28  7  4 15  0 12 21 14 15 26 24 10 23  1 16
 22  3 18 24 15 17]",SA,att,30,30,30,0.95,10000,99.73183846473694,5000,-1,10,0.005,0.1
0,105,27.84327454863027,-23.15672545136973,"[19  5  9 24  2  8 13 21  6 24  7  4 24 21  5 21 13 10 25 28  8 12  1 17
 22  3 21 24 23 19]",SA,att,30,30,30,0.95,10000,99.76709866523744,5000,-1,10,0.005,0.1
0,120,28.610576419691576,-22.389423580308424,"[28 12  9 24  2  8 24 27 19 28  7  4 15  7 12 23 14  8 10 24 12 12 22 25
 25  3 21 24  2 17]",SA,att,30,30,30,0.95,10000,99.574364900589,5000,-1,10,0.005,0.1
0,135,28.610576419691576,-22.389423580308424,"[28 12  9 24  2  8 24 27 19 28  7  4 15  7 12 23 14  8 10 24 12 12 22 25
 25  3 21 24  2 17]",SA,att,30,30,30,0.95,10000,99.61143088340759,5000,-1,10,0.005,0.1
0,150,28.610576419691576,-22.389423580308424,"[28 12  9 24  2  8 24 27 19 28  7  4 15  7 12 23 14  8 10 24 12 12 22 25
 25  3 21 24  2 17]",SA,att,30,30,30,0.95,10000,100.52585124969481,5000,-1,10,0.005,0.1
0,165,30.29656029628521,-20.70343970371479,"[20 21  9 24  5 12  1 28  5 17  7 28 21 22  2 21 14  6 24 16  8 29 14 28
 22  3  6 24  2  7]",SA,att,30,30,30,0.95,10000,99.37744164466858,5000,-1,10,0.005,0.1
0,180,31.23673077802053,-19.763269221979467,"[ 6 29  9 12  5 12 23 28 22 17  7 28 21 22  2  1 14  6 25 16  8 29 29 28
 22  6  5 24  2  7]",SA,att,30,30,30,0.95,10000,121.35246968269348,5000,-1,10,0.005,0.1
0,195,32.772535848063086,-18.227464151936914,"[ 6 19  9 12  5 12 29 15 14 27  7  6 17 22  2  1 13 27 25 28 17 12  4 29
 22 15  5  3  5 27]",SA,att,30,30,30,0.95,10000,104.29282736778259,5000,-1,10,0.005,0.1
0,210,41.02481907695534,-9.97518092304466,"[19 19  9  2  5 29 29 28 14 27  7  6 21 22 28  1 14  6  6 28 24 12 19 28
 22 23  1 24  2  7]",SA,att,30,30,30,0.95,10000,123.24715900421144,5000,-1,10,0.005,0.1
0,225,41.02481907695534,-9.97518092304466,"[19 19  9  2  5 29 29 28 14 27  7  6 21 22 28  1 14  6  6 28 24 12 19 28
 22 23  1 24  2  7]",SA,att,30,30,30,0.95,10000,91.95708703994751,5000,-1,10,0.005,0.1
0,240,41.02481907695534,-9.97518092304466,"[19 19  9  2  5 29 29 28 14 27  7  6 21 22 28  1 14  6  6 28 24 12 19 28
 22 23  1 24  2  7]",SA,att,30,30,30,0.95,10000,91.98254132270813,5000,-1,10,0.005,0.1
0,255,47.55210673932875,-3.4478932606712505,"[ 6 12  9  2  5 29 29 10 14 27  7  0 21 22 27  1  1 19 10 16 24 12 19 23
 22 23  1 24  2 20]",SA,att,30,30,30,0.95,10000,92.02371835708618,5000,-1,10,0.005,0.1
0,270,47.91785884954961,-3.08214115045039,"[19 19  9  2  5 29 29 28 14 27 11  0 21 22 27  1  1 21 10 10 24 12 19 12
 22 23  1 24 11 20]",SA,att,30,30,30,0.95,10000,99.31760859489441,5000,-1,10,0.005,0.1
0,285,47.91785884954961,-3.08214115045039,"[19 19  9  2  5 29 29 28 14 27 11  0 21 22 27  1  1 21 10 10 24 12 19 12
 22 23  1 24 11 20]",SA,att,30,30,30,0.95,10000,99.61496138572693,5000,-1,10,0.005,0.1
0,300,47.91785884954961,-3.08214115045039,"[19 19  9  2  5 29 29 28 14 27 11  0 21 22 27  1  1 21 10 10 24 12 19 12
 22 23  1 24 11 20]",SA,att,30,30,30,0.95,10000,99.39553499221802,5000,-1,10,0.005,0.1
0,315,49.55392961152828,-1.4460703884717176,"[ 8 12  9  2  5 29 29  0 14 27  7  0 21 22 27  1  1  0 10 10 24 12 19 23
 22 23  1 24 16 20]",SA,att,30,30,30,0.95,10000,99.66137313842772,5000,-1,10,0.005,0.1
0,330,50.546472239416026,-0.4535277605839738,"[ 0 12  9  2  5 29 29  0 22 27  7  0 21 22 27  1  1 29 10 10 24 12 19 23
 22 23  1 24 11 20]",SA,att,30,30,30,0.95,10000,99.62581753730774,5000,-1,10,0.005,0.1
0,345,51.54296301712656,0.54296301712656,"[ 6 12  9  2  5 29 29  0 14 27  7  0 21 22 27  1  1 29 10 10 24 12 19 23
 22 23  1 24 11 20]",SA,att,30,30,30,0.95,10000,99.44186544418336,5000,-1,10,0.005,0.1
0,360,51.548707844777724,0.5487078447777307,"[11 12  9  2  5 29 29  0 14 27  7  0 21 22 27  1  1 29 10 10 24 12 19 23
 22 23  1 24 11 20]",SA,att,30,30,30,0.95,10000,99.45553183555604,5000,-1,10,0.005,0.1
0,375,51.55708743040288,0.5570874304028806,"[11 12  9  2  5 29 29  0 14 27  7  0 21 22 27  1  1 29 10 10 24 12 19 23
 22 23  1 24 11 20]",SA,att,30,30,30,0.95,10000,123.20996141433716,5000,-1,10,0.005,0.1
0,390,51.55708743040288,0.5570874304028806,"[11 12  9  2  5 29 29  0 14 27  7  0 21 22 27  1  1 29 10 10 24 12 19 23
 22 23  1 24 11 20]",SA,att,30,30,30,0.95,10000,113.23319697380066,5000,-1,10,0.005,0.1
0,405,51.55708743040288,0.5570874304028806,"[11 12  9  2  5 29 29  0 14 27  7  0 21 22 27  1  1 29 10 10 24 12 19 23
 22 23  1 24 11 20]",SA,att,30,30,30,0.95,10000,99.54235363006592,5000,-1,10,0.005,0.1
0,420,51.55708743040288,0.5570874304028806,"[11 12  9  2  5 29 29  0 14 27  7  0 21 22 27  1  1 29 10 10 24 12 19 23
 22 23  1 24 11 20]",SA,att,30,30,30,0.95,10000,99.53654766082764,5000,-1,10,0.005,0.1
0,435,51.55708743040288,0.5570874304028806,"[11 12  9  2  5 29 29  0 14 27  7  0 21 22 27  1  1 29 10 10 24 12 19 23
 22 23  1 24 11 20]",SA,att,30,30,30,0.95,10000,99.42595314979552,5000,-1,10,0.005,0.1
0,450,51.55708743040288,0.5570874304028806,"[11 12  9  2  5 29 29  0 14 27  7  0 21 22 27  1  1 29 10 10 24 12 19 23
 22 23  1 24 11 20]",SA,att,30,30,30,0.95,10000,99.59977507591248,5000,-1,10,0.005,0.1
0,465,52.5480684614095,1.5480684614094995,"[ 7 12  9  2  5 29 29  0 14 27  7  0 21 22 27  1  1 29 10 10 24 12 19 23
 22 23  1 24 11 20]",SA,att,30,30,30,0.95,10000,99.75020694732666,5000,-1,10,0.005,0.1
0,480,52.5480684614095,1.5480684614094995,"[ 7 12  9  2  5 29 29  0 14 27  7  0 21 22 27  1  1 29 10 10 24 12 19 23
 22 23  1 24 11 20]",SA,att,30,30,30,0.95,10000,99.56927156448364,5000,-1,10,0.005,0.1
