ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,21.388533661192287,-9.611466338807707,[21  8 11 22  2 27 13  1  7 21],SA,att,10,30,10,0.95,10000,42.89152836799622,5000,-1,50,0.05,0.005
0,30,23.784524107322326,-7.215475892677678,[16  8  2 22  1 28 29 12 27 21],SA,att,10,30,10,0.95,10000,42.84200382232665,5000,-1,50,0.05,0.005
0,45,23.784524107322326,-7.215475892677678,[16  8  2 22  1 28 29 12 27 21],SA,att,10,30,10,0.95,10000,42.891964912414544,5000,-1,50,0.05,0.005
0,60,26.255034275545288,-4.7449657244547145,[26  9 24  1 17 19 28 18 19 21],SA,att,10,30,10,0.95,10000,42.94835114479065,5000,-1,50,0.05,0.005
0,75,26.255034275545288,-4.7449657244547145,[13  9 24 27  0 19 28 18 19  1],SA,att,10,30,10,0.95,10000,42.867697477340705,5000,-1,50,0.05,0.005
0,90,26.255034275545288,-4.7449657244547145,[29 12  3  5  0 20 18 18 14  1],SA,att,10,30,10,0.95,10000,43.18621444702149,5000,-1,50,0.05,0.005
0,105,26.78267132551035,-4.21732867448965,[20 24  3  1 27 18 24 18 14 21],SA,att,10,30,10,0.95,10000,42.934604167938225,5000,-1,50,0.05,0.005
0,120,26.78267132551035,-4.21732867448965,[15 22  3  7 22 24  5 18 14 24],SA,att,10,30,10,0.95,10000,42.982481479644775,5000,-1,50,0.05,0.005
0,135,29.798427473351392,-1.2015725266486117,[12 24  5 13  6  2 18 23 24  0],SA,att,10,30,10,0.95,10000,43.2162036895752,5000,-1,50,0.05,0.005
0,150,29.798427473351392,-1.2015725266486117,[12 24  5 20  6  2 18 23 24  0],SA,att,10,30,10,0.95,10000,43.227665185928345,5000,-1,50,0.05,0.005
0,165,29.798427473351392,-1.2015725266486117,[18  3  5 19 26  5 24 23 24  0],SA,att,10,30,10,0.95,10000,43.181185007095344,5000,-1,50,0.05,0.005
0,180,32.30716204865235,1.3071620486523514,[ 0 24 19 11  1  5 24 18 24  0],SA,att,10,30,10,0.95,10000,43.188292026519775,5000,-1,50,0.05,0.005
0,195,33.238679416155556,2.2386794161555628,[ 0  6 26 15  1 24 24 18 24  0],SA,att,10,30,10,0.95,10000,42.81957650184631,5000,-1,50,0.05,0.005
0,210,33.238679416155556,2.2386794161555628,[ 0  6 26 15  1 24 24 18 24  0],SA,att,10,30,10,0.95,10000,42.84704208374024,5000,-1,50,0.05,0.005
0,225,33.238679416155556,2.2386794161555628,[ 0  6 26 15  1 24 24 18 24  0],SA,att,10,30,10,0.95,10000,42.822972297668464,5000,-1,50,0.05,0.005
0,240,34.00117857219573,3.0011785721957267,[ 6 26 19  1  1 24  7 18 24  0],SA,att,10,30,10,0.95,10000,42.915005445480354,5000,-1,50,0.05,0.005
0,255,34.2640799768736,3.2640799768735964,[ 6 28 19  1  1 24 24 18 24  0],SA,att,10,30,10,0.95,10000,42.99538207054138,5000,-1,50,0.05,0.005
0,270,34.2640799768736,3.2640799768735964,[ 6 28 19  1  1 24 24 18 24  0],SA,att,10,30,10,0.95,10000,42.854008674621575,5000,-1,50,0.05,0.005
0,285,34.2640799768736,3.2640799768735964,[ 6 28 19  1  1 24 24 18 24  0],SA,att,10,30,10,0.95,10000,42.868647336959846,5000,-1,50,0.05,0.005
0,300,34.2640799768736,3.2640799768735964,[ 6 28 19  1  1 24 24 18 24  0],SA,att,10,30,10,0.95,10000,42.87017464637756,5000,-1,50,0.05,0.005
0,315,34.2640799768736,3.2640799768735964,[ 6 28 19  1  1 24 24 18 24  0],SA,att,10,30,10,0.95,10000,43.03842544555664,5000,-1,50,0.05,0.005
0,330,34.2640799768736,3.2640799768735964,[ 6 28 19  1  1 24 24 18 24  0],SA,att,10,30,10,0.95,10000,42.99922323226929,5000,-1,50,0.05,0.005
0,345,34.2640799768736,3.2640799768735964,[12  6 17 19  1 17  7 18  0  0],SA,att,10,30,10,0.95,10000,42.9062728881836,5000,-1,50,0.05,0.005
0,360,37.83076807622592,6.830768076225923,[ 6  6  2 19  1 24  7 18  0  0],SA,att,10,30,10,0.95,10000,43.22389602661133,5000,-1,50,0.05,0.005
0,375,37.846831674705136,6.846831674705129,[ 6  6  2 19  1 24 19 18  0  0],SA,att,10,30,10,0.95,10000,42.812744140625,5000,-1,50,0.05,0.005
0,390,37.846831674705136,6.846831674705129,[ 6  6  2 19  1 24 19 18  0  0],SA,att,10,30,10,0.95,10000,42.86038565635681,5000,-1,50,0.05,0.005
0,405,37.846831674705136,6.846831674705129,[ 6 13 17 19  1 24 19 18  0  0],SA,att,10,30,10,0.95,10000,42.7725465297699,5000,-1,50,0.05,0.005
0,420,37.846831674705136,6.846831674705129,[ 6 13 17 19  1 24 19 18  0  0],SA,att,10,30,10,0.95,10000,42.80417776107788,5000,-1,50,0.05,0.005
0,435,37.846831674705136,6.846831674705129,[ 6 13 17 19  1 24 19 18  0  0],SA,att,10,30,10,0.95,10000,42.839707612991326,5000,-1,50,0.05,0.005
0,450,37.846831674705136,6.846831674705129,[ 6 13 17 19  1 24 19 18  0  0],SA,att,10,30,10,0.95,10000,43.005723476409905,5000,-1,50,0.05,0.005
0,465,37.846831674705136,6.846831674705129,[ 6 13 17 19  1 24 19 18  0  0],SA,att,10,30,10,0.95,10000,42.890637397766106,5000,-1,50,0.05,0.005
0,480,37.846831674705136,6.846831674705129,[ 6 16  3 19  1 11  3 18  0  0],SA,att,10,30,10,0.95,10000,42.85027170181274,5000,-1,50,0.05,0.005
