ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,25.013036552167048,-25.986963447832952,[4 4 5 3 7 6 2 2 4 4 0 5 6 4 1 6 3 6 2 2 4 5 6 4 2 4 7 7 6 3],SA,att,10,10,30,0.95,10000,55.53593969345093,5000,-1,50,0.05,0.1
0,30,27.605681395605444,-23.39431860439456,[9 9 5 5 8 9 7 3 7 7 5 5 5 1 5 4 6 4 5 2 5 2 6 0 9 5 7 7 1 9],SA,att,10,10,30,0.95,10000,39.19769287109375,5000,-1,50,0.05,0.1
0,45,28.61620338117528,-22.38379661882472,[9 0 5 7 8 8 0 4 4 7 1 0 8 1 0 9 6 1 3 2 5 9 6 4 9 8 7 4 2 1],SA,att,10,10,30,0.95,10000,39.179453611373894,5000,-1,50,0.05,0.1
0,60,29.28848486221611,-21.711515137783884,[9 2 0 7 3 4 2 2 9 5 5 0 0 2 3 6 4 0 7 0 2 9 6 4 9 1 1 9 2 9],SA,att,10,10,30,0.95,10000,39.14561295509338,5000,-1,50,0.05,0.1
0,75,29.28848486221611,-21.711515137783884,[3 2 3 3 6 1 5 3 5 5 5 0 7 2 4 5 9 0 0 7 4 4 3 4 2 0 3 1 1 7],SA,att,10,10,30,0.95,10000,39.10573410987854,5000,-1,50,0.05,0.1
0,90,37.05689577374718,-13.94310422625282,[9 4 6 6 7 1 8 0 4 5 0 0 9 1 3 5 8 2 3 8 3 3 8 4 9 1 7 6 1 1],SA,att,10,10,30,0.95,10000,39.16115951538086,5000,-1,50,0.05,0.1
0,105,38.194450886846255,-12.805549113153743,[9 4 2 3 7 8 0 1 8 6 0 1 9 9 3 7 2 2 3 8 3 1 8 4 9 1 7 6 1 3],SA,att,10,10,30,0.95,10000,40.234237909317024,5000,-1,50,0.05,0.1
0,120,38.194450886846255,-12.805549113153743,[9 4 2 3 7 8 0 1 8 6 0 1 9 9 3 7 2 2 3 8 3 1 8 4 9 1 7 6 1 3],SA,att,10,10,30,0.95,10000,39.23044753074646,5000,-1,50,0.05,0.1
0,135,43.00866342983448,-7.991336570165522,[2 2 2 6 3 1 0 6 3 8 0 0 9 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 1 3],SA,att,10,10,30,0.95,10000,39.20087313652039,5000,-1,50,0.05,0.1
0,150,43.91094641176222,-7.089053588237783,[2 2 2 4 3 1 0 3 8 5 0 0 2 9 3 1 2 8 3 3 9 0 8 4 6 1 7 6 1 7],SA,att,10,10,30,0.95,10000,39.193832635879524,5000,-1,50,0.05,0.1
0,165,43.91094641176222,-7.089053588237783,[2 2 2 4 3 1 0 3 8 5 0 0 2 9 3 1 2 8 3 3 9 0 8 4 6 1 7 6 1 7],SA,att,10,10,30,0.95,10000,39.07047963142396,5000,-1,50,0.05,0.1
0,180,43.91467773167136,-7.085322268328646,[9 2 2 4 5 1 0 3 6 5 0 0 2 9 3 7 3 9 3 3 9 0 8 4 3 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.091561317443855,5000,-1,50,0.05,0.1
0,195,46.91612469621802,-4.08387530378198,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 5 0 2 9 3 3 9 0 8 4 3 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.177719593048096,5000,-1,50,0.05,0.1
0,210,47.907185412441216,-3.092814587558792,[9 2 2 1 2 1 0 3 8 5 0 0 5 9 5 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.18321752548218,5000,-1,50,0.05,0.1
0,225,47.907185412441216,-3.092814587558792,[9 2 2 1 2 1 0 3 8 5 0 0 5 9 5 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.12351846694946,5000,-1,50,0.05,0.1
0,240,48.56577827284024,-2.434221727159766,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 3 3 3 0 0 8 4 9 1 7 0 1 0],SA,att,10,10,30,0.95,10000,39.20607542991638,5000,-1,50,0.05,0.1
0,255,48.56577827284024,-2.434221727159766,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 3 3 3 0 0 8 4 9 1 7 0 1 0],SA,att,10,10,30,0.95,10000,39.229397535324104,5000,-1,50,0.05,0.1
0,270,48.56577827284024,-2.434221727159766,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 3 3 3 0 0 8 4 9 1 7 0 1 0],SA,att,10,10,30,0.95,10000,39.27353477478027,5000,-1,50,0.05,0.1
0,285,48.56577827284024,-2.434221727159766,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 3 3 3 0 0 8 4 9 1 7 0 1 0],SA,att,10,10,30,0.95,10000,39.2779393196106,5000,-1,50,0.05,0.1
0,300,48.9044689335511,-2.095531066448899,[9 2 2 4 6 1 0 3 3 5 0 0 5 9 5 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.3575828075409,5000,-1,50,0.05,0.1
0,315,48.9044689335511,-2.095531066448899,[9 2 2 4 6 1 0 3 3 5 0 0 5 9 5 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.20307850837708,5000,-1,50,0.05,0.1
0,330,49.91010052337453,-1.0898994766254688,[9 2 2 4 6 1 0 3 5 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.191542387008674,5000,-1,50,0.05,0.1
0,345,50.90643392262957,-0.09356607737043277,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.17487931251526,5000,-1,50,0.05,0.1
0,360,50.90694666670607,-0.09305333329394473,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.25080156326294,5000,-1,50,0.05,0.1
0,375,50.90819578177275,-0.09180421822724584,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.13123083114624,5000,-1,50,0.05,0.1
0,390,50.91047471723334,-0.08952528276666527,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.21498489379883,5000,-1,50,0.05,0.1
0,405,50.91047471723334,-0.08952528276666527,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.27503490447997,5000,-1,50,0.05,0.1
0,420,50.91047471723334,-0.08952528276666527,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.271235466003425,5000,-1,50,0.05,0.1
0,435,50.91047471723334,-0.08952528276666527,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.22156167030335,5000,-1,50,0.05,0.1
0,450,50.91047471723334,-0.08952528276666527,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.198885202407844,5000,-1,50,0.05,0.1
0,465,50.91047471723334,-0.08952528276666527,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.237561225891106,5000,-1,50,0.05,0.1
0,480,50.91047471723334,-0.08952528276666527,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.21457028388978,5000,-1,50,0.05,0.1
0,495,50.91047471723334,-0.08952528276666527,[9 2 1 2 6 4 6 3 8 5 8 0 5 9 3 4 0 6 3 6 9 2 7 4 9 3 6 0 1 8],SA,att,10,10,30,0.95,10000,39.14839005470276,5000,-1,50,0.05,0.1
0,510,50.91047471723334,-0.08952528276666527,[5 5 2 5 0 1 0 5 8 5 0 4 6 9 3 7 2 0 3 3 9 2 8 4 8 1 4 5 1 7],SA,att,10,10,30,0.95,10000,38.96532392501831,5000,-1,50,0.05,0.1
0,525,50.91047471723334,-0.08952528276666527,[5 5 2 5 0 1 0 5 8 5 0 4 6 9 3 7 2 0 3 3 9 2 8 4 8 1 4 5 1 7],SA,att,10,10,30,0.95,10000,39.222493648529046,5000,-1,50,0.05,0.1
0,540,50.91047471723334,-0.08952528276666527,[5 5 2 5 0 1 0 5 8 5 0 4 6 9 3 7 2 0 3 3 9 2 8 4 8 1 4 5 1 7],SA,att,10,10,30,0.95,10000,39.1995792388916,5000,-1,50,0.05,0.1
0,555,50.91047471723334,-0.08952528276666527,[5 5 2 5 0 1 0 5 8 5 0 4 6 9 3 7 2 0 3 3 9 2 8 4 8 1 4 5 1 7],SA,att,10,10,30,0.95,10000,39.1866466999054,5000,-1,50,0.05,0.1
0,570,50.91047471723334,-0.08952528276666527,[5 5 2 5 0 1 0 5 8 5 0 4 6 9 3 7 2 0 3 3 9 2 8 4 8 1 4 5 1 7],SA,att,10,10,30,0.95,10000,39.240767478942864,5000,-1,50,0.05,0.1
0,585,50.91047471723334,-0.08952528276666527,[5 5 2 5 0 1 0 5 8 5 0 4 6 9 3 7 2 0 3 3 9 2 8 4 8 1 4 5 1 7],SA,att,10,10,30,0.95,10000,39.22306132316589,5000,-1,50,0.05,0.1
0,600,50.91047471723334,-0.08952528276666527,[5 5 2 5 0 1 0 5 8 5 0 4 6 9 3 7 2 0 3 3 9 2 8 4 8 1 4 5 1 7],SA,att,10,10,30,0.95,10000,39.292627573013306,5000,-1,50,0.05,0.1
0,615,50.91047471723334,-0.08952528276666527,[5 5 2 5 0 1 0 5 8 5 0 4 6 9 3 7 2 0 3 3 9 2 8 4 8 1 4 5 1 7],SA,att,10,10,30,0.95,10000,39.087373971939094,5000,-1,50,0.05,0.1
0,630,50.911413518255614,-0.08858648174437889,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.20486497879028,5000,-1,50,0.05,0.1
0,645,50.911413518255614,-0.08858648174437889,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.17984580993652,5000,-1,50,0.05,0.1
0,660,50.911413518255614,-0.08858648174437889,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.210894346237176,5000,-1,50,0.05,0.1
0,675,50.911413518255614,-0.08858648174437889,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.182682752609246,5000,-1,50,0.05,0.1
0,690,50.911413518255614,-0.08858648174437889,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 9 0 8 4 9 1 7 0 1 7],SA,att,10,10,30,0.95,10000,39.23976540565491,5000,-1,50,0.05,0.1
