ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,3.1256248433136604,-7.874375156686339,[24 28 10 12 28  6 12 15 17 22],SA,dd,10,30,10,0.95,10000,64.99269270896912,5000,-1,50,0.05,0.005
0,30,3.129426505576865,-7.8705734944231365,[24 28 10 12 28  6 12 15 17 22],SA,dd,10,30,10,0.95,10000,65.64095878601074,5000,-1,50,0.05,0.005
0,45,3.129426505576865,-7.8705734944231365,[24  9 10 12 28  6 12 15 17 22],SA,dd,10,30,10,0.95,10000,65.77384519577025,5000,-1,50,0.05,0.005
0,60,3.1407971995875914,-7.859202800412409,[24 28 10 12 28  6 12 15 17 22],SA,dd,10,30,10,0.95,10000,65.4585771560669,5000,-1,50,0.05,0.005
0,75,4.18735344274779,-6.812646557252211,[24 28 12  9 28  6 12 15 17 22],SA,dd,10,30,10,0.95,10000,65.7158522605896,5000,-1,50,0.05,0.005
0,90,5.267945754024604,-5.732054245975396,[29 28 12  9 21 27 12  4 17 14],SA,dd,10,30,10,0.95,10000,65.66985106468199,5000,-1,50,0.05,0.005
0,105,5.278743101013485,-5.721256898986515,[29 28 12  9 21 27  4  4 17 14],SA,dd,10,30,10,0.95,10000,65.70464515686035,5000,-1,50,0.05,0.005
0,120,5.895453694580157,-5.104546305419844,[17 28 12  3 19 27  2 26 15 26],SA,dd,10,30,10,0.95,10000,65.66098475456239,5000,-1,50,0.05,0.005
0,135,6.791662799454683,-4.208337200545317,[17 28 12  3  2 27  2 26 15 26],SA,dd,10,30,10,0.95,10000,65.37298464775085,5000,-1,50,0.05,0.005
0,150,12.628641201705994,1.6286412017059957,[20 28 12  3 11 27  2 26 15 22],SA,dd,10,30,10,0.95,10000,65.61016035079956,5000,-1,50,0.05,0.005
0,165,12.628641201705994,1.6286412017059957,[20 28 12  3 11 27  2 26 15 22],SA,dd,10,30,10,0.95,10000,65.65231847763062,5000,-1,50,0.05,0.005
0,180,12.628641201705994,1.6286412017059957,[20 28 12  3 11 27  2 26 15 22],SA,dd,10,30,10,0.95,10000,65.63934016227722,5000,-1,50,0.05,0.005
0,195,12.628641201705994,1.6286412017059957,[20 28 12  3 11 27  2 26  9 22],SA,dd,10,30,10,0.95,10000,65.79224634170532,5000,-1,50,0.05,0.005
0,210,12.683756268088707,1.6837562680887077,[20 28 12  3 11 27  2 26  9 22],SA,dd,10,30,10,0.95,10000,65.80861306190491,5000,-1,50,0.05,0.005
0,225,12.712281532193286,1.7122815321932876,[20 28  7  3 11 27  2 26  9 22],SA,dd,10,30,10,0.95,10000,65.49346327781677,5000,-1,50,0.05,0.005
0,240,12.771396471916447,1.7713964719164483,[20 28  7  3 11 27  2 26  9 22],SA,dd,10,30,10,0.95,10000,65.71460461616515,5000,-1,50,0.05,0.005
0,255,12.784526434810855,1.7845264348108572,[20 28  7  3 11 27  2 26  9 22],SA,dd,10,30,10,0.95,10000,65.76815485954286,5000,-1,50,0.05,0.005
0,270,12.784526434810855,1.7845264348108572,[20 28  7  3 11 27  2 26  9 22],SA,dd,10,30,10,0.95,10000,65.82266139984131,5000,-1,50,0.05,0.005
0,285,12.784526434810855,1.7845264348108572,[20 28  7  3 11 27  2 26  9 22],SA,dd,10,30,10,0.95,10000,65.62009954452515,5000,-1,50,0.05,0.005
0,300,12.784526434810855,1.7845264348108572,[20 28  7  3 11 27  2 26  9 22],SA,dd,10,30,10,0.95,10000,65.6685688495636,5000,-1,50,0.05,0.005
0,315,12.871417832522221,1.8714178325222195,[ 5 28  7  3 11 27 28 18 15 29],SA,dd,10,30,10,0.95,10000,65.59720277786255,5000,-1,50,0.05,0.005
0,330,12.871417832522221,1.8714178325222195,[ 5 28  7  3 11 27 28 18 15 29],SA,dd,10,30,10,0.95,10000,65.72442960739136,5000,-1,50,0.05,0.005
0,345,12.871417832522221,1.8714178325222195,[ 5 28  7  3 11 27 28 18 15 29],SA,dd,10,30,10,0.95,10000,65.88901734352112,5000,-1,50,0.05,0.005
0,360,12.871417832522221,1.8714178325222195,[ 5 28  7  3 11 27 28 18 15 29],SA,dd,10,30,10,0.95,10000,65.89287853240967,5000,-1,50,0.05,0.005
0,375,12.871417832522221,1.8714178325222195,[ 5 28  7  3 11 27 28 18 15 29],SA,dd,10,30,10,0.95,10000,65.99668025970459,5000,-1,50,0.05,0.005
0,390,13.723063071876329,2.723063071876327,[ 5  9  7  3 11 27 28 18 15 29],SA,dd,10,30,10,0.95,10000,65.658714056015,5000,-1,50,0.05,0.005
0,405,13.867780693980755,2.867780693980757,[ 5  9 20  3 11 27 19 18 13 29],SA,dd,10,30,10,0.95,10000,65.57984852790833,5000,-1,50,0.05,0.005
0,420,13.867780693980755,2.867780693980757,[ 5  9 20  3 11 27 19 18 13 29],SA,dd,10,30,10,0.95,10000,65.86797046661377,5000,-1,50,0.05,0.005
0,435,13.867780693980755,2.867780693980757,[ 5  9 20  3 11 27 19 18 13 29],SA,dd,10,30,10,0.95,10000,65.82347226142882,5000,-1,50,0.05,0.005
0,450,13.867780693980755,2.867780693980757,[ 5  9 20  3 11 27 19 18 13 29],SA,dd,10,30,10,0.95,10000,65.90656852722168,5000,-1,50,0.05,0.005
0,465,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,65.7442741394043,5000,-1,50,0.05,0.005
0,480,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,65.91302633285521,5000,-1,50,0.05,0.005
0,495,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,65.84189319610596,5000,-1,50,0.05,0.005
0,510,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,65.34058356285095,5000,-1,50,0.05,0.005
0,525,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,65.39584755897522,5000,-1,50,0.05,0.005
0,540,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,65.3494312763214,5000,-1,50,0.05,0.005
0,555,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,65.32074856758118,5000,-1,50,0.05,0.005
0,570,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,65.98084592819214,5000,-1,50,0.05,0.005
0,585,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,66.00078964233397,5000,-1,50,0.05,0.005
0,600,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,66.01409506797789,5000,-1,50,0.05,0.005
0,615,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,65.76326131820679,5000,-1,50,0.05,0.005
0,630,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,65.78082275390625,5000,-1,50,0.05,0.005
0,645,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,66.18067717552185,5000,-1,50,0.05,0.005
0,660,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,66.15517878532411,5000,-1,50,0.05,0.005
0,675,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 18  3  6],SA,dd,10,30,10,0.95,10000,66.21021747589111,5000,-1,50,0.05,0.005
0,690,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 17 13  6],SA,dd,10,30,10,0.95,10000,65.92276835441591,5000,-1,50,0.05,0.005
0,705,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 17 13  6],SA,dd,10,30,10,0.95,10000,66.15790200233461,5000,-1,50,0.05,0.005
0,720,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 17 13  6],SA,dd,10,30,10,0.95,10000,66.00682139396667,5000,-1,50,0.05,0.005
0,735,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 17 13  6],SA,dd,10,30,10,0.95,10000,66.09490036964418,5000,-1,50,0.05,0.005
0,750,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 17 13  6],SA,dd,10,30,10,0.95,10000,65.81660056114197,5000,-1,50,0.05,0.005
0,765,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 17 13  6],SA,dd,10,30,10,0.95,10000,66.14137840270996,5000,-1,50,0.05,0.005
0,780,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 17 13  6],SA,dd,10,30,10,0.95,10000,66.18864250183104,5000,-1,50,0.05,0.005
0,795,13.867780693980755,2.867780693980757,[ 5  9 20 20 11 27 19 17 13  6],SA,dd,10,30,10,0.95,10000,70.12946319580078,5000,-1,50,0.05,0.005
