ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,18.314430679057327,-12.68556932094267,[0 2 2 4 9 6 5 9 0 6 0 8 9 9 8 5 2 8 3 8 5 8 9 4 0 4 7 1 0 4],SA,dd,10,10,30,0.95,10000,81.70916128158571,5000,-1,10,0.05,0.005
0,30,28.13194218050015,-2.8680578194998496,[1 2 9 0 6 1 0 3 8 4 0 0 9 9 3 5 2 7 3 3 4 0 9 4 9 1 0 0 0 4],SA,dd,10,10,30,0.95,10000,51.79015374183655,5000,-1,10,0.05,0.005
0,45,35.89401090458534,4.894010904585343,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 1 0 7],SA,dd,10,10,30,0.95,10000,51.925239086151116,5000,-1,10,0.05,0.005
0,60,36.61524424907022,5.615244249070223,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,51.790982246398926,5000,-1,10,0.05,0.005
0,75,36.653387680009715,5.653387680009715,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,51.55116367340088,5000,-1,10,0.05,0.005
0,90,36.653387680009715,5.653387680009715,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,51.811022996902466,5000,-1,10,0.05,0.005
0,105,36.653387680009715,5.653387680009715,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,51.78219532966614,5000,-1,10,0.05,0.005
0,120,36.653387680009715,5.653387680009715,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,51.794682025909424,5000,-1,10,0.05,0.005
0,135,36.653387680009715,5.653387680009715,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,51.86226630210877,5000,-1,10,0.05,0.005
0,150,36.653387680009715,5.653387680009715,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,51.87258982658386,5000,-1,10,0.05,0.005
0,165,36.653387680009715,5.653387680009715,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,51.78403544425965,5000,-1,10,0.05,0.005
0,180,36.653387680009715,5.653387680009715,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,51.91819214820862,5000,-1,10,0.05,0.005
