ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,16.001982143867536,-14.998017856132462,[9 7 5 8 4 2 2 6 5 5 6 4 6 0 3 2 2 5 3 3 8 4 5 4 6 3 9 0 0 0],SA,dd,10,10,30,0.95,10000,54.347071409225464,5000,-1,50,0.05,0.005
0,30,20.97798496990628,-10.022015030093725,[1 8 7 0 4 2 0 3 5 5 6 6 5 9 3 9 2 2 3 3 8 0 5 4 6 4 3 0 0 2],SA,dd,10,10,30,0.95,10000,54.45051217079162,5000,-1,50,0.05,0.005
0,45,23.866323344574102,-7.1336766554259015,[7 2 7 4 6 1 0 3 8 5 6 0 4 6 3 9 2 2 5 3 8 0 9 4 3 4 5 5 0 7],SA,dd,10,10,30,0.95,10000,54.38149929046631,5000,-1,50,0.05,0.005
0,60,28.37273626154007,-2.6272637384599307,[7 2 2 4 6 1 0 2 8 5 0 0 5 9 3 5 2 2 5 0 4 0 9 4 9 4 5 1 0 6],SA,dd,10,10,30,0.95,10000,54.70558977127075,5000,-1,50,0.05,0.005
0,75,32.65420808877902,1.654208088779022,[9 2 2 4 6 6 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 9 4 9 4 6 0 0 7],SA,dd,10,10,30,0.95,10000,54.59168529510498,5000,-1,50,0.05,0.005
0,90,33.602947435329106,2.6029474353291064,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 6 3 3 4 0 8 4 9 4 6 0 0 7],SA,dd,10,10,30,0.95,10000,54.490166187286384,5000,-1,50,0.05,0.005
0,105,35.643188278433115,4.643188278433122,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 6 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.53541564941406,5000,-1,50,0.05,0.005
0,120,36.6098998434103,5.609899843410297,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.62994837760925,5000,-1,50,0.05,0.005
0,135,36.6416610895475,5.6416610895474975,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.54754304885864,5000,-1,50,0.05,0.005
0,150,36.6416610895475,5.6416610895474975,[2 4 2 4 0 1 0 4 8 5 9 8 7 3 3 3 2 2 7 3 6 8 2 6 9 1 7 0 0 4],SA,dd,10,10,30,0.95,10000,54.5141453742981,5000,-1,50,0.05,0.005
0,165,36.6416610895475,5.6416610895474975,[9 2 5 2 6 1 0 3 9 2 2 5 5 6 3 5 2 2 0 5 4 0 0 4 5 1 1 0 0 6],SA,dd,10,10,30,0.95,10000,54.46334886550903,5000,-1,50,0.05,0.005
0,180,36.6416610895475,5.6416610895474975,[9 2 5 2 6 1 0 3 9 2 2 5 5 6 3 5 2 2 0 5 4 0 0 4 5 1 1 0 0 6],SA,dd,10,10,30,0.95,10000,54.42881155014038,5000,-1,50,0.05,0.005
0,195,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,59.525150775909424,5000,-1,50,0.05,0.005
0,210,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,50.94286322593689,5000,-1,50,0.05,0.005
0,225,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,50.958839416503906,5000,-1,50,0.05,0.005
0,240,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,50.93898391723633,5000,-1,50,0.05,0.005
0,255,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,51.3666296005249,5000,-1,50,0.05,0.005
0,270,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.96387529373169,5000,-1,50,0.05,0.005
0,285,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,53.50254583358765,5000,-1,50,0.05,0.005
0,300,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,51.037611961364746,5000,-1,50,0.05,0.005
0,315,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,51.002742528915405,5000,-1,50,0.05,0.005
0,330,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,50.949867248535156,5000,-1,50,0.05,0.005
0,345,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,53.37391662597656,5000,-1,50,0.05,0.005
0,360,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.386257648468025,5000,-1,50,0.05,0.005
0,375,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.38351273536682,5000,-1,50,0.05,0.005
0,390,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,55.07933974266052,5000,-1,50,0.05,0.005
0,405,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.53268337249756,5000,-1,50,0.05,0.005
0,420,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.55926823616028,5000,-1,50,0.05,0.005
0,435,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.52909135818482,5000,-1,50,0.05,0.005
0,450,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.61138701438904,5000,-1,50,0.05,0.005
0,465,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.518150329589844,5000,-1,50,0.05,0.005
0,480,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.5450541973114,5000,-1,50,0.05,0.005
0,495,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.66857099533081,5000,-1,50,0.05,0.005
0,510,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.49942588806152,5000,-1,50,0.05,0.005
0,525,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.62747097015381,5000,-1,50,0.05,0.005
0,540,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.596362352371216,5000,-1,50,0.05,0.005
0,555,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.492512941360474,5000,-1,50,0.05,0.005
0,570,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.574447870254524,5000,-1,50,0.05,0.005
0,585,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.60470342636109,5000,-1,50,0.05,0.005
0,600,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.50965881347656,5000,-1,50,0.05,0.005
0,615,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.54634141921997,5000,-1,50,0.05,0.005
0,630,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,68.15767025947571,5000,-1,50,0.05,0.005
0,645,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,59.52523136138916,5000,-1,50,0.05,0.005
0,660,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.62901067733765,5000,-1,50,0.05,0.005
0,675,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.45171046257019,5000,-1,50,0.05,0.005
0,690,36.66370644843022,5.663706448430219,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.45209836959839,5000,-1,50,0.05,0.005
0,705,36.66370644843022,5.663706448430219,[9 2 9 6 6 1 0 4 9 5 0 0 5 9 6 6 2 2 8 6 4 6 8 4 9 3 6 0 0 7],SA,dd,10,10,30,0.95,10000,54.512985467910774,5000,-1,50,0.05,0.005
0,720,36.66370644843022,5.663706448430219,[9 2 9 6 6 1 0 4 9 5 0 0 5 9 6 6 2 2 8 6 4 6 8 4 9 3 6 0 0 7],SA,dd,10,10,30,0.95,10000,54.411988735198975,5000,-1,50,0.05,0.005
0,735,36.66370644843022,5.663706448430219,[9 2 9 6 6 1 0 4 9 5 0 0 5 9 6 6 2 2 8 6 4 6 8 4 9 3 6 0 0 7],SA,dd,10,10,30,0.95,10000,54.548903226852424,5000,-1,50,0.05,0.005
0,750,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.47376012802124,5000,-1,50,0.05,0.005
0,765,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.52627515792847,5000,-1,50,0.05,0.005
0,780,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.48055362701416,5000,-1,50,0.05,0.005
0,795,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.6821768283844,5000,-1,50,0.05,0.005
0,810,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.54921197891235,5000,-1,50,0.05,0.005
0,825,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.65831756591797,5000,-1,50,0.05,0.005
0,840,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.755048990249634,5000,-1,50,0.05,0.005
0,855,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.67795395851135,5000,-1,50,0.05,0.005
0,870,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.7357759475708,5000,-1,50,0.05,0.005
0,885,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.52570104598999,5000,-1,50,0.05,0.005
0,900,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.462737798690796,5000,-1,50,0.05,0.005
0,915,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,63.08538842201233,5000,-1,50,0.05,0.005
0,930,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,50.937649250030525,5000,-1,50,0.05,0.005
0,945,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,50.987000226974494,5000,-1,50,0.05,0.005
0,960,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,51.026545286178596,5000,-1,50,0.05,0.005
0,975,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,51.11175084114075,5000,-1,50,0.05,0.005
0,990,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,55.65344786643982,5000,-1,50,0.05,0.005
0,1005,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.38757157325745,5000,-1,50,0.05,0.005
0,1020,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.53078532218933,5000,-1,50,0.05,0.005
0,1035,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.42715835571289,5000,-1,50,0.05,0.005
0,1050,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.4044623374939,5000,-1,50,0.05,0.005
0,1065,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.414153814315796,5000,-1,50,0.05,0.005
0,1080,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.57757568359375,5000,-1,50,0.05,0.005
0,1095,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.74960446357727,5000,-1,50,0.05,0.005
0,1110,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.55364727973938,5000,-1,50,0.05,0.005
0,1125,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.66878318786621,5000,-1,50,0.05,0.005
0,1140,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.59953212738037,5000,-1,50,0.05,0.005
0,1155,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.71792793273926,5000,-1,50,0.05,0.005
0,1170,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.67372250556946,5000,-1,50,0.05,0.005
0,1185,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.60798120498657,5000,-1,50,0.05,0.005
0,1200,36.66370644843022,5.663706448430219,[2 2 2 8 6 1 0 3 1 5 6 7 2 9 3 1 0 2 6 3 4 0 8 4 1 0 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.45226693153381,5000,-1,50,0.05,0.005
1,15,14.441668500941901,-16.5583314990581,[9 0 6 3 1 2 6 6 8 8 8 0 5 8 7 2 0 7 0 5 7 4 2 8 4 1 7 7 0 7],SA,dd,10,10,30,0.95,10000,54.73463463783264,5000,-1,50,0.05,0.005
1,30,22.005531966054317,-8.994468033945688,[9 6 2 1 9 8 0 3 8 7 0 0 5 8 3 8 8 7 3 3 9 4 8 1 5 1 4 0 0 2],SA,dd,10,10,30,0.95,10000,54.661757469177246,5000,-1,50,0.05,0.005
1,45,23.623903683114012,-7.376096316885987,[8 2 5 4 8 3 4 3 8 7 0 0 3 1 3 5 1 7 8 3 1 4 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.65059995651245,5000,-1,50,0.05,0.005
1,60,30.639426967659844,-0.3605730323401559,[9 2 6 4 7 9 0 3 8 5 0 7 5 1 3 5 2 2 3 3 4 4 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.87432670593262,5000,-1,50,0.05,0.005
1,75,31.61480655157575,0.6148065515757466,[9 2 2 4 6 5 0 3 8 5 0 7 5 3 3 5 2 2 0 3 4 4 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.85111975669861,5000,-1,50,0.05,0.005
1,90,32.659144637182585,1.659144637182585,[9 5 2 4 8 1 0 3 8 5 0 0 7 9 3 9 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,55.07030153274536,5000,-1,50,0.05,0.005
1,105,34.034190053998145,3.034190053998145,[9 2 2 4 8 1 0 3 8 5 0 0 7 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 0],SA,dd,10,10,30,0.95,10000,55.13644242286682,5000,-1,50,0.05,0.005
1,120,36.624978710275784,5.6249787102757765,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,52.84085774421692,5000,-1,50,0.05,0.005
1,135,36.64890919435699,5.648909194356989,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,55.2143177986145,5000,-1,50,0.05,0.005
1,150,36.64890919435699,5.648909194356989,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,55.13178062438965,5000,-1,50,0.05,0.005
1,165,36.64890919435699,5.648909194356989,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,56.00570154190064,5000,-1,50,0.05,0.005
1,180,36.64890919435699,5.648909194356989,[9 2 9 6 8 1 8 8 8 0 8 7 4 9 3 5 2 2 3 3 4 4 4 4 9 1 5 0 0 7],SA,dd,10,10,30,0.95,10000,55.08575892448425,5000,-1,50,0.05,0.005
1,195,36.65234048325251,5.652340483252509,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,55.01033473014832,5000,-1,50,0.05,0.005
1,210,36.65234048325251,5.652340483252509,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.93401169776917,5000,-1,50,0.05,0.005
1,225,36.65234048325251,5.652340483252509,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.95829033851624,5000,-1,50,0.05,0.005
1,240,36.65234048325251,5.652340483252509,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.93527269363403,5000,-1,50,0.05,0.005
1,255,36.65234048325251,5.652340483252509,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,dd,10,10,30,0.95,10000,54.90892219543457,5000,-1,50,0.05,0.005
