ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,31.747871454255794,-4.752128545744206,[23  0 19 28  0 24 23 16  9 21],SA,pd,10,30,10,0.95,10000,57.44345998764038,5000,-1,50,0.05,0.005
0,30,31.747871454255794,-4.752128545744206,[23  0 19 28  0 24 23 16  9 21],SA,pd,10,30,10,0.95,10000,57.425299167633064,5000,-1,50,0.05,0.005
0,45,31.747871454255794,-4.752128545744206,[23  0 19 28  0 24 23 16  9 21],SA,pd,10,30,10,0.95,10000,57.3184585571289,5000,-1,50,0.05,0.005
0,60,31.755884447418893,-4.744115552581103,[23  0 19 28  0 24 23 16  9 21],SA,pd,10,30,10,0.95,10000,57.30877232551575,5000,-1,50,0.05,0.005
0,75,31.755884447418893,-4.744115552581103,[23  0 19 28  0 24 23 16  9 21],SA,pd,10,30,10,0.95,10000,57.32018089294434,5000,-1,50,0.05,0.005
0,90,31.755884447418893,-4.744115552581103,[23  0 19 28  0 24 23 16  9 21],SA,pd,10,30,10,0.95,10000,57.42343926429749,5000,-1,50,0.05,0.005
0,105,31.755884447418893,-4.744115552581103,[23  0 19 28  0 24 23 16  9 21],SA,pd,10,30,10,0.95,10000,57.15422534942627,5000,-1,50,0.05,0.005
0,120,31.755884447418893,-4.744115552581103,[23  0 19 28  0 24 23 16  9 21],SA,pd,10,30,10,0.95,10000,57.330065488815315,5000,-1,50,0.05,0.005
0,135,31.755884447418893,-4.744115552581103,[23  0 19 28  0 24 23 16  9 21],SA,pd,10,30,10,0.95,10000,57.37558889389038,5000,-1,50,0.05,0.005
0,150,31.755884447418893,-4.744115552581103,[23  0 19 28  0 24 23 16  9 21],SA,pd,10,30,10,0.95,10000,57.39668893814087,5000,-1,50,0.05,0.005
0,165,31.755884447418893,-4.744115552581103,[23  0 19 28  0 24 23 16  9 21],SA,pd,10,30,10,0.95,10000,57.56781458854675,5000,-1,50,0.05,0.005
0,180,32.47335361962382,-4.026646380376178,[26 27 17 23 18 24  0 28  4  9],SA,pd,10,30,10,0.95,10000,57.39804124832153,5000,-1,50,0.05,0.005
0,195,32.47335361962382,-4.026646380376178,[26 27 17 23 18 24  0 28  4  9],SA,pd,10,30,10,0.95,10000,57.35576868057251,5000,-1,50,0.05,0.005
0,210,32.47335361962382,-4.026646380376178,[24  2  0 10  1  6 14 11  4  0],SA,pd,10,30,10,0.95,10000,57.41225028038025,5000,-1,50,0.05,0.005
0,225,32.47335361962382,-4.026646380376178,[24  2  0 10  1  6 14 11  4  0],SA,pd,10,30,10,0.95,10000,57.38029170036316,5000,-1,50,0.05,0.005
0,240,32.47335361962382,-4.026646380376178,[24  2  0 10  1  6 14 11  4  0],SA,pd,10,30,10,0.95,10000,57.24274611473084,5000,-1,50,0.05,0.005
0,255,32.47335361962382,-4.026646380376178,[24  2  0 10  1  6 14 11  4  0],SA,pd,10,30,10,0.95,10000,57.405184745788574,5000,-1,50,0.05,0.005
0,270,32.47335361962382,-4.026646380376178,[24  2  0 10  1  6 14 11  4  0],SA,pd,10,30,10,0.95,10000,57.169711589813225,5000,-1,50,0.05,0.005
0,285,32.47335361962382,-4.026646380376178,[24  2  0 10  1  6 14 11  4  0],SA,pd,10,30,10,0.95,10000,57.135209798812866,5000,-1,50,0.05,0.005
0,300,32.47335361962382,-4.026646380376178,[24  2  0 10  1  6 14 11  4  0],SA,pd,10,30,10,0.95,10000,57.40182256698608,5000,-1,50,0.05,0.005
0,315,32.47335361962382,-4.026646380376178,[24  2  0 10  1  6 14 11  4  0],SA,pd,10,30,10,0.95,10000,57.553522825241096,5000,-1,50,0.05,0.005
0,330,32.47335361962382,-4.026646380376178,[24  2  0 10  1  6 14 11  4  0],SA,pd,10,30,10,0.95,10000,57.47505307197571,5000,-1,50,0.05,0.005
0,345,32.47335361962382,-4.026646380376178,[24  2  0 10  1  6 14 11  4  0],SA,pd,10,30,10,0.95,10000,57.406955242156975,5000,-1,50,0.05,0.005
0,360,32.47335361962382,-4.026646380376178,[24  2  0 10  1  6 14 11  4  0],SA,pd,10,30,10,0.95,10000,57.56722092628479,5000,-1,50,0.05,0.005
0,375,32.47335361962382,-4.026646380376178,[24  2  0 10  1  6 14 11  4  0],SA,pd,10,30,10,0.95,10000,57.32106637954712,5000,-1,50,0.05,0.005
0,390,32.69327690865983,-3.8067230913401673,[ 4 26  4 21 21 24 21  9 16 26],SA,pd,10,30,10,0.95,10000,57.34460711479187,5000,-1,50,0.05,0.005
0,405,32.69327690865983,-3.8067230913401673,[ 4 26  4 21 21 24 21  9 16 26],SA,pd,10,30,10,0.95,10000,57.286361932754524,5000,-1,50,0.05,0.005
0,420,32.935618437709884,-3.564381562290116,[ 4 27 24 18  1 24 10  1 28  4],SA,pd,10,30,10,0.95,10000,57.2467930316925,5000,-1,50,0.05,0.005
0,435,33.6046998538468,-2.895300146153204,[ 4 27 24 18  1 24 10 22 28  4],SA,pd,10,30,10,0.95,10000,57.190229177474976,5000,-1,50,0.05,0.005
0,450,33.6046998538468,-2.895300146153204,[ 4 27 24 18  1 24 10 22 28  4],SA,pd,10,30,10,0.95,10000,57.38389754295349,5000,-1,50,0.05,0.005
0,465,33.6046998538468,-2.895300146153204,[ 4 27 24 18  1 24 10 22 28  4],SA,pd,10,30,10,0.95,10000,57.32111644744873,5000,-1,50,0.05,0.005
0,480,33.6046998538468,-2.895300146153204,[ 4 27 24 18  1 24 10 22 28  4],SA,pd,10,30,10,0.95,10000,57.211743116378784,5000,-1,50,0.05,0.005
0,495,33.6046998538468,-2.895300146153204,[ 4 27 24 18  1 24 10 22 28  4],SA,pd,10,30,10,0.95,10000,57.30493974685669,5000,-1,50,0.05,0.005
0,510,33.6046998538468,-2.895300146153204,[ 1  4  2 27  5 23 14  4  7  4],SA,pd,10,30,10,0.95,10000,57.26251459121704,5000,-1,50,0.05,0.005
