ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,27.94255671460754,-8.55744328539246,[5 1 8 8 5 9 4 8 2 4],SA,pd,30,10,10,0.95,10000,85.88096785545348,5000,-1,50,0.005,0.1
0,30,29.088271356574936,-7.411728643425063,[5 6 8 8 5 9 4 0 2 4],SA,pd,30,10,10,0.95,10000,86.17765355110168,5000,-1,50,0.005,0.1
0,45,29.10457025212029,-7.395429747879714,[5 6 8 8 5 9 3 0 2 4],SA,pd,30,10,10,0.95,10000,86.11424779891969,5000,-1,50,0.005,0.1
0,60,29.10457025212029,-7.395429747879714,[5 6 8 8 5 9 3 0 2 4],SA,pd,30,10,10,0.95,10000,86.31844472885132,5000,-1,50,0.005,0.1
0,75,29.10457025212029,-7.395429747879714,[5 6 8 8 5 9 3 0 2 4],SA,pd,30,10,10,0.95,10000,86.11506009101869,5000,-1,50,0.005,0.1
0,90,29.10457025212029,-7.395429747879714,[5 6 8 8 5 9 3 0 2 4],SA,pd,30,10,10,0.95,10000,86.10966491699219,5000,-1,50,0.005,0.1
0,105,29.10457025212029,-7.395429747879714,[5 6 8 8 5 9 3 0 2 4],SA,pd,30,10,10,0.95,10000,77.84615516662599,5000,-1,50,0.005,0.1
0,120,29.10457025212029,-7.395429747879714,[5 6 8 8 5 9 3 0 2 4],SA,pd,30,10,10,0.95,10000,69.42214155197144,5000,-1,50,0.005,0.1
0,135,29.15022043323728,-7.349779566762724,[4 0 4 9 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,85.54063940048219,5000,-1,50,0.005,0.1
0,150,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,85.24868321418762,5000,-1,50,0.005,0.1
0,165,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,68.67477416992189,5000,-1,50,0.005,0.1
0,180,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,50.05152249336243,5000,-1,50,0.005,0.1
0,195,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,50.10290265083313,5000,-1,50,0.005,0.1
0,210,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,50.02961206436157,5000,-1,50,0.005,0.1
0,225,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,49.931987047195435,5000,-1,50,0.005,0.1
0,240,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,50.019824504852295,5000,-1,50,0.005,0.1
0,255,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,50.020900011062615,5000,-1,50,0.005,0.1
0,270,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,50.04098510742188,5000,-1,50,0.005,0.1
0,285,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,49.99771070480347,5000,-1,50,0.005,0.1
0,300,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,50.09601950645447,5000,-1,50,0.005,0.1
0,315,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,50.01866507530213,5000,-1,50,0.005,0.1
0,330,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,50.04187703132629,5000,-1,50,0.005,0.1
0,345,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,57.60445690155029,5000,-1,50,0.005,0.1
0,360,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,49.998567819595344,5000,-1,50,0.005,0.1
0,375,29.15022043323728,-7.349779566762724,[4 0 1 1 7 8 1 0 7 6],SA,pd,30,10,10,0.95,10000,49.9492576122284,5000,-1,50,0.005,0.1
0,390,29.49381723917073,-7.006182760829269,[7 4 6 1 2 6 9 7 2 5],SA,pd,30,10,10,0.95,10000,50.04331016540527,5000,-1,50,0.005,0.1
0,405,29.850244453595625,-6.649755546404375,[7 4 6 1 2 6 9 7 6 5],SA,pd,30,10,10,0.95,10000,50.013929843902595,5000,-1,50,0.005,0.1
0,420,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.0673348903656,5000,-1,50,0.005,0.1
0,435,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.00189805030823,5000,-1,50,0.005,0.1
0,450,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,55.93388772010803,5000,-1,50,0.005,0.1
0,465,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,85.05256056785582,5000,-1,50,0.005,0.1
0,480,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,84.88454914093019,5000,-1,50,0.005,0.1
0,495,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,59.2691400051117,5000,-1,50,0.005,0.1
0,510,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.055535793304436,5000,-1,50,0.005,0.1
0,525,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.080313205718994,5000,-1,50,0.005,0.1
0,540,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.10052156448364,5000,-1,50,0.005,0.1
0,555,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,49.96918702125549,5000,-1,50,0.005,0.1
0,570,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.08273577690125,5000,-1,50,0.005,0.1
0,585,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.136775732040405,5000,-1,50,0.005,0.1
0,600,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.11627006530762,5000,-1,50,0.005,0.1
0,615,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.13794469833374,5000,-1,50,0.005,0.1
0,630,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.09669756889343,5000,-1,50,0.005,0.1
0,645,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.20190763473511,5000,-1,50,0.005,0.1
0,660,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.32828950881958,5000,-1,50,0.005,0.1
0,675,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.15358281135559,5000,-1,50,0.005,0.1
0,690,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.09162259101868,5000,-1,50,0.005,0.1
0,705,30.77973632719639,-5.720263672803616,[9 9 6 1 2 6 5 5 0 5],SA,pd,30,10,10,0.95,10000,50.03524589538574,5000,-1,50,0.005,0.1
0,720,31.26336889941037,-5.2366311005896256,[9 5 2 5 9 4 9 0 0 8],SA,pd,30,10,10,0.95,10000,50.032430171966546,5000,-1,50,0.005,0.1
0,735,31.26393884995623,-5.2360611500437715,[9 5 2 5 9 4 9 0 0 8],SA,pd,30,10,10,0.95,10000,50.062039613723755,5000,-1,50,0.005,0.1
0,750,32.211839380330986,-4.288160619669021,[6 3 2 4 9 4 9 0 0 8],SA,pd,30,10,10,0.95,10000,50.104339838027954,5000,-1,50,0.005,0.1
0,765,32.49660237775761,-4.003397622242389,[6 3 2 9 9 3 0 0 0 8],SA,pd,30,10,10,0.95,10000,50.17185926437378,5000,-1,50,0.005,0.1
0,780,32.49660237775761,-4.003397622242389,[6 3 2 1 9 8 9 0 0 8],SA,pd,30,10,10,0.95,10000,50.0742073059082,5000,-1,50,0.005,0.1
0,795,32.49660237775761,-4.003397622242389,[6 3 2 1 9 8 9 0 0 8],SA,pd,30,10,10,0.95,10000,50.10408425331116,5000,-1,50,0.005,0.1
0,810,32.49660237775761,-4.003397622242389,[6 3 2 1 9 8 9 0 0 8],SA,pd,30,10,10,0.95,10000,50.12313938140869,5000,-1,50,0.005,0.1
0,825,33.8819093764733,-2.6180906235266974,[7 3 2 1 9 6 0 0 6 0],SA,pd,30,10,10,0.95,10000,50.065348148345954,5000,-1,50,0.005,0.1
0,840,33.8819093764733,-2.6180906235266974,[7 3 2 1 9 6 9 0 0 0],SA,pd,30,10,10,0.95,10000,50.0572555065155,5000,-1,50,0.005,0.1
0,855,34.619133817583915,-1.880866182416085,[7 3 2 1 9 8 5 0 6 0],SA,pd,30,10,10,0.95,10000,50.17439866065979,5000,-1,50,0.005,0.1
0,870,34.619133817583915,-1.880866182416085,[7 3 2 1 9 8 5 0 6 0],SA,pd,30,10,10,0.95,10000,50.0768346786499,5000,-1,50,0.005,0.1
0,885,34.784812533932204,-1.7151874660677962,[9 4 2 1 9 6 5 0 0 6],SA,pd,30,10,10,0.95,10000,50.18559336662293,5000,-1,50,0.005,0.1
0,900,34.784812533932204,-1.7151874660677962,[9 4 2 1 9 6 5 0 0 6],SA,pd,30,10,10,0.95,10000,50.1092529296875,5000,-1,50,0.005,0.1
0,915,35.936961801512595,-0.5630381984874049,[7 6 2 1 9 5 5 0 0 6],SA,pd,30,10,10,0.95,10000,50.240182399749756,5000,-1,50,0.005,0.1
0,930,35.936961801512595,-0.5630381984874049,[7 3 2 1 9 5 5 0 0 6],SA,pd,30,10,10,0.95,10000,50.293402671813965,5000,-1,50,0.005,0.1
