ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,33.51465311365097,-12.485346886349028,[9 2 4 4 3 1 0 3 0 7 0 3 4 3 6 5 2 2 3 3 4 0 6 0 9 1 0 0 0 7],SA,rep,10,10,30,0.95,10000,35.478838920593255,5000,-1,10,0.05,0.005
0,30,42.49359171991781,-3.5064082800821907,[9 8 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 2 4 9 1 7 0 0 7],SA,rep,10,10,30,0.95,10000,35.404440879821784,5000,-1,10,0.05,0.005
0,45,44.47109556199444,-1.5289044380055614,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,rep,10,10,30,0.95,10000,35.39883852005005,5000,-1,10,0.05,0.005
0,60,44.47109556199444,-1.5289044380055614,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,rep,10,10,30,0.95,10000,35.449793100357056,5000,-1,10,0.05,0.005
0,75,44.47109556199444,-1.5289044380055614,[3 2 2 9 8 3 0 3 7 3 3 0 0 1 2 6 7 3 3 2 2 0 9 4 9 1 7 0 0 0],SA,rep,10,10,30,0.95,10000,35.43138909339905,5000,-1,10,0.05,0.005
0,90,44.47109556199444,-1.5289044380055614,[3 2 2 9 8 3 0 3 7 3 3 0 0 1 2 6 7 3 3 2 2 0 9 4 9 1 7 0 0 0],SA,rep,10,10,30,0.95,10000,35.442914962768555,5000,-1,10,0.05,0.005
0,105,44.51988059415617,-1.4801194058438298,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,rep,10,10,30,0.95,10000,35.396014213562005,5000,-1,10,0.05,0.005
0,120,44.51988059415617,-1.4801194058438298,[9 2 2 4 6 1 0 3 8 5 0 0 5 9 3 5 2 2 3 3 4 0 8 4 9 1 7 0 0 7],SA,rep,10,10,30,0.95,10000,35.421220064163215,5000,-1,10,0.05,0.005
0,135,44.51988059415617,-1.4801194058438298,[4 2 2 9 9 1 0 3 8 9 5 0 5 9 4 5 2 8 0 8 6 0 5 9 2 1 6 0 6 6],SA,rep,10,10,30,0.95,10000,35.40947675704956,5000,-1,10,0.05,0.005
0,150,44.51988059415617,-1.4801194058438298,[4 2 2 9 9 1 0 3 8 9 5 0 5 9 4 5 2 8 0 8 6 0 5 9 2 1 6 0 6 6],SA,rep,10,10,30,0.95,10000,35.288546800613396,5000,-1,10,0.05,0.005
0,165,44.51988059415617,-1.4801194058438298,[4 2 2 9 9 1 0 3 8 9 5 0 5 9 4 5 2 8 0 8 6 0 5 9 2 1 6 0 6 6],SA,rep,10,10,30,0.95,10000,35.317962408065796,5000,-1,10,0.05,0.005
0,180,44.51988059415617,-1.4801194058438298,[4 2 2 9 9 1 0 3 8 9 5 0 5 9 4 5 2 8 0 8 6 0 5 9 2 1 6 0 6 6],SA,rep,10,10,30,0.95,10000,35.28549742698669,5000,-1,10,0.05,0.005
0,195,44.51988059415617,-1.4801194058438298,[4 2 2 9 9 1 0 3 8 9 5 0 5 9 4 5 2 8 0 8 6 0 5 9 2 1 6 0 6 6],SA,rep,10,10,30,0.95,10000,35.25774598121643,5000,-1,10,0.05,0.005
0,210,44.51988059415617,-1.4801194058438298,[4 2 2 9 9 1 0 3 8 9 5 0 5 9 4 5 2 8 0 8 6 0 5 9 2 1 6 0 6 6],SA,rep,10,10,30,0.95,10000,35.329777717590325,5000,-1,10,0.05,0.005
0,225,44.51988059415617,-1.4801194058438298,[4 2 2 9 9 1 0 3 8 9 5 0 5 9 4 5 2 8 0 8 6 0 5 9 2 1 6 0 6 6],SA,rep,10,10,30,0.95,10000,35.33760976791382,5000,-1,10,0.05,0.005
0,240,44.51988059415617,-1.4801194058438298,[4 2 2 9 9 1 0 3 8 9 5 0 5 9 4 5 2 8 0 8 6 0 5 9 2 1 6 0 6 6],SA,rep,10,10,30,0.95,10000,35.35063362121582,5000,-1,10,0.05,0.005
0,255,44.51988059415617,-1.4801194058438298,[4 2 2 9 9 1 0 3 8 9 5 0 5 9 4 5 2 8 0 8 6 0 5 9 2 1 6 0 6 6],SA,rep,10,10,30,0.95,10000,35.35698008537292,5000,-1,10,0.05,0.005
0,270,44.51988059415617,-1.4801194058438298,[4 2 2 9 9 1 0 3 8 9 5 0 5 9 4 5 2 8 0 8 6 0 5 9 2 1 6 0 6 6],SA,rep,10,10,30,0.95,10000,35.32507681846619,5000,-1,10,0.05,0.005
0,285,44.51988059415617,-1.4801194058438298,[2 2 6 4 7 1 2 3 8 1 8 0 5 9 5 1 3 2 4 3 4 0 3 4 9 1 5 1 0 6],SA,rep,10,10,30,0.95,10000,35.312796115875244,5000,-1,10,0.05,0.005
0,300,44.51988059415617,-1.4801194058438298,[2 2 6 4 7 1 2 3 8 1 8 0 5 9 5 1 3 2 4 3 4 0 3 4 9 1 5 1 0 6],SA,rep,10,10,30,0.95,10000,35.345070838928216,5000,-1,10,0.05,0.005
