ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,22.089135335618835,-18.91086466438116,[ 8  4 11 12  2 19  2  5 17 11  5  7  6 11 13  6 17  2  6 11],MCTS,att,20,20,20,0.75,100,249.61234378814697,5000,10,-1,0.05,0.005
0,30,22.1458113133822,-18.8541886866178,[ 8 15 11 15  4  3  8  5 12 13  1 19 10 15  5  6 18  9 15 16],MCTS,att,20,20,20,0.75,100,160.07121205329898,5000,10,-1,0.05,0.005
0,45,28.018360450595484,-12.981639549404516,[14 15 16 11  3  7  9  7  3 15 16  0  1 13 12  1  9  9  9 17],MCTS,att,20,20,20,0.75,100,219.54830884933472,5000,10,-1,0.05,0.005
0,60,28.018360450595484,-12.981639549404516,[14 15 16 11  3  7  9  7  3 15 16  0  1 13 12  1  9  9  9 17],MCTS,att,20,20,20,0.75,100,244.61944913864136,5000,10,-1,0.05,0.005
0,75,32.546999261027366,-8.453000738972634,[ 7 13  7  8 13  9 13 10  5  3  6  8  7 11 11  0  9  9 12 19],MCTS,att,20,20,20,0.75,100,210.49915981292725,5000,10,-1,0.05,0.005
0,90,33.81297570877603,-7.1870242912239695,[ 7 11  0 10 11 11 11  7  5  3  9  8  8 13 12  0  9  9  9 17],MCTS,att,20,20,20,0.75,100,233.7267107963562,5000,10,-1,0.05,0.005
0,105,33.81297570877603,-7.1870242912239695,[18  9 17  0 17 11  7  0 17 18  3  8  8  7 12  0  9  5  7 15],MCTS,att,20,20,20,0.75,100,179.99019861221313,5000,10,-1,0.05,0.005
0,120,34.58918888846531,-6.410811111534692,[ 7 10  3  2 17  9 14  7  5  3 15  8  8 13 12  0  9  3  9 19],MCTS,att,20,20,20,0.75,100,194.60971760749817,5000,10,-1,0.05,0.005
0,135,34.58918888846531,-6.410811111534692,[ 7 10  3  2 17  9 14  7  5  3 15  8  8 13 12  0  9  3  9 19],MCTS,att,20,20,20,0.75,100,181.06198382377625,5000,10,-1,0.05,0.005
0,150,34.58918888846531,-6.410811111534692,[ 1 13 13  9 13 13 14  7  8 19  8  8  8 11  8 19  9  9 13 11],MCTS,att,20,20,20,0.75,100,239.3575780391693,5000,10,-1,0.05,0.005
0,165,34.58918888846531,-6.410811111534692,[ 1 13 13  9 13 13 14  7  8 19  8  8  8 11  8 19  9  9 13 11],MCTS,att,20,20,20,0.75,100,150.75982308387756,5000,10,-1,0.05,0.005
0,180,34.58918888846531,-6.410811111534692,[ 1 13 13  9 13 13 14  7  8 19  8  8  8 11  8 19  9  9 13 11],MCTS,att,20,20,20,0.75,100,187.59283328056333,5000,10,-1,0.05,0.005
0,195,34.58918888846531,-6.410811111534692,[ 1 13 13  9 13 13 14  7  8 19  8  8  8 11  8 19  9  9 13 11],MCTS,att,20,20,20,0.75,100,168.11819052696228,5000,10,-1,0.05,0.005
0,210,34.58918888846531,-6.410811111534692,[ 1 13 13  9 13 13 14  7  8 19  8  8  8 11  8 19  9  9 13 11],MCTS,att,20,20,20,0.75,100,220.30496406555176,5000,10,-1,0.05,0.005
0,225,34.58918888846531,-6.410811111534692,[ 1 13 13  9 13 13 14  7  8 19  8  8  8 11  8 19  9  9 13 11],MCTS,att,20,20,20,0.75,100,180.74836087226868,5000,10,-1,0.05,0.005
0,240,34.58918888846531,-6.410811111534692,[ 1 13 13  9 13 13 14  7  8 19  8  8  8 11  8 19  9  9 13 11],MCTS,att,20,20,20,0.75,100,210.76357293128967,5000,10,-1,0.05,0.005
0,255,34.58918888846531,-6.410811111534692,[ 1 13 13  9 13 13 14  7  8 19  8  8  8 11  8 19  9  9 13 11],MCTS,att,20,20,20,0.75,100,214.3326334953308,5000,10,-1,0.05,0.005
0,270,34.58918888846531,-6.410811111534692,[ 1 13 13  9 13 13 14  7  8 19  8  8  8 11  8 19  9  9 13 11],MCTS,att,20,20,20,0.75,100,203.41969919204712,5000,10,-1,0.05,0.005
0,285,34.58918888846531,-6.410811111534692,[ 1 13 13  9 13 13 14  7  8 19  8  8  8 11  8 19  9  9 13 11],MCTS,att,20,20,20,0.75,100,195.0783383846283,5000,10,-1,0.05,0.005
