ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,24.00489550080834,-16.99510449919166,[ 2 16 13  0  2  1  2  9  8 18  6  0 16  3 12 19  4  5  2  8],MCTS,att,20,20,20,0.75,100,183.3833703994751,5000,100,-1,0.005,0.1
0,30,24.004947273725158,-16.995052726274846,[ 9 11  1 17  2  1  2 12  7  2  4 16 17  3 12 17  4  2  1 11],MCTS,att,20,20,20,0.75,100,170.0291850566864,5000,100,-1,0.005,0.1
0,45,24.004947273725158,-16.995052726274846,[ 9 11  1 17  2  1  2 12  7  2  4 16 17  3 12 17  4  2  1 11],MCTS,att,20,20,20,0.75,100,197.94045448303225,5000,100,-1,0.005,0.1
0,60,25.003259560689713,-15.996740439310289,[ 9 16  1  3  2  5 19  0 11  4  1  8  5 16 12 13  4  2  5  5],MCTS,att,20,20,20,0.75,100,179.16027927398682,5000,100,-1,0.005,0.1
0,75,25.003259560689713,-15.996740439310289,[ 9 16  1  3  2  5 19  0 11  4  1  8  5 16 12 13  4  2  5  5],MCTS,att,20,20,20,0.75,100,197.6802065372467,5000,100,-1,0.005,0.1
0,90,25.003259560689713,-15.996740439310289,[ 9 16  1  3  2  5 19  0 11  4  1  8  5 16 12 13  4  2  5  5],MCTS,att,20,20,20,0.75,100,210.78666281700131,5000,100,-1,0.005,0.1
0,105,25.003259560689713,-15.996740439310289,[ 9 16  1  3  2  5 19  0 11  4  1  8  5 16 12 13  4  2  5  5],MCTS,att,20,20,20,0.75,100,202.00777316093445,5000,100,-1,0.005,0.1
0,120,26.00603025874826,-14.99396974125174,[ 9  6  5  8  2  2  7  7 17  9  3 14  8 19  9  7  4 11  4  5],MCTS,att,20,20,20,0.75,100,215.5997009277344,5000,100,-1,0.005,0.1
0,135,26.00603025874826,-14.99396974125174,[ 9  6  5  8  2  2  7  7 17  9  3 14  8 19  9  7  4 11  4  5],MCTS,att,20,20,20,0.75,100,192.90523386001587,5000,100,-1,0.005,0.1
0,150,26.97791683539599,-14.022083164604009,[ 2  6 11  2 15  0 15  9 17  9  3  9  8 13  9 12  1 11  9  5],MCTS,att,20,20,20,0.75,100,186.3814754486084,5000,100,-1,0.005,0.1
0,165,26.97791683539599,-14.022083164604009,[ 2  6 11  2 15  0 15  9 17  9  3  9  8 13  9 12  1 11  9  5],MCTS,att,20,20,20,0.75,100,194.66751551628116,5000,100,-1,0.005,0.1
0,180,26.97791683539599,-14.022083164604009,[ 2  6 11  2 15  0 15  9 17  9  3  9  8 13  9 12  1 11  9  5],MCTS,att,20,20,20,0.75,100,215.8882050514221,5000,100,-1,0.005,0.1
0,195,26.97791683539599,-14.022083164604009,[ 2  6 11  2 15  0 15  9 17  9  3  9  8 13  9 12  1 11  9  5],MCTS,att,20,20,20,0.75,100,186.50542497634888,5000,100,-1,0.005,0.1
0,210,28.895876455398533,-12.104123544601467,[ 1  6 11  9  0  9 17  7  7  1  3  0  9 13 12  6  1 11  9  5],MCTS,att,20,20,20,0.75,100,199.8225085735321,5000,100,-1,0.005,0.1
0,225,28.895876455398533,-12.104123544601467,[ 1  6 11  9  0  9 17  7  7  1  3  0  9 13 12  6  1 11  9  5],MCTS,att,20,20,20,0.75,100,218.696275472641,5000,100,-1,0.005,0.1
0,240,28.895876455398533,-12.104123544601467,[ 1  6 11  9  0  9 17  7  7  1  3  0  9 13 12  6  1 11  9  5],MCTS,att,20,20,20,0.75,100,195.9098892211914,5000,100,-1,0.005,0.1
0,255,28.895876455398533,-12.104123544601467,[16 13 19  8  1  3 14 17 16  3  7 14  3  7 12 17  1 10  9 12],MCTS,att,20,20,20,0.75,100,207.306303024292,5000,100,-1,0.005,0.1
0,270,29.270201586216753,-11.729798413783248,[ 1  6 11 10 10 10 14  7 16  1 17  6  8 13 12  7  1 19  9  5],MCTS,att,20,20,20,0.75,100,208.2245011329651,5000,100,-1,0.005,0.1
0,285,29.270201586216753,-11.729798413783248,[ 1  6 11 10 10 10 14  7 16  1 17  6  8 13 12  7  1 19  9  5],MCTS,att,20,20,20,0.75,100,188.7039875984192,5000,100,-1,0.005,0.1
0,300,31.342828943642047,-9.657171056357953,[12  3  4  8 19  9 14  7 16  9  1  2  8 13 12  7  1 11  9  5],MCTS,att,20,20,20,0.75,100,207.98062825202942,5000,100,-1,0.005,0.1
0,315,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,202.8900911808014,5000,100,-1,0.005,0.1
0,330,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,199.82429552078247,5000,100,-1,0.005,0.1
0,345,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,193.4617304801941,5000,100,-1,0.005,0.1
0,360,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,196.05369091033938,5000,100,-1,0.005,0.1
0,375,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,204.71528577804563,5000,100,-1,0.005,0.1
0,390,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,199.00366616249084,5000,100,-1,0.005,0.1
0,405,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,294.4808948040008,5000,100,-1,0.005,0.1
0,420,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,192.4076430797577,5000,100,-1,0.005,0.1
0,435,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,180.62731719017032,5000,100,-1,0.005,0.1
0,450,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,180.7791187763214,5000,100,-1,0.005,0.1
0,465,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,196.53557872772217,5000,100,-1,0.005,0.1
0,480,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,181.6638915538788,5000,100,-1,0.005,0.1
0,495,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,198.78327226638797,5000,100,-1,0.005,0.1
0,510,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,203.4183259010315,5000,100,-1,0.005,0.1
0,525,32.135524668260366,-8.864475331739634,[11  7  1  8 13 14  2  7 16  4 17 14  8 13 12  7  1  2  9  5],MCTS,att,20,20,20,0.75,100,203.60289359092712,5000,100,-1,0.005,0.1
0,540,32.80564261844183,-8.19435738155817,[ 6  1 17 16 19  9  4  3  0  3 15 10  8 13 12 18  1  9  9  5],MCTS,att,20,20,20,0.75,100,189.14395332336426,5000,100,-1,0.005,0.1
0,555,32.80564261844183,-8.19435738155817,[ 6  1 17 16 19  9  4  3  0  3 15 10  8 13 12 18  1  9  9  5],MCTS,att,20,20,20,0.75,100,203.90584540367126,5000,100,-1,0.005,0.1
0,570,33.233418410070556,-7.7665815899294435,[12 12  7  3  2  9 18  7  5 17 15 10  8 13 12 17  1  9  9  5],MCTS,att,20,20,20,0.75,100,204.7902898788452,5000,100,-1,0.005,0.1
0,585,35.43222037782869,-5.567779622171315,[ 0  7  3  5 13  9 13  7  5  3 15 10  8 13 12  0  1  9  9  5],MCTS,att,20,20,20,0.75,100,207.5569987297058,5000,100,-1,0.005,0.1
0,600,35.43222037782869,-5.567779622171315,[ 0  7  3  5 13  9 13  7  5  3 15 10  8 13 12  0  1  9  9  5],MCTS,att,20,20,20,0.75,100,199.17283415794373,5000,100,-1,0.005,0.1
0,615,35.43222037782869,-5.567779622171315,[ 0  7  3  5 13  9 13  7  5  3 15 10  8 13 12  0  1  9  9  5],MCTS,att,20,20,20,0.75,100,195.71167397499084,5000,100,-1,0.005,0.1
0,630,35.43222037782869,-5.567779622171315,[ 0  7  3  5 13  9 13  7  5  3 15 10  8 13 12  0  1  9  9  5],MCTS,att,20,20,20,0.75,100,188.80852913856504,5000,100,-1,0.005,0.1
0,645,35.43222037782869,-5.567779622171315,[ 0  7  3  5 13  9 13  7  5  3 15 10  8 13 12  0  1  9  9  5],MCTS,att,20,20,20,0.75,100,187.0077199935913,5000,100,-1,0.005,0.1
0,660,36.2155478821992,-4.784452117800797,[ 0 15 13  8 13  9  6  7  5 10 15  8  8 13 12 16  1  9  9  5],MCTS,att,20,20,20,0.75,100,195.21919918060303,5000,100,-1,0.005,0.1
0,675,36.2155478821992,-4.784452117800797,[ 0 15 13  8 13  9  6  7  5 10 15  8  8 13 12 16  1  9  9  5],MCTS,att,20,20,20,0.75,100,189.9867672920227,5000,100,-1,0.005,0.1
