ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,187.14056754112244,5000,10,-1,0.005,0.1
0,30,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.9854600429535,5000,10,-1,0.005,0.1
0,45,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,199.30452537536618,5000,10,-1,0.005,0.1
0,60,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,137.10390782356262,5000,10,-1,0.005,0.1
0,75,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.6621699333191,5000,10,-1,0.005,0.1
0,90,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,142.6972572803497,5000,10,-1,0.005,0.1
0,105,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.99051070213318,5000,10,-1,0.005,0.1
0,120,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,140.06359004974362,5000,10,-1,0.005,0.1
0,135,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,137.4343619346619,5000,10,-1,0.005,0.1
0,150,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,137.1679663658142,5000,10,-1,0.005,0.1
0,165,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.9335687160492,5000,10,-1,0.005,0.1
0,180,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,137.22621750831604,5000,10,-1,0.005,0.1
0,195,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,137.13207530975342,5000,10,-1,0.005,0.1
0,210,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.97114658355713,5000,10,-1,0.005,0.1
0,225,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.59783101081848,5000,10,-1,0.005,0.1
0,240,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,135.6713466644287,5000,10,-1,0.005,0.1
0,255,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,153.60510396957397,5000,10,-1,0.005,0.1
0,270,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,137.02382612228394,5000,10,-1,0.005,0.1
0,285,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.8963372707367,5000,10,-1,0.005,0.1
0,300,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.68126773834229,5000,10,-1,0.005,0.1
0,315,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.21174120903015,5000,10,-1,0.005,0.1
0,330,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,145.91601514816284,5000,10,-1,0.005,0.1
0,345,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.43154644966123,5000,10,-1,0.005,0.1
0,360,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.46522736549377,5000,10,-1,0.005,0.1
0,375,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.27413153648376,5000,10,-1,0.005,0.1
0,390,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,135.9347677230835,5000,10,-1,0.005,0.1
0,405,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.7523217201233,5000,10,-1,0.005,0.1
0,420,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.12320041656494,5000,10,-1,0.005,0.1
0,435,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.02757287025452,5000,10,-1,0.005,0.1
0,450,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.04749798774722,5000,10,-1,0.005,0.1
0,465,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.08813405036926,5000,10,-1,0.005,0.1
0,480,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,135.85405731201172,5000,10,-1,0.005,0.1
0,495,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,135.8629329204559,5000,10,-1,0.005,0.1
0,510,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,135.61187839508057,5000,10,-1,0.005,0.1
0,525,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,137.2165496349335,5000,10,-1,0.005,0.1
0,540,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,174.5660331249237,5000,10,-1,0.005,0.1
0,555,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,142.36992287635803,5000,10,-1,0.005,0.1
0,570,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,162.11706161499026,5000,10,-1,0.005,0.1
0,585,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,135.69983410835266,5000,10,-1,0.005,0.1
0,600,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,135.89433121681213,5000,10,-1,0.005,0.1
0,615,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,135.73454022407532,5000,10,-1,0.005,0.1
0,630,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,135.5839023590088,5000,10,-1,0.005,0.1
0,645,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,135.5213816165924,5000,10,-1,0.005,0.1
0,660,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,135.36372256278992,5000,10,-1,0.005,0.1
0,675,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,135.37325429916382,5000,10,-1,0.005,0.1
0,690,13.846861069237116,-7.153138930762887,[16 11  2  2 11 16 19 17  7 17  1 16  9  7  7  4  6  2  0 14],MCTS,dd,20,20,20,0.75,100,136.01060009002686,5000,10,-1,0.005,0.1
0,705,13.846861069237116,-7.153138930762887,[ 7 15  7  8 17  9 16  8  3  2 13  5  8 15 11  4  2 11  5 10],MCTS,dd,20,20,20,0.75,100,136.0320699214935,5000,10,-1,0.005,0.1
0,720,13.846861069237116,-7.153138930762887,[ 7 15  7  8 17  9 16  8  3  2 13  5  8 15 11  4  2 11  5 10],MCTS,dd,20,20,20,0.75,100,143.07289838790894,5000,10,-1,0.005,0.1
0,735,13.846861069237116,-7.153138930762887,[ 7 15  7  8 17  9 16  8  3  2 13  5  8 15 11  4  2 11  5 10],MCTS,dd,20,20,20,0.75,100,155.994393825531,5000,10,-1,0.005,0.1
0,750,13.846861069237116,-7.153138930762887,[ 7 15  7  8 17  9 16  8  3  2 13  5  8 15 11  4  2 11  5 10],MCTS,dd,20,20,20,0.75,100,155.32844281196594,5000,10,-1,0.005,0.1
0,765,13.846861069237116,-7.153138930762887,[ 7 15  7  8 17  9 16  8  3  2 13  5  8 15 11  4  2 11  5 10],MCTS,dd,20,20,20,0.75,100,149.0887830257416,5000,10,-1,0.005,0.1
