ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,54.56286143137783,-17.437138568622178,[ 1  6  0 18  3 19 16  3 10  5 16 15 17 18 13 19  8  6 12  3],MCTS,pd,20,20,20,0.75,10000,216.8981795310974,5000,100,-1,0.005,0.1
0,30,55.97403615275852,-16.025963847241474,[10  8  0 17  3 17  0 15 10  5 19 13 17  0 19 19 11  6 12  5],MCTS,pd,20,20,20,0.75,10000,183.5329887866974,5000,100,-1,0.005,0.1
0,45,56.141064974397935,-15.858935025602056,[16  2 14 12 14 17  8 15 15  6 15 15 18  0  3  1  2  4  1  6],MCTS,pd,20,20,20,0.75,10000,206.0049467086792,5000,100,-1,0.005,0.1
0,60,56.141064974397935,-15.858935025602056,[ 2 13  3 17 12  9 17 13  5 10 10  4  9 17 13  1  7  9  1  5],MCTS,pd,20,20,20,0.75,10000,222.95523381233212,5000,100,-1,0.005,0.1
0,75,56.141064974397935,-15.858935025602056,[ 7 19 10  4 14  9  2 14  3 16 15 16  8  8 19 16 18  9  1 10],MCTS,pd,20,20,20,0.75,10000,192.2946650981903,5000,100,-1,0.005,0.1
0,90,58.17707402482836,-13.822925975171644,[16 13 10 12 18  0  0 14 18 14 15 15  4  0 19  1  2  9  3 16],MCTS,pd,20,20,20,0.75,10000,213.9214200973511,5000,100,-1,0.005,0.1
0,105,58.720476444720404,-13.279523555279605,[ 6 13 10 12 18 19  9 14 11  3 15 13 17 18 19 16 10  9  5 16],MCTS,pd,20,20,20,0.75,10000,216.2012612819672,5000,100,-1,0.005,0.1
0,120,58.720476444720404,-13.279523555279605,[ 6 13 10 12 18 19  9 14 11  3 15 13 17 18 19 16 10  9  5 16],MCTS,pd,20,20,20,0.75,10000,198.4964907169342,5000,100,-1,0.005,0.1
0,135,59.86105332944514,-12.13894667055486,[11 13  1 12  4 15  9 14 18  3 15 15  4 13  3  2  2  9 14  3],MCTS,pd,20,20,20,0.75,10000,196.61032843589783,5000,100,-1,0.005,0.1
0,150,60.24116043211506,-11.758839567884936,[16 13  1 15 18 19  0 14 18  3 15 13 13 13  3  2  2  9  5  3],MCTS,pd,20,20,20,0.75,10000,198.85123229026797,5000,100,-1,0.005,0.1
0,165,60.24116043211506,-11.758839567884936,[16 13  1 15 18 19  0 14 18  3 15 13 13 13  3  2  2  9  5  3],MCTS,pd,20,20,20,0.75,10000,190.23412609100345,5000,100,-1,0.005,0.1
0,180,60.24116043211506,-11.758839567884936,[16 13  1 15 18 19  0 14 18  3 15 13 13 13  3  2  2  9  5  3],MCTS,pd,20,20,20,0.75,10000,194.85848069190982,5000,100,-1,0.005,0.1
0,195,60.24116043211506,-11.758839567884936,[16 13  1 15 18 19  0 14 18  3 15 13 13 13  3  2  2  9  5  3],MCTS,pd,20,20,20,0.75,10000,200.66430640220642,5000,100,-1,0.005,0.1
0,210,60.24116043211506,-11.758839567884936,[16 13  1 15 18 19  0 14 18  3 15 13 13 13  3  2  2  9  5  3],MCTS,pd,20,20,20,0.75,10000,205.4816837310791,5000,100,-1,0.005,0.1
0,225,60.24116043211506,-11.758839567884936,[16 13  1 15 18 19  0 14 18  3 15 13 13 13  3  2  2  9  5  3],MCTS,pd,20,20,20,0.75,10000,191.41943335533142,5000,100,-1,0.005,0.1
0,240,60.24116043211506,-11.758839567884936,[16 13  1 15 18 19  0 14 18  3 15 13 13 13  3  2  2  9  5  3],MCTS,pd,20,20,20,0.75,10000,189.3743734359741,5000,100,-1,0.005,0.1
0,255,60.24116043211506,-11.758839567884936,[16 13  1 15 18 19  0 14 18  3 15 13 13 13  3  2  2  9  5  3],MCTS,pd,20,20,20,0.75,10000,190.5963697433472,5000,100,-1,0.005,0.1
0,270,60.24116043211506,-11.758839567884936,[16 13  1 15 18 19  0 14 18  3 15 13 13 13  3  2  2  9  5  3],MCTS,pd,20,20,20,0.75,10000,200.65991353988647,5000,100,-1,0.005,0.1
0,285,60.921610825188466,-11.078389174811539,[16  1 11  2 16 15  9  7  5  8 15 13  8 13 19  1 10  9  1 16],MCTS,pd,20,20,20,0.75,10000,264.72889423370356,5000,100,-1,0.005,0.1
0,300,60.921610825188466,-11.078389174811539,[16  1 11  2 16 15  9  7  5  8 15 13  8 13 19  1 10  9  1 16],MCTS,pd,20,20,20,0.75,10000,183.85642743110657,5000,100,-1,0.005,0.1
0,315,60.921610825188466,-11.078389174811539,[16  1 11  2 16 15  9  7  5  8 15 13  8 13 19  1 10  9  1 16],MCTS,pd,20,20,20,0.75,10000,209.3230581283569,5000,100,-1,0.005,0.1
0,330,61.854831773773114,-10.145168226226886,[15 13 11 15  1 12  9  1  5  6 15  0  8  3 19  1  4  9 19  5],MCTS,pd,20,20,20,0.75,10000,195.8622488975525,5000,100,-1,0.005,0.1
0,345,61.854831773773114,-10.145168226226886,[15 13 11 15  1 12  9  1  5  6 15  0  8  3 19  1  4  9 19  5],MCTS,pd,20,20,20,0.75,10000,203.7779414653778,5000,100,-1,0.005,0.1
