ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,55.823036253501684,-16.176963746498316,[14 10 17 16 17  7  6  5  1 13 11  6  0 14  2 18 14  3  8 17],MCTS,pd,20,20,20,0.75,10000,276.4120538234711,5000,10,-1,0.005,0.1
0,30,55.823036253501684,-16.176963746498316,[14 10 17 16 17  7  6  5  1 13 11  6  0 14  2 18 14  3  8 17],MCTS,pd,20,20,20,0.75,10000,184.06408452987668,5000,10,-1,0.005,0.1
0,45,57.878254552012756,-14.121745447987234,[ 8 11  8  5  0  0  1 11  1 17 15  8  0  6 12 18  8 10 16 14],MCTS,pd,20,20,20,0.75,10000,211.77395868301392,5000,10,-1,0.005,0.1
0,60,57.878254552012756,-14.121745447987234,[ 8 11  8  5  0  0  1 11  1 17 15  8  0  6 12 18  8 10 16 14],MCTS,pd,20,20,20,0.75,10000,185.9736931324005,5000,10,-1,0.005,0.1
0,75,57.878254552012756,-14.121745447987234,[ 8 11  8  5  0  0  1 11  1 17 15  8  0  6 12 18  8 10 16 14],MCTS,pd,20,20,20,0.75,10000,201.4922769069672,5000,10,-1,0.005,0.1
0,90,57.878254552012756,-14.121745447987234,[ 8 11  8  5  0  0  1 11  1 17 15  8  0  6 12 18  8 10 16 14],MCTS,pd,20,20,20,0.75,10000,179.87617874145508,5000,10,-1,0.005,0.1
0,105,60.53648995859761,-11.463510041402388,[ 3 19 17  8 14 17  1 10 11 13 15  8  7 14 12  9 16  9  6  9],MCTS,pd,20,20,20,0.75,10000,165.68838882446292,5000,10,-1,0.005,0.1
0,120,60.53648995859761,-11.463510041402388,[ 3 19 17  8 14 17  1 10 11 13 15  8  7 14 12  9 16  9  6  9],MCTS,pd,20,20,20,0.75,10000,182.64266681671143,5000,10,-1,0.005,0.1
0,135,60.53648995859761,-11.463510041402388,[ 3 19 17  8 14 17  1 10 11 13 15  8  7 14 12  9 16  9  6  9],MCTS,pd,20,20,20,0.75,10000,181.9597885608673,5000,10,-1,0.005,0.1
0,150,60.53648995859761,-11.463510041402388,[ 2 13 13 12 16 19 15 18  6 16 15  8  8 13 15 16 18  3 19 19],MCTS,pd,20,20,20,0.75,10000,173.3431429862976,5000,10,-1,0.005,0.1
0,165,60.86163660964794,-11.138363390352064,[15 13 18  8 19  2  1 12  5  7 15 15  8 13 10  8  9  5 10 18],MCTS,pd,20,20,20,0.75,10000,170.39568829536438,5000,10,-1,0.005,0.1
0,180,63.72131884072343,-8.278681159276573,[13 13  8  8 13  7  2  1  5  4 15 17  8 13  7  8  4 13  6  0],MCTS,pd,20,20,20,0.75,10000,175.483562707901,5000,10,-1,0.005,0.1
0,195,63.72131884072343,-8.278681159276573,[13 13  8  8 13  7  2  1  5  4 15 17  8 13  7  8  4 13  6  0],MCTS,pd,20,20,20,0.75,10000,178.20186877250669,5000,10,-1,0.005,0.1
0,210,65.81118080455455,-6.188819195445447,[12  6 17  8 13 14 19  7  5  3 15 17  8 13  7  7  4  0  9  3],MCTS,pd,20,20,20,0.75,10000,196.6929326057434,5000,10,-1,0.005,0.1
0,225,65.81118080455455,-6.188819195445447,[12  6 17  8 13 14 19  7  5  3 15 17  8 13  7  7  4  0  9  3],MCTS,pd,20,20,20,0.75,10000,180.11821007728577,5000,10,-1,0.005,0.1
0,240,66.91836811631586,-5.081631883684139,[12 13 17  8 13  9 15  7 19  3 15  8  8 13  4  3 10 12  9  3],MCTS,pd,20,20,20,0.75,10000,178.92050337791443,5000,10,-1,0.005,0.1
