ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,15.038581096574076,-20.961418903425926,[18  8 14  6 10  3  4  2  4  2 19  5  4 13  2  9  0  8  5 11],MCTS,rep,20,20,20,0.75,10000,175.0849232673645,5000,100,-1,0.005,0.1
0,30,15.038581096574076,-20.961418903425926,[18  8 14  6 10  3  4  2  4  2 19  5  4 13  2  9  0  8  5 11],MCTS,rep,20,20,20,0.75,10000,155.6029143333435,5000,100,-1,0.005,0.1
0,45,15.735199061610361,-20.26480093838964,[ 5 11  9 18  2  1 11 13 18 18  1  5  4 13 14  7 17  5 14 10],MCTS,rep,20,20,20,0.75,10000,381.38148283958435,5000,100,-1,0.005,0.1
0,60,15.834105622772512,-20.165894377227488,[ 3 11  6 10  2 19 18  8  5  2  1 14 10  5 15  7 17  0  2 10],MCTS,rep,20,20,20,0.75,10000,247.43895530700684,5000,100,-1,0.005,0.1
0,75,16.810122057559017,-19.189877942440983,[ 9 11  6  7 13 10  1 12  5 14 14 18 14 12  2  7 17  2  0 11],MCTS,rep,20,20,20,0.75,10000,158.49071383476254,5000,100,-1,0.005,0.1
0,90,16.810122057559017,-19.189877942440983,[14 11 10  3 13  5 17 16  5  2 15  8 16 12  8  1 17  9  7  4],MCTS,rep,20,20,20,0.75,10000,468.1853568553925,5000,100,-1,0.005,0.1
0,105,16.810122057559017,-19.189877942440983,[14 11 10  3 13  5 17 16  5  2 15  8 16 12  8  1 17  9  7  4],MCTS,rep,20,20,20,0.75,10000,513.2622652053833,5000,100,-1,0.005,0.1
0,120,16.810122057559017,-19.189877942440983,[14 11 10  3 13  5 17 16  5  2 15  8 16 12  8  1 17  9  7  4],MCTS,rep,20,20,20,0.75,10000,348.4464967250824,5000,100,-1,0.005,0.1
0,135,16.810122057559017,-19.189877942440983,[14 11 10  3 13  5 17 16  5  2 15  8 16 12  8  1 17  9  7  4],MCTS,rep,20,20,20,0.75,10000,155.7846102714539,5000,100,-1,0.005,0.1
0,150,16.814530876418065,-19.185469123581935,[15 16  9  4 13  1  5  7  3  0  0 14 15 10  1 17 17 10 19  0],MCTS,rep,20,20,20,0.75,10000,150.61832737922668,5000,100,-1,0.005,0.1
0,165,18.823073184790346,-17.176926815209658,[10 10  2 13 13 17 18  7  5  5 10 14 15  1  1 17 17 12  9  0],MCTS,rep,20,20,20,0.75,10000,163.5123469829559,5000,100,-1,0.005,0.1
0,180,18.823073184790346,-17.176926815209658,[15  7 16 11  8  5  3  7 12  2 15  5 17 17 18 12  4  4  1  5],MCTS,rep,20,20,20,0.75,10000,162.1059505939484,5000,100,-1,0.005,0.1
0,195,18.823073184790346,-17.176926815209658,[15  7 16 11  8  5  3  7 12  2 15  5 17 17 18 12  4  4  1  5],MCTS,rep,20,20,20,0.75,10000,169.95525908470154,5000,100,-1,0.005,0.1
