ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,18.141860999748825,-17.858139000251175,[16  5  3  9 11  9 10  6 16  3  9  4  3  5 11 18  7 15  4  5],MCTS,rep,20,20,20,0.95,10000,159.93471455574038,5000,10,-1,0.005,0.1
0,30,20.371010573939348,-15.628989426060652,[15 11 19  2  1 13 12  2  5  3 17  7  8  5 12  2  4 11 14 16],MCTS,rep,20,20,20,0.95,10000,167.47557806968692,5000,10,-1,0.005,0.1
0,45,20.618127647827148,-15.381872352172847,[ 7 18 11 13 13  9 11 18 10 15  7  8 12  5 11 15  9 19  9  1],MCTS,rep,20,20,20,0.95,10000,149.8753726482391,5000,10,-1,0.005,0.1
0,60,20.618127647827148,-15.381872352172847,[ 7 18 11 13 13  9 11 18 10 15  7  8 12  5 11 15  9 19  9  1],MCTS,rep,20,20,20,0.95,10000,167.27827405929563,5000,10,-1,0.005,0.1
0,75,20.618127647827148,-15.381872352172847,[ 7 18 11 13 13  9 11 18 10 15  7  8 12  5 11 15  9 19  9  1],MCTS,rep,20,20,20,0.95,10000,123.66765666007996,5000,10,-1,0.005,0.1
0,90,24.74857874896585,-11.251421251034147,[ 7 12 19  8 13  8 16  8  5  3 15  8  5 13  2 12  4 13 16 18],MCTS,rep,20,20,20,0.95,10000,147.53508782386783,5000,10,-1,0.005,0.1
0,105,24.74857874896585,-11.251421251034147,[ 7 12 19  8 13  8 16  8  5  3 15  8  5 13  2 12  4 13 16 18],MCTS,rep,20,20,20,0.95,10000,139.97454571723938,5000,10,-1,0.005,0.1
0,120,24.74857874896585,-11.251421251034147,[ 7 12 19  8 13  8 16  8  5  3 15  8  5 13  2 12  4 13 16 18],MCTS,rep,20,20,20,0.95,10000,157.20645427703855,5000,10,-1,0.005,0.1
0,135,24.74857874896585,-11.251421251034147,[13 13  1  8 13 15 17  7 18  6  5 19  3 14  3 17  9  9  2 19],MCTS,rep,20,20,20,0.95,10000,147.92914533615112,5000,10,-1,0.005,0.1
0,150,25.329452607268692,-10.670547392731313,[ 7 13 10  2  4  9  3  1  5  3 17  8  3  4 12 11  4  9  9 14],MCTS,rep,20,20,20,0.95,10000,151.1202228069305,5000,10,-1,0.005,0.1
0,165,25.329452607268692,-10.670547392731313,[ 7 13 10  2  4  9  3  1  5  3 17  8  3  4 12 11  4  9  9 14],MCTS,rep,20,20,20,0.95,10000,150.73453259468081,5000,10,-1,0.005,0.1
