ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,16.56858358955957,-19.43141641044043,[19  7  1  0 12  3  2 13 12 12 15 18 17  0  4  8 12  3  2 16],MCTS,rep,20,20,20,0.95,10000,158.6960604190826,5000,100,-1,0.05,0.005
0,30,16.57737954287761,-19.42262045712239,[ 4  8  1  4 10  5  6 13  6  8 13 18  6 11  7  7  5  9 11 18],MCTS,rep,20,20,20,0.95,10000,154.42325687408447,5000,100,-1,0.05,0.005
0,45,16.57737954287761,-19.42262045712239,[ 1 13 17  1 13  5 19  7 19  7 10  9 17  4 15  5  9  9  0  1],MCTS,rep,20,20,20,0.95,10000,172.06210494041443,5000,100,-1,0.05,0.005
0,60,16.707527026839724,-19.29247297316028,[11  3  0  4  3 16 19 19  7 16  8 14  1  7 15 15 11  4 17  5],MCTS,rep,20,20,20,0.95,10000,175.40667080879211,5000,100,-1,0.05,0.005
0,75,18.696591814924506,-17.303408185075494,[11 13 18  4  7  9  8  3  7  1 14 14  5 16 15 15  9 11 15  5],MCTS,rep,20,20,20,0.95,10000,179.1219401359558,5000,100,-1,0.05,0.005
0,90,20.426797204800312,-15.573202795199688,[19 13  1 18 13  5 13  0 14 16 15 16 19 12 19  4  4 11 18  5],MCTS,rep,20,20,20,0.95,10000,159.7979440689087,5000,100,-1,0.05,0.005
0,105,20.48921124657061,-15.510788753429393,[11 13 17 11 13 15  6  7  1 16  0 11  5 15  3 18  9 11 19  5],MCTS,rep,20,20,20,0.95,10000,166.90588450431827,5000,100,-1,0.05,0.005
0,120,24.75755463252533,-11.242445367474671,[12 13 17  8 13  5  4  7  5  8  1 16  1 13  7 17  4 18  1  5],MCTS,rep,20,20,20,0.95,10000,185.5269727706909,5000,100,-1,0.05,0.005
0,135,25.35325976433501,-10.646740235664993,[ 7 13 17  1 13  9  4  7  5  0 15 15 17  0 18  4  4  6  7  5],MCTS,rep,20,20,20,0.95,10000,196.42183971405032,5000,100,-1,0.05,0.005
0,150,25.35325976433501,-10.646740235664993,[ 7 13 17  1 13  9  4  7  5  0 15 15 17  0 18  4  4  6  7  5],MCTS,rep,20,20,20,0.95,10000,179.7932345867157,5000,100,-1,0.05,0.005
0,165,25.35325976433501,-10.646740235664993,[ 7 13 17  1 13  9  4  7  5  0 15 15 17  0 18  4  4  6  7  5],MCTS,rep,20,20,20,0.95,10000,184.94036674499512,5000,100,-1,0.05,0.005
0,180,25.35325976433501,-10.646740235664993,[ 0  3 10 11 13  9  2  7  8 14  0  8  8 13  5  7 18  5 18  2],MCTS,rep,20,20,20,0.95,10000,187.9527900218964,5000,100,-1,0.05,0.005
0,195,25.35325976433501,-10.646740235664993,[ 0  3 10 11 13  9  2  7  8 14  0  8  8 13  5  7 18  5 18  2],MCTS,rep,20,20,20,0.95,10000,174.75850129127502,5000,100,-1,0.05,0.005
0,210,25.35325976433501,-10.646740235664993,[ 0  3 10 11 13  9  2  7  8 14  0  8  8 13  5  7 18  5 18  2],MCTS,rep,20,20,20,0.95,10000,181.21873927116397,5000,100,-1,0.05,0.005
0,225,25.35325976433501,-10.646740235664993,[ 0  3 10 11 13  9  2  7  8 14  0  8  8 13  5  7 18  5 18  2],MCTS,rep,20,20,20,0.95,10000,179.4348270893097,5000,100,-1,0.05,0.005
0,240,27.69157284097104,-8.308427159028959,[ 7 13 17  3 13  9  7  0 17 15 15  8 17 13 12 17  4  5  9  5],MCTS,rep,20,20,20,0.95,10000,182.8916962146759,5000,100,-1,0.05,0.005
0,255,27.69157284097104,-8.308427159028959,[ 7 13 17  3 13  9  7  0 17 15 15  8 17 13 12 17  4  5  9  5],MCTS,rep,20,20,20,0.95,10000,183.67244362831119,5000,100,-1,0.05,0.005
0,270,27.69157284097104,-8.308427159028959,[ 7 13 17  3 13  9  7  0 17 15 15  8 17 13 12 17  4  5  9  5],MCTS,rep,20,20,20,0.95,10000,173.80659461021423,5000,100,-1,0.05,0.005
0,285,27.69157284097104,-8.308427159028959,[ 7 13 17  3 13  9  7  0 17 15 15  8 17 13 12 17  4  5  9  5],MCTS,rep,20,20,20,0.95,10000,179.7856924533844,5000,100,-1,0.05,0.005
0,300,27.69157284097104,-8.308427159028959,[ 7 13 17  3 13  9  7  0 17 15 15  8 17 13 12 17  4  5  9  5],MCTS,rep,20,20,20,0.95,10000,179.8849470615387,5000,100,-1,0.05,0.005
0,315,27.69157284097104,-8.308427159028959,[ 7 13 17  3 13  9  7  0 17 15 15  8 17 13 12 17  4  5  9  5],MCTS,rep,20,20,20,0.95,10000,172.52367925643918,5000,100,-1,0.05,0.005
