ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,22.326834411364665,-18.67316558863533,[ 3 19 11  0 17  9  9 10  8 11  6 19 19  8 14  2 13  7 11  9],SA,att,20,20,20,0.95,10000,74.39790320396423,5000,-1,50,0.05,0.005
0,30,22.326834411364665,-18.67316558863533,[ 3 19  7  0 17  9  9  7  8 11  6 19 19  8 14  2 13  9 11  9],SA,att,20,20,20,0.95,10000,59.20431566238403,5000,-1,50,0.05,0.005
0,45,22.327602177965854,-18.672397822034146,[ 3 19 11  0 17  9  9 10  8 11  6 19 19  8 14  2 13  7 11  9],SA,att,20,20,20,0.95,10000,59.1341655254364,5000,-1,50,0.05,0.005
0,60,22.327602177965854,-18.672397822034146,[ 3 19 11  0 17  9  9 10  8 11  6 19 19  8 14  2 13  7 11  9],SA,att,20,20,20,0.95,10000,58.70738506317139,5000,-1,50,0.05,0.005
0,75,22.327602177965854,-18.672397822034146,[18  4  8 12 17  9 13  9 10  1 18  2 13 16 12 13  7 13  7 10],SA,att,20,20,20,0.95,10000,58.93739700317383,5000,-1,50,0.05,0.005
0,90,24.000866235573035,-16.999133764426965,[12 19 15  0 17  9  8 10  9 17  4 11 13  8 18  0 19 11 11 15],SA,att,20,20,20,0.95,10000,58.9029438495636,5000,-1,50,0.05,0.005
0,105,25.729788206359054,-15.270211793640955,[ 5  4 17  4 17  9 17 10  7 17 15 11  0  8 14  4  7 11 11  9],SA,att,20,20,20,0.95,10000,59.12797474861145,5000,-1,50,0.05,0.005
0,120,25.729788206359054,-15.270211793640955,[ 5 13 17  4 17  9 17 10  9 17 15 11  0  1 14  0  7 12 11  5],SA,att,20,20,20,0.95,10000,59.10111689567566,5000,-1,50,0.05,0.005
0,135,30.588579582696386,-10.411420417303614,[19  1 10 12 17  9  2  3  5 14 10 11 13  6 12 17  9 16  9  9],SA,att,20,20,20,0.95,10000,59.07426118850708,5000,-1,50,0.05,0.005
0,150,30.588579582696386,-10.411420417303614,[ 0  1  7 12 13  9  2 11  5 14 17  6 18  8 12 17  9 16  9  4],SA,att,20,20,20,0.95,10000,59.05569529533386,5000,-1,50,0.05,0.005
0,165,32.49629513078465,-8.503704869215348,[ 0 13  7 13 17  9  2 11 17  3 17  8 18  8 12 17  9 16  9  7],SA,att,20,20,20,0.95,10000,58.92779588699341,5000,-1,50,0.05,0.005
0,180,32.55933942198348,-8.44066057801652,[14  8  9  4 17  9  2  5  5  3 10  8 10  2 12 17  9 16  9  1],SA,att,20,20,20,0.95,10000,59.06420421600342,5000,-1,50,0.05,0.005
0,195,33.58003935662392,-7.419960643376078,[ 2 13 13  1 12  9  4 15  5  3 15  8 17 10 12 17  9 16  9  4],SA,att,20,20,20,0.95,10000,59.19954895973206,5000,-1,50,0.05,0.005
0,210,33.58003935662392,-7.419960643376078,[ 7 13 17  1  8 19  7 15  5  3 15  8 15 10 12 17  9 16  9 14],SA,att,20,20,20,0.95,10000,58.888001441955566,5000,-1,50,0.05,0.005
0,225,33.58003935662392,-7.419960643376078,[ 7 13 17  1  8 19  7 15  5  3 15  8 15 10 12 17  9 16  9 14],SA,att,20,20,20,0.95,10000,58.89085674285889,5000,-1,50,0.05,0.005
0,240,33.58003935662392,-7.419960643376078,[ 7 13 17  1  8 19  7 15  5  3 15  8 15 10 12 17  9 16  9 14],SA,att,20,20,20,0.95,10000,58.90163660049439,5000,-1,50,0.05,0.005
0,255,33.58003935662392,-7.419960643376078,[ 7 13 17  1  8 19  7 15  5  3 15  8 15 10 12 17  9 16  9 14],SA,att,20,20,20,0.95,10000,60.164063692092896,5000,-1,50,0.05,0.005
0,270,33.58003935662392,-7.419960643376078,[ 7 13 17  1  8 19  7 15  5  3 15  8 15 10 12 17  9 16  9 14],SA,att,20,20,20,0.95,10000,63.36074638366699,5000,-1,50,0.05,0.005
0,285,33.58003935662392,-7.419960643376078,[ 7 13 17  1  8 19  7 15  5  3 15  8 15 10 12 17  9 16  9 14],SA,att,20,20,20,0.95,10000,63.14935541152954,5000,-1,50,0.05,0.005
0,300,33.58003935662392,-7.419960643376078,[ 7 13 17  1  8 19  7 15  5  3 15  8 15 10 12 17  9 16  9 14],SA,att,20,20,20,0.95,10000,63.27505254745483,5000,-1,50,0.05,0.005
0,315,34.11334099666176,-6.886659003338237,[ 7 17 17 17  7  9  2 16 15  3 15  8  5 14  1  7  9  9  9  2],SA,att,20,20,20,0.95,10000,63.27063512802124,5000,-1,50,0.05,0.005
0,330,36.46013986364333,-4.5398601363566655,[ 7  9 17  5 13  9  2  7  6  3 15  8 19 13 13  7  9  9  9  2],SA,att,20,20,20,0.95,10000,63.12997388839722,5000,-1,50,0.05,0.005
0,345,37.819065257228395,-3.1809347427715977,[ 7  9 17  5 13  9  2  7  6  3 15  8 19 13  8  7  9  9  9  5],SA,att,20,20,20,0.95,10000,63.2680299282074,5000,-1,50,0.05,0.005
