ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,23.489175011786408,-17.510824988213596,[19  7 11  6  6  7 12 15 10  0  1 16 19 13  1  6 14  0  2  5],SA,att,20,20,20,0.75,100,64.19475746154785,5000,-1,10,0.05,0.005
0,30,29.403249554731197,-11.596750445268805,[ 7 13 16  6  2  1  1 12 13  5 12  8  8 13 12  0 13  5  9  4],SA,att,20,20,20,0.75,100,64.17755222320557,5000,-1,10,0.05,0.005
0,45,33.35270467567644,-7.647295324323558,[ 7 13  9  8 13  9  8  7  5  9 19 17  1 13 12  0  1  6  9  2],SA,att,20,20,20,0.75,100,64.23471617698671,5000,-1,10,0.05,0.005
0,60,35.17504478257538,-5.8249552174246215,[ 7 17 17  8 13  9  2 19  5  3  7  7  8  3 12  8  9  9  9  2],SA,att,20,20,20,0.75,100,64.0921404361725,5000,-1,10,0.05,0.005
0,75,40.832041883125946,-0.16795811687405404,[ 7  1 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,100,64.16738820075989,5000,-1,10,0.05,0.005
0,90,40.832041883125946,-0.16795811687405404,[ 7  1 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,100,63.74839782714844,5000,-1,10,0.05,0.005
0,105,40.832041883125946,-0.16795811687405404,[ 7  5 19 14  1 15  2  7 12  3 19 19  8  0 12  8  9 14  9  5],SA,att,20,20,20,0.75,100,63.74152970314026,5000,-1,10,0.05,0.005
0,120,40.832041883125946,-0.16795811687405404,[ 7  5 19 14  1 15  2  7 12  3 19 19  8  0 12  8  9 14  9  5],SA,att,20,20,20,0.75,100,63.63743543624878,5000,-1,10,0.05,0.005
0,135,40.832041883125946,-0.16795811687405404,[ 7  5 19 14  1 15  2  7 12  3 19 19  8  0 12  8  9 14  9  5],SA,att,20,20,20,0.75,100,63.80811095237732,5000,-1,10,0.05,0.005
0,150,40.832041883125946,-0.16795811687405404,[11 13 17  8 13  8  2 13  5  3 10 12 18 13 12  8  1 16  9  5],SA,att,20,20,20,0.75,100,63.694200038909905,5000,-1,10,0.05,0.005
0,165,40.832041883125946,-0.16795811687405404,[11 13 17  8 13  8  2 13  5  3 10 12 18 13 12  8  1 16  9  5],SA,att,20,20,20,0.75,100,63.720310926437385,5000,-1,10,0.05,0.005
0,180,40.832041883125946,-0.16795811687405404,[11 13 17  8 13  8  2 13  5  3 10 12 18 13 12  8  1 16  9  5],SA,att,20,20,20,0.75,100,63.7656102180481,5000,-1,10,0.05,0.005
0,195,40.832041883125946,-0.16795811687405404,[11 13 17  8 13  8  2 13  5  3 10 12 18 13 12  8  1 16  9  5],SA,att,20,20,20,0.75,100,63.91300415992737,5000,-1,10,0.05,0.005
0,210,41.829308132841355,0.8293081328413621,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,100,64.10083723068236,5000,-1,10,0.05,0.005
0,225,41.83642256044491,0.8364225604449089,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,100,68.0494737625122,5000,-1,10,0.05,0.005
