ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,22.100226631417414,-18.899773368582586,[18  3  0 16  1 18 13  7 10 13  1  0 18 10  5  5  8  0  7 11],SA,att,20,20,20,0.75,10000,61.794769048690796,5000,-1,10,0.005,0.1
0,30,23.050767427883372,-17.949232572116625,[ 9 13 10 19  1  0 13  7  0 13 19  0 11  5 11 16 11  1 13 16],SA,att,20,20,20,0.75,10000,61.60471725463867,5000,-1,10,0.005,0.1
0,45,28.27840180612915,-12.72159819387085,[ 7 13 10  8 14  0 13  7  5 13 12  0  1  1 12 17 19  4 18 11],SA,att,20,20,20,0.75,10000,61.4685742855072,5000,-1,10,0.005,0.1
0,60,28.27840180612915,-12.72159819387085,[ 7 13 10  8 14  0 13  7  5 13 12  0  1  1 12 17 19  4 18 11],SA,att,20,20,20,0.75,10000,61.46574592590332,5000,-1,10,0.005,0.1
0,75,31.448118090357944,-9.551881909642061,[ 7 13  4 19  7  9  2  7  5  3 15 19  8  5 14 14 15 16  7  5],SA,att,20,20,20,0.75,10000,61.43145394325256,5000,-1,10,0.005,0.1
0,90,35.294771201872095,-5.705228798127912,[ 7 13  5  0  7  6  2  7  5  3 15  8  8  5 12 17  9  9 12  5],SA,att,20,20,20,0.75,10000,61.43318486213684,5000,-1,10,0.005,0.1
0,105,36.089245254394775,-4.910754745605232,[ 7 13  4  8  8  9  2  7  5  3 15  8  8  5 12  6 19  9 17  5],SA,att,20,20,20,0.75,10000,61.44086170196533,5000,-1,10,0.005,0.1
0,120,37.15223765780856,-3.847762342191445,[ 7 13 10  8 14  9  2  7  5  3 15  8  8  5 12  0  7  9 15  5],SA,att,20,20,20,0.75,10000,61.45134949684143,5000,-1,10,0.005,0.1
0,135,37.15223765780856,-3.847762342191445,[ 7 13 13 10 13  4 10  7  5  3 15 18  3 13 13  5  1  3 10  6],SA,att,20,20,20,0.75,10000,61.51776766777039,5000,-1,10,0.005,0.1
0,150,40.78292631341114,-0.2170736865888614,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 19 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.38281226158142,5000,-1,10,0.005,0.1
0,165,40.79950247004425,-0.20049752995575432,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 19 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.287699699401855,5000,-1,10,0.005,0.1
0,180,40.802344553007,-0.19765544699299653,[ 7 13  2  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.335415363311775,5000,-1,10,0.005,0.1
0,195,40.802344553007,-0.19765544699299653,[ 7 13  2  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.32497692108154,5000,-1,10,0.005,0.1
0,210,41.812997891382224,0.8129978913822313,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.388890743255615,5000,-1,10,0.005,0.1
0,225,41.812997891382224,0.8129978913822313,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.660229921340935,5000,-1,10,0.005,0.1
0,240,41.82614648770464,0.8261464877046407,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.71043133735657,5000,-1,10,0.005,0.1
0,255,41.82614648770464,0.8261464877046407,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.57976174354553,5000,-1,10,0.005,0.1
0,270,41.82614648770464,0.8261464877046407,[ 2 13  7  4 13  9 11 10  0  3 15  5  9  6 13 17  9  8  9  5],SA,att,20,20,20,0.75,10000,67.32018375396729,5000,-1,10,0.005,0.1
0,285,41.82614648770464,0.8261464877046407,[ 2 13  7  4 13  9 11 10  0  3 15  5  9  6 13 17  9  8  9  5],SA,att,20,20,20,0.75,10000,61.30588126182556,5000,-1,10,0.005,0.1
0,300,41.82614648770464,0.8261464877046407,[ 9 10 17  8 13  9  2 12 12  9 15  8  8 13 19  5  9  2 12 11],SA,att,20,20,20,0.75,10000,61.34305286407471,5000,-1,10,0.005,0.1
0,315,41.82614648770464,0.8261464877046407,[ 9 10 17  8 13  9  2 12 12  9 15  8  8 13 19  5  9  2 12 11],SA,att,20,20,20,0.75,10000,61.6627140045166,5000,-1,10,0.005,0.1
0,330,41.82614648770464,0.8261464877046407,[ 9 10 17  8 13  9  2 12 12  9 15  8  8 13 19  5  9  2 12 11],SA,att,20,20,20,0.75,10000,68.91073703765869,5000,-1,10,0.005,0.1
0,345,41.82614648770464,0.8261464877046407,[ 9 10 17  8 13  9  2 12 12  9 15  8  8 13 19  5  9  2 12 11],SA,att,20,20,20,0.75,10000,61.01803660392761,5000,-1,10,0.005,0.1
0,360,41.82614648770464,0.8261464877046407,[ 9 10 17  8 13  9  2 12 12  9 15  8  8 13 19  5  9  2 12 11],SA,att,20,20,20,0.75,10000,61.190802574157715,5000,-1,10,0.005,0.1
0,375,41.82614648770464,0.8261464877046407,[ 6  5 17 18 13  7  2  3  8  3 15 14 12 13 12  9  9  5  9 15],SA,att,20,20,20,0.75,10000,61.11811280250549,5000,-1,10,0.005,0.1
0,390,41.82614648770464,0.8261464877046407,[ 6  5 17 18 13  7  2  3  8  3 15 14 12 13 12  9  9  5  9 15],SA,att,20,20,20,0.75,10000,61.69291305541992,5000,-1,10,0.005,0.1
0,405,41.82614648770464,0.8261464877046407,[ 6  5 17 18 13  7  2  3  8  3 15 14 12 13 12  9  9  5  9 15],SA,att,20,20,20,0.75,10000,61.582435607910156,5000,-1,10,0.005,0.1
0,420,41.82614648770464,0.8261464877046407,[ 7 13 11  3  1  9 18  7 12  3 15 18 10 13 12 18  9 14 17  5],SA,att,20,20,20,0.75,10000,61.58606600761414,5000,-1,10,0.005,0.1
0,435,41.82614648770464,0.8261464877046407,[ 7 13 11  3  1  9 18  7 12  3 15 18 10 13 12 18  9 14 17  5],SA,att,20,20,20,0.75,10000,61.668408632278435,5000,-1,10,0.005,0.1
0,450,41.837311469100705,0.8373114691006975,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.59247422218323,5000,-1,10,0.005,0.1
0,465,41.837311469100705,0.8373114691006975,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.55236554145813,5000,-1,10,0.005,0.1
0,480,41.837311469100705,0.8373114691006975,[ 8 13 17  8  8 18 17  2 12  3 15  9  8 13 12  7  9  9  1 17],SA,att,20,20,20,0.75,10000,61.65446138381958,5000,-1,10,0.005,0.1
0,495,41.837311469100705,0.8373114691006975,[ 8 13 17  8  8 18 17  2 12  3 15  9  8 13 12  7  9  9  1 17],SA,att,20,20,20,0.75,10000,61.54174494743347,5000,-1,10,0.005,0.1
0,510,41.83802478672588,0.8380247867258745,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.63926362991333,5000,-1,10,0.005,0.1
0,525,41.83802478672588,0.8380247867258745,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.59810590744018,5000,-1,10,0.005,0.1
0,540,41.83802478672588,0.8380247867258745,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.58957147598266,5000,-1,10,0.005,0.1
0,555,41.83802478672588,0.8380247867258745,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.68408679962158,5000,-1,10,0.005,0.1
0,570,41.83802478672588,0.8380247867258745,[ 7 13 17  8 13  9  2  7  5  3 15  8  8 13 12  0  9  9  9  5],SA,att,20,20,20,0.75,10000,61.76563668251038,5000,-1,10,0.005,0.1
