ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,25.097167055957065,-15.902832944042935,[ 6 18 15 12 15 17 16  3 11  2  3  8  0  5 19 10 19  9  4  5],SA,att,20,20,20,0.75,10000,50.86646318435669,5000,-1,50,0.05,0.1
0,30,25.097167055957065,-15.902832944042935,[ 6 18 15 12 15 17 16  3 11  2  3  8  0  5 19 10 19  9  4  5],SA,att,20,20,20,0.75,10000,51.034890413284295,5000,-1,50,0.05,0.1
0,45,25.15502058793799,-15.844979412062012,[ 8  2  3  0 12  5  4  6  2 18 15  8 19 18  4  4 19 16 10  5],SA,att,20,20,20,0.75,10000,51.06133079528809,5000,-1,50,0.05,0.1
0,60,25.15502058793799,-15.844979412062012,[ 8  2  3  0 12  5  4  6  2 18 15  8 19 18  4  4 19 16 10  5],SA,att,20,20,20,0.75,10000,51.02322959899902,5000,-1,50,0.05,0.1
0,75,25.15502058793799,-15.844979412062012,[ 8  2  3  0 12  5  4  6  2 18 15  8 19 18  4  4 19 16 10  5],SA,att,20,20,20,0.75,10000,50.91623950004578,5000,-1,50,0.05,0.1
0,90,25.15502058793799,-15.844979412062012,[ 8  2  3  0 12  5  4  6  2 18 15  8 19 18  4  4 19 16 10  5],SA,att,20,20,20,0.75,10000,51.04760575294495,5000,-1,50,0.05,0.1
0,105,26.710624630188054,-14.289375369811944,[ 7  9 16  1  4 11  4  1 15  4 15  8 11 11 12  2 16  9  4 13],SA,att,20,20,20,0.75,10000,50.83778214454651,5000,-1,50,0.05,0.1
0,120,26.710624630188054,-14.289375369811944,[ 7  9 16  1  4 11  4  1 15  4 15  8 11 11 12  2 16  9  4 13],SA,att,20,20,20,0.75,10000,50.85647702217102,5000,-1,50,0.05,0.1
0,135,26.710624630188054,-14.289375369811944,[ 7  9 16  1  4 11  4  1 15  4 15  8 11 11 12  2 16  9  4 13],SA,att,20,20,20,0.75,10000,51.06272840499878,5000,-1,50,0.05,0.1
0,150,26.710624630188054,-14.289375369811944,[ 7  9 16  1  4 11  4  1 15  4 15  8 11 11 12  2 16  9  4 13],SA,att,20,20,20,0.75,10000,50.86898684501648,5000,-1,50,0.05,0.1
0,165,26.710624630188054,-14.289375369811944,[ 7  9 16  1  4 11  4  1 15  4 15  8 11 11 12  2 16  9  4 13],SA,att,20,20,20,0.75,10000,50.836032152175896,5000,-1,50,0.05,0.1
0,180,28.24408183649826,-12.75591816350174,[16 14  7  7 13  9  6  6  2  2 15  8  6  5  9  7  7 10  9 12],SA,att,20,20,20,0.75,10000,50.939197063446045,5000,-1,50,0.05,0.1
0,195,29.19249101583655,-11.807508984163453,[18 13  0  1 18  9 14 16  5  7  6  8  6 17  9  0  7  9  9 14],SA,att,20,20,20,0.75,10000,50.92190074920654,5000,-1,50,0.05,0.1
0,210,30.93065761401168,-10.06934238598832,[18 13  7  1 18  9 14 16  5  3  6  8  6 17 12  7  7  9  9 19],SA,att,20,20,20,0.75,10000,50.821070432662964,5000,-1,50,0.05,0.1
0,225,30.93065761401168,-10.06934238598832,[18 13  7  1 18  9 14 16  5  3  6  8  6 17 12  7  7  9  9 19],SA,att,20,20,20,0.75,10000,50.932345390319824,5000,-1,50,0.05,0.1
