ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,9.018976889179767,-11.981023110820232,[ 7 10  0  3 10 18  2  9 17 16  0 12 14 17 11 11 18  9 16 14],SA,dd,20,20,20,0.75,100,82.19383430480956,5000,-1,10,0.005,0.1
0,30,11.45244465113333,-9.54755534886667,[ 2  9 11  8 17 14 12 12  7  4  3  2  9 13  3 12 12  5  8 11],SA,dd,20,20,20,0.75,100,82.30858373641969,5000,-1,10,0.005,0.1
0,45,11.45244465113333,-9.54755534886667,[ 2  9 11  8 17 14 12 12  7  4  3  2  9 13  3 12 12  5  8 11],SA,dd,20,20,20,0.75,100,87.52820324897766,5000,-1,10,0.005,0.1
0,60,11.45244465113333,-9.54755534886667,[ 2  9 11  8 17 14 12 12  7  4  3  2  9 13  3 12 12  5  8 11],SA,dd,20,20,20,0.75,100,82.34982228279114,5000,-1,10,0.005,0.1
0,75,11.45244465113333,-9.54755534886667,[ 2  9 11  8 17 14 12 12  7  4  3  2  9 13  3 12 12  5  8 11],SA,dd,20,20,20,0.75,100,82.3896508216858,5000,-1,10,0.005,0.1
0,90,11.45244465113333,-9.54755534886667,[ 2  9 11  8 17 14 12 12  7  4  3  2  9 13  3 12 12  5  8 11],SA,dd,20,20,20,0.75,100,82.27624487876892,5000,-1,10,0.005,0.1
0,105,11.45244465113333,-9.54755534886667,[ 2  9 11  8 17 14 12 12  7  4  3  2  9 13  3 12 12  5  8 11],SA,dd,20,20,20,0.75,100,82.08276963233949,5000,-1,10,0.005,0.1
0,120,11.45244465113333,-9.54755534886667,[ 2  9 11  8 17 14 12 12  7  4  3  2  9 13  3 12 12  5  8 11],SA,dd,20,20,20,0.75,100,82.0060076713562,5000,-1,10,0.005,0.1
0,135,11.45244465113333,-9.54755534886667,[ 2  9 11  8 17 14 12 12  7  4  3  2  9 13  3 12 12  5  8 11],SA,dd,20,20,20,0.75,100,81.86997604370117,5000,-1,10,0.005,0.1
0,150,11.45244465113333,-9.54755534886667,[16  3 12 19 17 18  9  0  9 17  5 14  8 14 17  4  3 18 18 12],SA,dd,20,20,20,0.75,100,81.60493254661559,5000,-1,10,0.005,0.1
0,165,11.45244465113333,-9.54755534886667,[16  3 12 19 17 18  9  0  9 17  5 14  8 14 17  4  3 18 18 12],SA,dd,20,20,20,0.75,100,81.68009543418884,5000,-1,10,0.005,0.1
0,180,11.45244465113333,-9.54755534886667,[16  3 12 19 17 18  9  0  9 17  5 14  8 14 17  4  3 18 18 12],SA,dd,20,20,20,0.75,100,81.71515274047852,5000,-1,10,0.005,0.1
0,195,11.45244465113333,-9.54755534886667,[16  3 12 19 17 18  9  0  9 17  5 14  8 14 17  4  3 18 18 12],SA,dd,20,20,20,0.75,100,81.57451009750365,5000,-1,10,0.005,0.1
0,210,11.45244465113333,-9.54755534886667,[16  3 12 19 17 18  9  0  9 17  5 14  8 14 17  4  3 18 18 12],SA,dd,20,20,20,0.75,100,81.51337480545044,5000,-1,10,0.005,0.1
