ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,4.078606304374297,-16.921393695625706,[19 10 13  8 19  4  6  6  1 16  9  4 17 12 12  0 10  2  8 16],SA,dd,20,20,20,0.95,10000,69.475994348526,5000,-1,50,0.05,0.1
0,30,8.160635404647554,-12.839364595352446,[19  4  7  7  3  9  0  6  1  3 11  5 10 15  1 10 14  9  8  6],SA,dd,20,20,20,0.95,10000,69.60731315612793,5000,-1,50,0.05,0.1
0,45,8.160635404647554,-12.839364595352446,[ 7 19 17 15 13  9 11 14  3  8  4  7 14  4 17 17  2 19  3  8],SA,dd,20,20,20,0.95,10000,69.64574193954468,5000,-1,50,0.05,0.1
0,60,8.160635404647554,-12.839364595352446,[ 7 19 17 15 13  9 11 14  3  8  4  7 14  4 17 17  2 19  3  8],SA,dd,20,20,20,0.95,10000,69.42242479324341,5000,-1,50,0.05,0.1
0,75,8.160635404647554,-12.839364595352446,[ 7 19 17 15 13  9 11 14  3  8  4  7 14  4 17 17  2 19  3  8],SA,dd,20,20,20,0.95,10000,71.0056381225586,5000,-1,50,0.05,0.1
0,90,8.160635404647554,-12.839364595352446,[ 7 19 17 15 13  9 11 14  3  8  4  7 14  4 17 17  2 19  3  8],SA,dd,20,20,20,0.95,10000,69.48742651939392,5000,-1,50,0.05,0.1
0,105,8.160635404647554,-12.839364595352446,[ 9 13 17  7  7  3  7  4 13  7  8 19 10 12 14 17  4  9  8 14],SA,dd,20,20,20,0.95,10000,69.56627368927002,5000,-1,50,0.05,0.1
0,120,8.160635404647554,-12.839364595352446,[ 9 13 17  7  7  3  7  4 13  7  8 19 10 12 14 17  4  9  8 14],SA,dd,20,20,20,0.95,10000,70.12818479537964,5000,-1,50,0.05,0.1
0,135,8.160635404647554,-12.839364595352446,[ 9 13 17  7  7  3  7  4 13  7  8 19 10 12 14 17  4  9  8 14],SA,dd,20,20,20,0.95,10000,69.51489877700807,5000,-1,50,0.05,0.1
0,150,8.160635404647554,-12.839364595352446,[ 9 13 17  7  7  3  7  4 13  7  8 19 10 12 14 17  4  9  8 14],SA,dd,20,20,20,0.95,10000,69.62284684181213,5000,-1,50,0.05,0.1
0,165,8.160635404647554,-12.839364595352446,[ 9 13 17  7  7  3  7  4 13  7  8 19 10 12 14 17  4  9  8 14],SA,dd,20,20,20,0.95,10000,69.54337334632875,5000,-1,50,0.05,0.1
0,180,10.499988142022726,-10.500011857977274,[ 3  5  1  6 19  7 13  7  3 14 17  8  3 10  3 12  2 13  9  2],SA,dd,20,20,20,0.95,10000,69.39868378639221,5000,-1,50,0.05,0.1
0,195,10.499988142022726,-10.500011857977274,[ 3  5  1  6 19  7 13  7  3 14 17  8  3 10  3 12  2 13  9  2],SA,dd,20,20,20,0.95,10000,69.52571749687196,5000,-1,50,0.05,0.1
0,210,10.499988142022726,-10.500011857977274,[ 3  5  1  6 19  7 13  7  3 14 17  8  3 10  3 12  2 13  9  2],SA,dd,20,20,20,0.95,10000,69.52133345603943,5000,-1,50,0.05,0.1
