ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,54.67357018871329,-17.326429811286715,[ 8 16  6 19  2 12  0 17  4 16 10 13 17 10 19 18  8  2 15  2],SA,pd,20,20,20,0.75,10000,59.633516550064094,5000,-1,50,0.05,0.005
0,30,54.674137621679755,-17.325862378320238,[ 8 16  6 19  2 12  0 17  4 16 10 13 17 10 19 18  8  2 15  2],SA,pd,20,20,20,0.75,10000,59.707975149154656,5000,-1,50,0.05,0.005
0,45,54.68161499118697,-17.318385008813028,[ 8 16  6 19  2 12  0 17  4 16 10 13 17 10 19 18  8  2 15  2],SA,pd,20,20,20,0.75,10000,59.63477635383606,5000,-1,50,0.05,0.005
0,60,54.68161499118697,-17.318385008813028,[ 8 16  6 19  2 12  0 17  4 16 10 13 17 10 19 18  8  2 15  2],SA,pd,20,20,20,0.75,10000,59.56231927871704,5000,-1,50,0.05,0.005
0,75,54.683416532712315,-17.31658346728768,[ 8 16  6 19  2 12  0 17  4 16 10 13 17 10 19 18  8  2 15  2],SA,pd,20,20,20,0.75,10000,59.554239749908454,5000,-1,50,0.05,0.005
0,90,54.683416532712315,-17.31658346728768,[ 8 16  6 19  2 12  0 17  4 16 10 13 17 10 19 18  8  2 15  2],SA,pd,20,20,20,0.75,10000,59.47223258018494,5000,-1,50,0.05,0.005
0,105,54.683416532712315,-17.31658346728768,[ 8 16  6 19  2 12  0 17  4 16 10 13 17 10 19 18  8  2 15  2],SA,pd,20,20,20,0.75,10000,59.68043780326843,5000,-1,50,0.05,0.005
0,120,56.66109332010816,-15.338906679891842,[ 8  0  6 19  2  9  2  2  6 16 10 13 17 10 19 18  8 15 15 13],SA,pd,20,20,20,0.75,10000,59.5290904045105,5000,-1,50,0.05,0.005
0,135,56.66109332010816,-15.338906679891842,[ 8  0 16 12  2  9 14  3  6 15 10  5 17 13 14  0  7 15 15 13],SA,pd,20,20,20,0.75,10000,59.54502749443054,5000,-1,50,0.05,0.005
0,150,57.97964305483178,-14.020356945168226,[ 8 17  6 19 13 15  2 15 18 16 19  5 17  5  7  2 15  5  9  8],SA,pd,20,20,20,0.75,10000,59.547897577285774,5000,-1,50,0.05,0.005
0,165,57.97964305483178,-14.020356945168226,[ 8 17  6 19 13 15  2 15 18 16 19  5 17  5  7  2 15  5  9  8],SA,pd,20,20,20,0.75,10000,59.400444984436035,5000,-1,50,0.05,0.005
0,180,57.97964305483178,-14.020356945168226,[ 8 17  6 19 13 15  2 15 18 16 19  5 17  5  7  2 15  5  9  8],SA,pd,20,20,20,0.75,10000,80.86951160430908,5000,-1,50,0.05,0.005
0,195,57.97964305483178,-14.020356945168226,[ 6 13 16 14 17  9 19  7  1  4 15 10  2 13  3  0  5  9 11  7],SA,pd,20,20,20,0.75,10000,64.87176322937012,5000,-1,50,0.05,0.005
0,210,57.97964305483178,-14.020356945168226,[ 6 13 16 14 17  9 19  7  1  4 15 10  2 13  3  0  5  9 11  7],SA,pd,20,20,20,0.75,10000,55.59749865531922,5000,-1,50,0.05,0.005
0,225,57.97964305483178,-14.020356945168226,[ 6 13 16 14 17  9 19  7  1  4 15 10  2 13  3  0  5  9 11  7],SA,pd,20,20,20,0.75,10000,55.43580341339111,5000,-1,50,0.05,0.005
