ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,57.212178458898876,-14.787821541101124,[13  0 19 14 13 13  8 12  5 19  9 10 12 12 15 14 15 16 13 16],SA,pd,20,20,20,0.95,10000,60.62884664535522,5000,-1,10,0.05,0.005
0,30,57.834490842240896,-14.165509157759105,[ 8 15  8 14 13  9 19  7 17 11 11 10  0 16  9  1  2 16  6 17],SA,pd,20,20,20,0.95,10000,60.644253253936775,5000,-1,10,0.05,0.005
0,45,57.834490842240896,-14.165509157759105,[14  0  9  8  8  9 14  7  5  6 15  2  8  0  1 11  0 16  9  3],SA,pd,20,20,20,0.95,10000,60.61098670959473,5000,-1,10,0.05,0.005
0,60,61.44231411420362,-10.557685885796381,[13 15 17 17  2  9  2 12 10 15 15 17 14 15  0  0 12  9 15  9],SA,pd,20,20,20,0.95,10000,60.56444382667542,5000,-1,10,0.05,0.005
0,75,64.08905775010679,-7.910942249893224,[ 7  1  3  8 13 14 18  7  7  0 15  8  5 19 14  0  4  6 15 15],SA,pd,20,20,20,0.95,10000,60.676132440567024,5000,-1,10,0.05,0.005
0,90,64.08905775010679,-7.910942249893224,[ 7  1  3  8 13 14 18  7  7  0 15  8  5 19 14  0  4  6 15 15],SA,pd,20,20,20,0.95,10000,60.65047311782837,5000,-1,10,0.05,0.005
0,105,64.18781507822148,-7.812184921778524,[10 13  3  8 13 15 16  7 17  9 15 15  8 19 12  2  3  2  9  5],SA,pd,20,20,20,0.95,10000,60.42100477218628,5000,-1,10,0.05,0.005
0,120,64.18781507822148,-7.812184921778524,[ 7 18 17  5 13  9  2  0 12  0  8 15  8  4 12  0  2  9  0  2],SA,pd,20,20,20,0.95,10000,60.37253928184509,5000,-1,10,0.05,0.005
0,135,66.34126158754158,-5.658738412458419,[18 13  3  8 13 14  8  7 13  3 15 15  8  0 12  0  5 14  9  5],SA,pd,20,20,20,0.95,10000,60.5234260559082,5000,-1,10,0.05,0.005
0,150,66.34126158754158,-5.658738412458419,[18 13  3  8 13 14  8  7 13  3 15 15  8  0 12  0  5 14  9  5],SA,pd,20,20,20,0.95,10000,92.32207131385805,5000,-1,10,0.05,0.005
0,165,66.34126158754158,-5.658738412458419,[18 13  3  8 13 14  8  7 13  3 15 15  8  0 12  0  5 14  9  5],SA,pd,20,20,20,0.95,10000,65.55549359321593,5000,-1,10,0.05,0.005
0,180,66.34126158754158,-5.658738412458419,[18 13  3  8 13 14  8  7 13  3 15 15  8  0 12  0  5 14  9  5],SA,pd,20,20,20,0.95,10000,85.8685817718506,5000,-1,10,0.05,0.005
0,195,66.34126158754158,-5.658738412458419,[18 13  3  8 13 14  8  7 13  3 15 15  8  0 12  0  5 14  9  5],SA,pd,20,20,20,0.95,10000,60.048219203948975,5000,-1,10,0.05,0.005
0,210,66.34126158754158,-5.658738412458419,[18 13  3  8 13 14  8  7 13  3 15 15  8  0 12  0  5 14  9  5],SA,pd,20,20,20,0.95,10000,58.883845090866096,5000,-1,10,0.05,0.005
0,225,66.34126158754158,-5.658738412458419,[18 13  3  8 13 14  8  7 13  3 15 15  8  0 12  0  5 14  9  5],SA,pd,20,20,20,0.95,10000,55.43257522583008,5000,-1,10,0.05,0.005
0,240,66.34126158754158,-5.658738412458419,[18 13  3  8 13 14  8  7 13  3 15 15  8  0 12  0  5 14  9  5],SA,pd,20,20,20,0.95,10000,55.381748914718635,5000,-1,10,0.05,0.005
0,255,66.36333681489873,-5.63666318510127,[ 7  7 12  8 13  9 14  7 10  3 18  8  8 15 12  0  4  9 14  3],SA,pd,20,20,20,0.95,10000,55.40811634063721,5000,-1,10,0.05,0.005
0,270,68.04017736568242,-3.9598226343175753,[ 8 13 17  8  8  9 14  7 10  3 10  8  8 13 12  0  4 11  0  5],SA,pd,20,20,20,0.95,10000,55.535340785980225,5000,-1,10,0.05,0.005
0,285,68.04017736568242,-3.9598226343175753,[ 8 13 17  8  8  9 14  7 10  3 10  8  8 13 12  0  4 11  0  5],SA,pd,20,20,20,0.95,10000,55.50928926467896,5000,-1,10,0.05,0.005
0,300,70.76562839486058,-1.2343716051394154,[14 12  3  8 13  9  2  7  5  3 15 11  8 13 12  0  4  9  9  5],SA,pd,20,20,20,0.95,10000,55.50556421279907,5000,-1,10,0.05,0.005
0,315,70.76562839486058,-1.2343716051394154,[14 12  3  8 13  9  2  7  5  3 15 11  8 13 12  0  4  9  9  5],SA,pd,20,20,20,0.95,10000,55.46269083023071,5000,-1,10,0.05,0.005
0,330,70.76562839486058,-1.2343716051394154,[14 12  3  8 13  9  2  7  5  3 15 11  8 13 12  0  4  9  9  5],SA,pd,20,20,20,0.95,10000,55.86573147773743,5000,-1,10,0.05,0.005
0,345,70.76562839486058,-1.2343716051394154,[14 12  3  8 13  9  2  7  5  3 15 11  8 13 12  0  4  9  9  5],SA,pd,20,20,20,0.95,10000,59.80654382705689,5000,-1,10,0.05,0.005
0,360,70.76562839486058,-1.2343716051394154,[14 12  3  8 13  9  2  7  5  3 15 11  8 13 12  0  4  9  9  5],SA,pd,20,20,20,0.95,10000,59.905282497406006,5000,-1,10,0.05,0.005
0,375,70.76562839486058,-1.2343716051394154,[14 12  3  8 13  9  2  7  5  3 15 11  8 13 12  0  4  9  9  5],SA,pd,20,20,20,0.95,10000,59.74763607978821,5000,-1,10,0.05,0.005
0,390,70.76562839486058,-1.2343716051394154,[14 12  3  8 13  9  2  7  5  3 15 11  8 13 12  0  4  9  9  5],SA,pd,20,20,20,0.95,10000,59.736934185028076,5000,-1,10,0.05,0.005
0,405,70.76562839486058,-1.2343716051394154,[14 12  3  8 13  9  2  7  5  3 15 11  8 13 12  0  4  9  9  5],SA,pd,20,20,20,0.95,10000,59.75133395195007,5000,-1,10,0.05,0.005
0,420,70.76562839486058,-1.2343716051394154,[14 12  3  8 13  9  2  7  5  3 15 11  8 13 12  0  4  9  9  5],SA,pd,20,20,20,0.95,10000,59.65778827667236,5000,-1,10,0.05,0.005
