ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,56.677595593727894,-15.3224044062721,[ 9  1  8  2 17 10  0  6  5  3 11 19 18  1  5 13 19  0  1 11],SA,pd,20,20,20,0.95,10000,61.109871625900276,5000,-1,50,0.05,0.005
0,30,58.155141526699,-13.844858473301002,[10  1  7  9 13 19  0 16  5  3  9  8  7  6  2 19 18  6  1 13],SA,pd,20,20,20,0.95,10000,61.15655159950256,5000,-1,50,0.05,0.005
0,45,60.59362352326403,-11.406376476735986,[ 5 18 17  1 13  9 10  7 14  3  7  8  3  7 15 19 18 11 18  2],SA,pd,20,20,20,0.95,10000,69.13525176048279,5000,-1,50,0.05,0.005
0,60,60.59362352326403,-11.406376476735986,[10 18 17 11 13  9 13  7 14 15  0  8  7  7 15 11  4 11  9  2],SA,pd,20,20,20,0.95,10000,60.7163565158844,5000,-1,50,0.05,0.005
0,75,60.59362352326403,-11.406376476735986,[10 18 17 11 13  9 13  7 14 15  0  8  7  7 15 11  4 11  9  2],SA,pd,20,20,20,0.95,10000,60.92604494094849,5000,-1,50,0.05,0.005
0,90,60.59362352326403,-11.406376476735986,[10 18 17 11 13  9 13  7 14 15  0  8  7  7 15 11  4 11  9  2],SA,pd,20,20,20,0.95,10000,60.88175082206726,5000,-1,50,0.05,0.005
0,105,60.59362352326403,-11.406376476735986,[ 7 11 17  8  4  9 13  3  5  4 15 16  8  2  6  5  4  2  6  8],SA,pd,20,20,20,0.95,10000,60.90420007705689,5000,-1,50,0.05,0.005
0,120,60.59362352326403,-11.406376476735986,[ 7 11 17  8  4  9 13  3  5  4 15 16  8  2  6  5  4  2  6  8],SA,pd,20,20,20,0.95,10000,61.06483554840088,5000,-1,50,0.05,0.005
0,135,62.08236938749348,-9.91763061250652,[ 7 13 17  8 19  9 14 18  5  9  8 14  0 19 14  8  0  2  6  5],SA,pd,20,20,20,0.95,10000,60.834195852279656,5000,-1,50,0.05,0.005
0,150,62.08236938749348,-9.91763061250652,[ 7 13 17  8 19  9 14 18  5  9  8 14  0 19 14  8  0  2  6  5],SA,pd,20,20,20,0.95,10000,60.64314579963684,5000,-1,50,0.05,0.005
0,165,62.08236938749348,-9.91763061250652,[ 7 13 17  8 19  9 14 18  5  9  8 14  0 19 14  8  0  2  6  5],SA,pd,20,20,20,0.95,10000,60.25763726234436,5000,-1,50,0.05,0.005
0,180,62.08236938749348,-9.91763061250652,[ 7 13 17  8 19  9 14 18  5  9  8 14  0 19 14  8  0  2  6  5],SA,pd,20,20,20,0.95,10000,59.9576301574707,5000,-1,50,0.05,0.005
0,195,62.08236938749348,-9.91763061250652,[ 7 13 17  8 19  9 14 18  5  9  8 14  0 19 14  8  0  2  6  5],SA,pd,20,20,20,0.95,10000,60.10732173919678,5000,-1,50,0.05,0.005
0,210,62.08236938749348,-9.91763061250652,[ 7 13 17  8 19  9 14 18  5  9  8 14  0 19 14  8  0  2  6  5],SA,pd,20,20,20,0.95,10000,60.19645857810974,5000,-1,50,0.05,0.005
0,225,62.08236938749348,-9.91763061250652,[ 7 13 17  8 19  9 14 18  5  9  8 14  0 19 14  8  0  2  6  5],SA,pd,20,20,20,0.95,10000,60.08502960205078,5000,-1,50,0.05,0.005
0,240,62.08236938749348,-9.91763061250652,[ 7 13 17  8 19  9 14 18  5  9  8 14  0 19 14  8  0  2  6  5],SA,pd,20,20,20,0.95,10000,60.052998542785645,5000,-1,50,0.05,0.005
0,255,62.08236938749348,-9.91763061250652,[ 7 13 17  8 19  9 14 18  5  9  8 14  0 19 14  8  0  2  6  5],SA,pd,20,20,20,0.95,10000,60.113701820373535,5000,-1,50,0.05,0.005
0,270,62.08236938749348,-9.91763061250652,[ 7 13 17  8 19  9 14 18  5  9  8 14  0 19 14  8  0  2  6  5],SA,pd,20,20,20,0.95,10000,59.925918340682976,5000,-1,50,0.05,0.005
0,285,62.08236938749348,-9.91763061250652,[ 7 13 17  8 19  9 14 18  5  9  8 14  0 19 14  8  0  2  6  5],SA,pd,20,20,20,0.95,10000,60.11070227622986,5000,-1,50,0.05,0.005
0,300,62.08236938749348,-9.91763061250652,[ 7 15 15  8  0  7 15  8 15 15 15 19 17 13 12  2  6  9  9  4],SA,pd,20,20,20,0.95,10000,59.96944999694824,5000,-1,50,0.05,0.005
0,315,62.47491793062806,-9.52508206937194,[ 7 15 15  8  8  9 14  2  5 14 15  4 13 14 16 18  8  9  9  7],SA,pd,20,20,20,0.95,10000,59.84065437316895,5000,-1,50,0.05,0.005
0,330,62.557840922476046,-9.44215907752396,[13  0 17  8  2  9 18  2  5 12 15  4 12 14 12  0  8 18  9  7],SA,pd,20,20,20,0.95,10000,60.19235038757324,5000,-1,50,0.05,0.005
0,345,67.15980276478226,-4.840197235217744,[13  0 17  8 13  9 15  8  5  3 15  1  5 13 12  0  0  9  9 14],SA,pd,20,20,20,0.95,10000,59.890382289886475,5000,-1,50,0.05,0.005
0,360,67.15980276478226,-4.840197235217744,[13  0 17  8 13  9 15  8  5  3 15  1  5 13 12  0  0  9  9 14],SA,pd,20,20,20,0.95,10000,59.99996280670166,5000,-1,50,0.05,0.005
0,375,69.67092571961074,-2.329074280389264,[ 7 13 17 17 13  9 13  5  5  3 15  8 14 13 12 17  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.19664072990418,5000,-1,50,0.05,0.005
0,390,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.14525437355042,5000,-1,50,0.05,0.005
0,405,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.32315802574158,5000,-1,50,0.05,0.005
0,420,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.403042793273926,5000,-1,50,0.05,0.005
0,435,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.205466508865356,5000,-1,50,0.05,0.005
0,450,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.19930839538574,5000,-1,50,0.05,0.005
0,465,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,73.74196529388428,5000,-1,50,0.05,0.005
0,480,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.39215087890625,5000,-1,50,0.05,0.005
0,495,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.39322829246521,5000,-1,50,0.05,0.005
0,510,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.516014099121094,5000,-1,50,0.05,0.005
0,525,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.06552910804749,5000,-1,50,0.05,0.005
0,540,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.23031711578369,5000,-1,50,0.05,0.005
0,555,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.16295623779297,5000,-1,50,0.05,0.005
0,570,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.258423566818244,5000,-1,50,0.05,0.005
0,585,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.10963249206543,5000,-1,50,0.05,0.005
0,600,69.67092571961074,-2.329074280389264,[ 7 14 17 17  0  9  2  4  5  3 15  8  3 13  4  5  4  9  9  5],SA,pd,20,20,20,0.95,10000,60.379196405410774,5000,-1,50,0.05,0.005
