ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,55.209987376745566,-16.790012623254434,[ 5  1 11 19  3  9 19 13 17  0 11  9 14 15 11  4  3 16  6  4],SA,pd,20,20,20,0.75,10000,55.800925731658936,5000,-1,50,0.05,0.1
0,30,55.233522896105605,-16.766477103894402,[12 17  9  5 19  5 10  0  4  9 11  7 15 13  6  1 11 16  3 18],SA,pd,20,20,20,0.75,10000,56.054694414138794,5000,-1,50,0.05,0.1
0,45,56.3891736761113,-15.610826323888695,[14 10  1 17  5 13 16 17  2  7  9 13 19 13  4 14  7 11  6  5],SA,pd,20,20,20,0.75,10000,56.12515902519226,5000,-1,50,0.05,0.1
0,60,56.3891736761113,-15.610826323888695,[ 4 10  1 15  6  5 16 17  6  3  6 13 15 13 12 14  7 16  3  5],SA,pd,20,20,20,0.75,10000,56.01419758796692,5000,-1,50,0.05,0.1
0,75,56.3891736761113,-15.610826323888695,[12 16 17  9 17  0 10 15  5  3  9  7 11 13  8 14 16  6 16 14],SA,pd,20,20,20,0.75,10000,55.98400902748108,5000,-1,50,0.05,0.1
0,90,56.70700582968556,-15.292994170314445,[17 18  8  3 17 11  4 16 11 10 13 13  1 13  1 17  8 10  8  5],SA,pd,20,20,20,0.75,10000,78.6307098865509,5000,-1,50,0.05,0.1
0,105,56.70700582968556,-15.292994170314445,[ 4  1  8  3  0 15  9  7  5  3 15 17 19 18 16 14  4 11 13 16],SA,pd,20,20,20,0.75,10000,72.18939375877379,5000,-1,50,0.05,0.1
0,120,56.70700582968556,-15.292994170314445,[14  8  3  9  5 17 16 15  5  3  6  3 18 13  2 12  4 16  9  5],SA,pd,20,20,20,0.75,10000,68.65091800689697,5000,-1,50,0.05,0.1
0,135,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,62.001544713974,5000,-1,50,0.05,0.1
0,150,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,55.82646226882935,5000,-1,50,0.05,0.1
0,165,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,56.77266716957092,5000,-1,50,0.05,0.1
0,180,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,55.9244155883789,5000,-1,50,0.05,0.1
0,195,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,58.446791887283325,5000,-1,50,0.05,0.1
0,210,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,55.886243104934685,5000,-1,50,0.05,0.1
0,225,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,63.430441617965705,5000,-1,50,0.05,0.1
0,240,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,61.93991160392761,5000,-1,50,0.05,0.1
0,255,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,55.94277548789978,5000,-1,50,0.05,0.1
0,270,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,55.8159773349762,5000,-1,50,0.05,0.1
0,285,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,55.78021693229675,5000,-1,50,0.05,0.1
0,300,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,55.78208780288696,5000,-1,50,0.05,0.1
0,315,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,58.05889368057251,5000,-1,50,0.05,0.1
0,330,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,55.95193576812744,5000,-1,50,0.05,0.1
0,345,57.94155145813819,-14.058448541861805,[10  8  1 13  0  0 14  2  3 14  1 13 18  9 17  2  4 11  9  5],SA,pd,20,20,20,0.75,10000,55.73663115501404,5000,-1,50,0.05,0.1
0,360,58.797561103093045,-13.202438896906948,[11  5  3 10 15 19 14  3 14 17 17  8  8  6  3  7  4 10  9  6],SA,pd,20,20,20,0.75,10000,55.76076912879944,5000,-1,50,0.05,0.1
0,375,58.96447085602242,-13.035529143977584,[ 7  5  0 14  8  8 17  3 17  3 15 19 12  6  3  5 10  3  9 12],SA,pd,20,20,20,0.75,10000,64.97529315948486,5000,-1,50,0.05,0.1
