ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,13.787512092801228,-22.212487907198767,[ 5  9 14  7 15 17  0 19 19  8 18  9  4 16 18  6  6 13  2  3],SA,rep,20,20,20,0.75,10000,62.220751523971565,5000,-1,50,0.05,0.005
0,30,13.787512092801228,-22.212487907198767,[ 5  9 14  7 15 17  0 19 19  8 18  9  4 16 18  6  6 13  2  3],SA,rep,20,20,20,0.75,10000,62.02462220191956,5000,-1,50,0.05,0.005
0,45,13.787512092801228,-22.212487907198767,[19 13 11 12 18  4  3  4 17  3 19  4 17  5  6 14 16 11 11  0],SA,rep,20,20,20,0.75,10000,62.06889629364014,5000,-1,50,0.05,0.005
0,60,15.322835484877086,-20.677164515122914,[ 5  9 14  7 11 17  0  7 19  8 18  9  4 16  6 14  6 13  2  3],SA,rep,20,20,20,0.75,10000,62.05552291870117,5000,-1,50,0.05,0.005
0,75,16.390508678180016,-19.609491321819984,[15 15 16 14 14 14  2  7  0  8 10 15  4  6  6 14  6  1  2  6],SA,rep,20,20,20,0.75,10000,62.15585279464722,5000,-1,50,0.05,0.005
0,90,16.390508678180016,-19.609491321819984,[15  6 16  8  2 12  2  7 17  2 10 15  3  6 15 14  6  2  2  6],SA,rep,20,20,20,0.75,10000,62.22328519821167,5000,-1,50,0.05,0.005
0,105,17.933634597602126,-18.066365402397874,[15 10  5 14  2  9  1 17 19  9 15 19 16 13  2 17 11 18 19 18],SA,rep,20,20,20,0.75,10000,62.0344865322113,5000,-1,50,0.05,0.005
0,120,18.801017759327163,-17.198982240672837,[ 7 10  9 14  2  9  1 17 12  9 15 18 11 13  3 15  0 14  3 19],SA,rep,20,20,20,0.75,10000,62.13820219039917,5000,-1,50,0.05,0.005
0,135,18.801017759327163,-17.198982240672837,[ 7 10  9  7 12  9  1 17  1  9 15 14  8 13  3  7  9  6  3 19],SA,rep,20,20,20,0.75,10000,62.18481492996216,5000,-1,50,0.05,0.005
0,150,18.801017759327163,-17.198982240672837,[ 7 10  9  7 12  9  1 17  1  9 15 14  8 13  3  7  9  6  3 19],SA,rep,20,20,20,0.75,10000,62.050415754318244,5000,-1,50,0.05,0.005
0,165,19.575591290394865,-16.424408709605135,[ 7 18  8 13  4  9  3  5 19 13 15  7  8 12  2  4 10  5  9 19],SA,rep,20,20,20,0.75,10000,62.04587888717651,5000,-1,50,0.05,0.005
0,180,20.756348185633797,-15.243651814366205,[ 7 13  8 13  4  9 19  6  5 13  1 13  8 17  2  4  9  1  9 14],SA,rep,20,20,20,0.75,10000,61.992926597595215,5000,-1,50,0.05,0.005
0,195,22.725285345508198,-13.274714654491804,[ 7 13  8 19  4  9  9  6  5  3 15  6  8 18  7  4  9  1  9 14],SA,rep,20,20,20,0.75,10000,62.046007871627815,5000,-1,50,0.05,0.005
0,210,22.791105685343148,-13.208894314656856,[ 7 13  8 19  4  9  9  6  5  3 15  6  8 18 17 18  2  1  9  5],SA,rep,20,20,20,0.75,10000,62.13590455055237,5000,-1,50,0.05,0.005
0,225,23.486373955448517,-12.51362604455148,[ 7 13  3 19  4  9 17 15  5  3 15  9  8 14 17 11 19  6  9  5],SA,rep,20,20,20,0.75,10000,61.89239168167114,5000,-1,50,0.05,0.005
0,240,23.486373955448517,-12.51362604455148,[ 7 13  4 10 10  9  7 18  5  3 15 13  8  5  5 11  7  8  9  5],SA,rep,20,20,20,0.75,10000,62.020828008651726,5000,-1,50,0.05,0.005
0,255,23.486373955448517,-12.51362604455148,[ 7 13  4 10 10  9  7 18  5  3 15 13  8  5  5 11  7  8  9  5],SA,rep,20,20,20,0.75,10000,62.0568253993988,5000,-1,50,0.05,0.005
0,270,23.720744937190915,-12.279255062809085,[ 7 13 11  5  4  9  7  6  5  3 15  6  8 17  9 15 10  4  9  5],SA,rep,20,20,20,0.75,10000,63.16993379592896,5000,-1,50,0.05,0.005
0,285,25.817327798200512,-10.182672201799491,[ 7 13  6  5  4  9  2  0  5  3 15 17  8 18  1 15  4  7  9  5],SA,rep,20,20,20,0.75,10000,57.6414737701416,5000,-1,50,0.05,0.005
0,300,26.793864907031878,-9.206135092968124,[ 7 13  6  5 13  9  2  0  5  3 15 17  8 18  1 15  4 11  9  5],SA,rep,20,20,20,0.75,10000,66.35344362258911,5000,-1,50,0.05,0.005
0,315,26.793864907031878,-9.206135092968124,[ 7 13  6  5 13  9  2  0  5  3 15 17  8 18  1 15  4 11  9  5],SA,rep,20,20,20,0.75,10000,80.27179741859436,5000,-1,50,0.05,0.005
0,330,27.797858684455548,-8.202141315544456,[ 7 13  6  5 13  9  2  0  5  3 15  0  8  3  1 15  4  9  9  5],SA,rep,20,20,20,0.75,10000,79.57390928268433,5000,-1,50,0.05,0.005
0,345,27.81937241049579,-8.180627589504214,[ 7 13 10 11 13  9  2  0  5  3 15 18  8 13  1 15 17  9  9  5],SA,rep,20,20,20,0.75,10000,62.862432956695564,5000,-1,50,0.05,0.005
0,360,30.643593115486034,-5.356406884513966,[ 7 13 17  8 13  9  2  0  5  3 15 18  8 13 12 15 17  9  9  5],SA,rep,20,20,20,0.75,10000,57.41408228874207,5000,-1,50,0.05,0.005
0,375,31.607325890001235,-4.392674109998765,[ 7 13 17  8 13  9  2  0  5  3 15 18  8 13 12 15  4  9  9  5],SA,rep,20,20,20,0.75,10000,57.46762228012085,5000,-1,50,0.05,0.005
0,390,31.61675891602082,-4.3832410839791764,[ 7 13 17  8 13  9  2  0  5  3 15 15  8 13 12 15  4  9  9  5],SA,rep,20,20,20,0.75,10000,57.412287473678596,5000,-1,50,0.05,0.005
0,405,31.61675891602082,-4.3832410839791764,[ 7 13 17  8 13  9  2  0  5  3 15 15  8 13 12 15  4  9  9  5],SA,rep,20,20,20,0.75,10000,57.49297785758972,5000,-1,50,0.05,0.005
0,420,32.62945124291191,-3.370548757088088,[ 7 13 17  8 13  9  2  0  5  3 15  8  8 13 12 15  4  9  9  5],SA,rep,20,20,20,0.75,10000,61.39387059211731,5000,-1,50,0.05,0.005
0,435,32.62945124291191,-3.370548757088088,[ 7 13 17  8 13  9  2  0  5  3 15  8  8 13 12 15  4  9  9  5],SA,rep,20,20,20,0.75,10000,61.49807143211365,5000,-1,50,0.05,0.005
0,450,32.62945124291191,-3.370548757088088,[ 7 13 17  8 13  9  2  0  5  3 15  8  8 13 12 15  4  9  9  5],SA,rep,20,20,20,0.75,10000,61.53312253952026,5000,-1,50,0.05,0.005
0,465,32.62945124291191,-3.370548757088088,[ 7 13 17  8 13  9  2  0  5  3 15  8  8 13 12 15  4  9  9  5],SA,rep,20,20,20,0.75,10000,61.603254079818726,5000,-1,50,0.05,0.005
