ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,18.457151667210702,-17.542848332789298,[ 2 15  8  3  1  9 10  7 10 15  0  8 14  8 12  6 13  1  1 14],SA,rep,20,20,20,0.95,100,62.38069820404053,5000,-1,50,0.005,0.1
0,30,19.665398666549095,-16.334601333450905,[19 15  8  0 14  9 19  7  9  0  8 15  7 15 12 17 13  1 14  5],SA,rep,20,20,20,0.95,100,62.47737169265747,5000,-1,50,0.005,0.1
0,45,19.665398666549095,-16.334601333450905,[ 7 15  8  0 14  9 19  7  9  0  8 15  7 15 12 17 13  1 14  5],SA,rep,20,20,20,0.95,100,62.40178656578064,5000,-1,50,0.005,0.1
0,60,19.665398666549095,-16.334601333450905,[ 7 15  8  0 14  9 19  7  9  0  8 15  7 15 12 17 13  1 14  5],SA,rep,20,20,20,0.95,100,62.39294815063477,5000,-1,50,0.005,0.1
0,75,19.665398666549095,-16.334601333450905,[ 7 15  8  0 14  9 19  7  9  0  8 15  7 15 12 17 13  1 14  5],SA,rep,20,20,20,0.95,100,62.41041040420532,5000,-1,50,0.005,0.1
0,90,19.665398666549095,-16.334601333450905,[ 7 15  8  0 14  9 19  7  9  0  8 15  7 15 12 17 13  1 14  5],SA,rep,20,20,20,0.95,100,62.421033143997185,5000,-1,50,0.005,0.1
0,105,20.34165859575921,-15.658341404240794,[12 13 17  9 13  9 12 18  5 19 10  5  1  7 15  2 18  7 16  1],SA,rep,20,20,20,0.95,100,62.43748283386231,5000,-1,50,0.005,0.1
0,120,20.34165859575921,-15.658341404240794,[12 13 17  9 13  9 12 18  5 19 10  5  1  7 15  2 18  7 16  1],SA,rep,20,20,20,0.95,100,62.435343980789185,5000,-1,50,0.005,0.1
0,135,20.34165859575921,-15.658341404240794,[12 13 17  9 13  9 12 18  5 19 10  5  1  7 15  2 18  7 16  1],SA,rep,20,20,20,0.95,100,62.44553780555725,5000,-1,50,0.005,0.1
0,150,20.34165859575921,-15.658341404240794,[12 13 17  9 13  9 12 18  5 19 10  5  1  7 15  2 18  7 16  1],SA,rep,20,20,20,0.95,100,62.49945592880249,5000,-1,50,0.005,0.1
0,165,20.420948171698512,-15.579051828301491,[13 13  5  8 13 18  8 18  5 19 10  1 11 10 10  2  4 12 16  8],SA,rep,20,20,20,0.95,100,62.577101707458496,5000,-1,50,0.005,0.1
0,180,20.420948171698512,-15.579051828301491,[13 13  5  8 13 18  8 18  5 19 10  1 11 10 10  2  4 12 16  8],SA,rep,20,20,20,0.95,100,62.383485078811646,5000,-1,50,0.005,0.1
0,195,20.65793495417101,-15.342065045828988,[ 1  1  0  1 13  9 10 18 18 11 10  1 11 13 14 15  4 12  9 19],SA,rep,20,20,20,0.95,100,62.24099588394165,5000,-1,50,0.005,0.1
0,210,20.65793495417101,-15.342065045828988,[ 1  1  0  1 13  9 10 18 18 11 10  1 11 13 14 15  4 12  9 19],SA,rep,20,20,20,0.95,100,62.09705662727356,5000,-1,50,0.005,0.1
0,225,20.65793495417101,-15.342065045828988,[ 1  1  0  1 13  9 10 18 18 11 10  1 11 13 14 15  4 12  9 19],SA,rep,20,20,20,0.95,100,62.06964159011841,5000,-1,50,0.005,0.1
0,240,20.65793495417101,-15.342065045828988,[ 1  1  0  1 13  9 10 18 18 11 10  1 11 13 14 15  4 12  9 19],SA,rep,20,20,20,0.95,100,62.17011451721192,5000,-1,50,0.005,0.1
0,255,22.66953549272521,-13.330464507274794,[ 7  1  0  8 13  9  7 18  5  2 10  1 11 13 14 10  4 12 12 10],SA,rep,20,20,20,0.95,100,62.061893939971924,5000,-1,50,0.005,0.1
0,270,22.66953549272521,-13.330464507274794,[ 7  1  0  8 13  9  7 18  5  2 10  1 11 13 14 10  4 12 12 10],SA,rep,20,20,20,0.95,100,62.16195297241211,5000,-1,50,0.005,0.1
0,285,22.66953549272521,-13.330464507274794,[ 7  1  0  8 13  9  7 18  5  2 10  1 11 13 14 10  4 12 12 10],SA,rep,20,20,20,0.95,100,61.96264982223511,5000,-1,50,0.005,0.1
0,300,22.66953549272521,-13.330464507274794,[ 7  1  0  8 13  9  7 18  5  2 10  1 11 13 14 10  4 12 12 10],SA,rep,20,20,20,0.95,100,62.10955476760864,5000,-1,50,0.005,0.1
0,315,22.66953549272521,-13.330464507274794,[ 7 12  0 19 13  9  7  2  5 14 15 19 13 13 14 10  4 12  9  6],SA,rep,20,20,20,0.95,100,62.03044700622559,5000,-1,50,0.005,0.1
0,330,22.66953549272521,-13.330464507274794,[ 7 12  0 19 13  9  7  2  5 14 15 19 13 13 14 10  4 12  9  6],SA,rep,20,20,20,0.95,100,61.97221922874451,5000,-1,50,0.005,0.1
0,345,23.503719457857986,-12.496280542142015,[ 7  2  0 16 13  9  7 15  5 14 15 11  8 13 14 10 14 12  9 10],SA,rep,20,20,20,0.95,100,61.99175691604614,5000,-1,50,0.005,0.1
0,360,25.65551213828061,-10.344487861719383,[ 7  2  2  8 13  9  7 12  5  2 15 18  8 13 14 10  4  4  9 10],SA,rep,20,20,20,0.95,100,61.976988792419434,5000,-1,50,0.005,0.1
0,375,25.65551213828061,-10.344487861719383,[ 7 13  0  0 13  9 13 12  5  3 15 18  8 13 14 10  4  4  9 10],SA,rep,20,20,20,0.95,100,62.04762649536133,5000,-1,50,0.005,0.1
0,390,25.65551213828061,-10.344487861719383,[ 7 13  0  0 13  9 13 12  5  3 15 18  8 13 14 10  4  4  9 10],SA,rep,20,20,20,0.95,100,62.121169090270996,5000,-1,50,0.005,0.1
0,405,26.734193182894288,-9.265806817105707,[ 7 13 13  8 13  9  7 12  5  3 15 18 11 13  2 12  4 10  9  8],SA,rep,20,20,20,0.95,100,61.99658203125,5000,-1,50,0.005,0.1
0,420,27.73903851261682,-8.260961487383183,[ 7 13 17  8 13  9  7 12  5  3 15 18 11 13  2 12  4 10  9  8],SA,rep,20,20,20,0.95,100,62.0923478603363,5000,-1,50,0.005,0.1
0,435,28.712712697022816,-7.287287302977184,[ 7 13 17  8 13  9  7  0  5  3 15 18 12 13  2 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.07195591926575,5000,-1,50,0.005,0.1
0,450,28.712712697022816,-7.287287302977184,[ 7 13 17  8 13  9 17  0  5  3 15  8 13 13 14 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.06401038169861,5000,-1,50,0.005,0.1
0,465,28.712712697022816,-7.287287302977184,[ 7 13 17  8 13  9 17  0  5  3 15  8 13 13 14 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.10748505592346,5000,-1,50,0.005,0.1
0,480,29.157483177041502,-6.842516822958497,[ 7 13 17  8 13  9  7  7  5  3 15 11 19 13 11 18  4 11  9  5],SA,rep,20,20,20,0.95,100,62.01936626434326,5000,-1,50,0.005,0.1
0,495,29.70315289111486,-6.29684710888514,[ 7 13 17  8 13  9 14  7  5  3 15  0  6 13 14 15  4 11  9  5],SA,rep,20,20,20,0.95,100,62.06396245956421,5000,-1,50,0.005,0.1
0,510,31.286272293550873,-4.713727706449131,[ 7 13 17  8 13  9 14  7  5  3 15  8  8 13 14 18  4 14  9  5],SA,rep,20,20,20,0.95,100,62.04513001441956,5000,-1,50,0.005,0.1
0,525,31.286272293550873,-4.713727706449131,[ 7 13 17  8 13  9 14  7  5  3 15  8  8 13 14 15  4  8  9  5],SA,rep,20,20,20,0.95,100,62.18670630455017,5000,-1,50,0.005,0.1
0,540,31.691553525550894,-4.308446474449102,[ 7 13 17  8 13  9  8  7  5  3 15  8  8 13 14 15  4  6  9  5],SA,rep,20,20,20,0.95,100,62.211174964904785,5000,-1,50,0.005,0.1
0,555,31.691553525550894,-4.308446474449102,[ 7 13 17  8 13  9  7  7  5  3 15  8  8 13 14 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.353347539901726,5000,-1,50,0.005,0.1
0,570,31.691553525550894,-4.308446474449102,[ 7 13 17  8 13  9  7  7  5  3 15  8  8 13 14 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.21138739585877,5000,-1,50,0.005,0.1
0,585,31.691553525550894,-4.308446474449102,[ 7 13 17  8 13  9  7  7  5  3 15  8  8 13 14 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.22849941253662,5000,-1,50,0.005,0.1
0,600,31.691553525550894,-4.308446474449102,[ 7 13 17  8 13  9  7  7  5  3 15  8  8 13 14 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.075071811676025,5000,-1,50,0.005,0.1
0,615,31.691553525550894,-4.308446474449102,[ 7 13 17  8 13  9  7  7  5  3 15  8  8 13 14 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.1550977230072,5000,-1,50,0.005,0.1
0,630,31.691553525550894,-4.308446474449102,[ 7 13 17  8 13  9  7  7  5  3 15  8  8 13 14 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.07721710205078,5000,-1,50,0.005,0.1
0,645,31.691553525550894,-4.308446474449102,[ 7 13 17  8 13  9  7  7  5  3 15  8  8 13 14 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.092290163040154,5000,-1,50,0.005,0.1
0,660,31.691553525550894,-4.308446474449102,[ 7 13 17  8 13  9  7  7  5  3 15  8  8 13 14 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.06984257698059,5000,-1,50,0.005,0.1
0,675,31.691553525550894,-4.308446474449102,[ 7 13 17  8 13  9  7  7  5  3 15  8  8 13 14 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.11723256111145,5000,-1,50,0.005,0.1
0,690,31.691553525550894,-4.308446474449102,[ 7 13 17  8 13  9  7  7  5  3 15  8  8 13 14 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.09030079841614,5000,-1,50,0.005,0.1
0,705,31.691553525550894,-4.308446474449102,[ 7 13 17  8 13  9  7  7  5  3 15  8  8 13 14 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.18481254577637,5000,-1,50,0.005,0.1
0,720,31.691553525550894,-4.308446474449102,[ 7 13 17  8 13  9  7  7  5  3 15  8  8 13 14 15  4 10  9  5],SA,rep,20,20,20,0.95,100,62.13831853866577,5000,-1,50,0.005,0.1
