ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,15.157639499244533,-20.84236050075547,[15 15  8 15 12 16 15 13  4  3 13  4 18 15 14  2 18 15  3 15],SA,rep,20,20,20,0.75,10000,58.29557991027832,5000,-1,50,0.05,0.005
0,30,16.60410684049815,-19.39589315950185,[11 13 12 17  9 17 19  3  4 15 13  4  8 16  0 12  2 15 15 19],SA,rep,20,20,20,0.75,10000,67.2739748954773,5000,-1,50,0.05,0.005
0,45,18.242932205831465,-17.757067794168538,[11  7  4  0 13 12 15  7  7  7 19 15  8  6 12 12 15  3 15 11],SA,rep,20,20,20,0.75,10000,63.13310098648071,5000,-1,50,0.05,0.005
0,60,19.0609737545262,-16.939026245473798,[ 4  7  4  0 13  9  3  7  0 12  2 15 15  6 12 15 15 17  9 13],SA,rep,20,20,20,0.75,10000,63.08040952682495,5000,-1,50,0.05,0.005
0,75,21.690831600009233,-14.309168399990769,[11  8  4  0 13  9 11  7  0 12 11  9 15  0 12 15 19  9  9  5],SA,rep,20,20,20,0.75,10000,63.063599586486816,5000,-1,50,0.05,0.005
0,90,23.64813311136653,-12.351866888633475,[11 13  4  8 13  9  3  8 10  7 10  7  8  0 12 15  4  9  9  9],SA,rep,20,20,20,0.75,10000,63.022853136062615,5000,-1,50,0.05,0.005
0,105,23.64813311136653,-12.351866888633475,[11 13  4  8 13  9  3  8 10  7 10  7  8  0 12 15  4  9  9  9],SA,rep,20,20,20,0.75,10000,62.963040351867676,5000,-1,50,0.05,0.005
0,120,23.64813311136653,-12.351866888633475,[11 13  4  8 13  9  3  8 10  7 10  7  8  0 12 15  4  9  9  9],SA,rep,20,20,20,0.75,10000,63.18672299385071,5000,-1,50,0.05,0.005
0,135,23.64813311136653,-12.351866888633475,[11 13  4  8 13  9  3  8 10  7 10  7  8  0 12 15  4  9  9  9],SA,rep,20,20,20,0.75,10000,62.966521978378296,5000,-1,50,0.05,0.005
0,150,25.82327027122381,-10.176729728776193,[12  8  6 13 13  9 16  7  4  3 15  3  8 13  7 12  4  9  9  5],SA,rep,20,20,20,0.75,10000,62.850761890411384,5000,-1,50,0.05,0.005
0,165,25.82327027122381,-10.176729728776193,[ 7  1  3 13 18  9  4  7  3 11  0  4  8 13  2 15  4  9  0  5],SA,rep,20,20,20,0.75,10000,62.7737934589386,5000,-1,50,0.05,0.005
0,180,28.87226261929871,-7.127737380701292,[ 7 13 17  8 13  9 11  7  4  3 15  7  8 13  2 12  4  9 19  5],SA,rep,20,20,20,0.75,10000,62.94244027137756,5000,-1,50,0.05,0.005
0,195,30.692487975149287,-5.3075120248507055,[ 7 13 17  8 13  9  2  7 12  3 15  3  8 13  2 11  4  9  9  5],SA,rep,20,20,20,0.75,10000,84.35512137413025,5000,-1,50,0.05,0.005
0,210,30.692487975149287,-5.3075120248507055,[ 7 13  3  8 13  8 16 12 14  3 11  8  8 13 18  6 11  0 18  5],SA,rep,20,20,20,0.75,10000,62.43924760818482,5000,-1,50,0.05,0.005
0,225,30.845719723862942,-5.154280276137062,[ 7 13 17  8 13  9  4  7 12  3 15  8  8 13  7 15  4  9  9  5],SA,rep,20,20,20,0.75,10000,62.42209720611572,5000,-1,50,0.05,0.005
0,240,30.845719723862942,-5.154280276137062,[ 4 19  2  8 13 19  2  7 15  3 15  7  8 13 12 15 14  8 11  5],SA,rep,20,20,20,0.75,10000,62.61086297035217,5000,-1,50,0.05,0.005
0,255,31.6020573878553,-4.397942612144701,[ 7 13 17  8 13  9  2  7 17  6 15  8  8 13 12 15  4  9  9  5],SA,rep,20,20,20,0.75,10000,62.46046686172485,5000,-1,50,0.05,0.005
